Phyla,Receptor,Mode
Cephalochordata,CNR1|GPR12,46
Cnidaria,CNR1|GPR12,1
Tunicata,PTGDR|PTGER3,1
Cephalochordata,PTGDR|PTGER3,16
Hemichordata,PTGDR|PTGER3,1
Echinodermata,PTGDR|PTGER3,1
Mollusca,PTGDR|PTGER3,4
Arthropoda,PTGDR|PTGER3,1
Cnidaria,PTGDR|PTGER3,3
Placozoa,PTGDR|PTGER3,3
Mammalia,CNR1,1
Archosauria,CNR1,1
Lepidosauria,CNR1,1
Testudines,CNR1,1
Amphibia,CNR1,1
Dipnomorpha,CNR1,1
Coelacanthiformes,CNR1,1
Actinopterygii,CNR1,2
Chondrichthyes,CNR1,1
Cyclostomata,CNR1,1
Tunicata,CNR1,0
Cephalochordata,CNR1,0
Hemichordata,CNR1,0
Echinodermata,CNR1,0
Annelida,CNR1,0
Mollusca,CNR1,0
Arthropoda,CNR1,0
Cnidaria,CNR1,0
Placozoa,CNR1,0
Mammalia,CNR2,1
Archosauria,CNR2,1
Lepidosauria,CNR2,1
Testudines,CNR2,1
Amphibia,CNR2,1
Dipnomorpha,CNR2,1
Coelacanthiformes,CNR2,1
Actinopterygii,CNR2,1
Chondrichthyes,CNR2,1
Cyclostomata,CNR2,0
Tunicata,CNR2,0
Cephalochordata,CNR2,0
Hemichordata,CNR2,0
Echinodermata,CNR2,0
Annelida,CNR2,0
Mollusca,CNR2,0
Arthropoda,CNR2,0
Cnidaria,CNR2,0
Placozoa,CNR2,0
Tunicata,CNR1|CNR2,3
Cephalochordata,CNR1|CNR2,2
Mammalia,CYSLTR1,1
Archosauria,CYSLTR1,1
Lepidosauria,CYSLTR1,1
Testudines,CYSLTR1,1
Amphibia,CYSLTR1,1
Dipnomorpha,CYSLTR1,1
Coelacanthiformes,CYSLTR1,1
Actinopterygii,CYSLTR1,1
Chondrichthyes,CYSLTR1,1
Cyclostomata,CYSLTR1,0
Tunicata,CYSLTR1,0
Cephalochordata,CYSLTR1,0
Hemichordata,CYSLTR1,0
Echinodermata,CYSLTR1,0
Annelida,CYSLTR1,0
Mollusca,CYSLTR1,0
Arthropoda,CYSLTR1,0
Cnidaria,CYSLTR1,0
Placozoa,CYSLTR1,0
Mammalia,CYSLTR2,1
Archosauria,CYSLTR2,1
Lepidosauria,CYSLTR2,0
Testudines,CYSLTR2,1
Amphibia,CYSLTR2,0
Dipnomorpha,CYSLTR2,1
