Phyla,Receptor,Sequences
Cephalochordata,CNR1|GPR12,120
Cnidaria,CNR1|GPR12,2
Tunicata,PTGDR|PTGER3,1
Cephalochordata,PTGDR|PTGER3,38
Hemichordata,PTGDR|PTGER3,2
Echinodermata,PTGDR|PTGER3,14
Mollusca,PTGDR|PTGER3,433
Arthropoda,PTGDR|PTGER3,360
Cnidaria,PTGDR|PTGER3,59
Placozoa,PTGDR|PTGER3,3
Mammalia,CNR1,251
Archosauria,CNR1,439
Lepidosauria,CNR1,29
Testudines,CNR1,16
Amphibia,CNR1,22
Dipnomorpha,CNR1,1
Coelacanthiformes,CNR1,1
Actinopterygii,CNR1,454
Chondrichthyes,CNR1,18
Cyclostomata,CNR1,2
Tunicata,CNR1,0
Cephalochordata,CNR1,0
Hemichordata,CNR1,0
Echinodermata,CNR1,0
Annelida,CNR1,0
Mollusca,CNR1,0
Arthropoda,CNR1,0
Cnidaria,CNR1,0
Placozoa,CNR1,0
Mammalia,CNR2,258
Archosauria,CNR2,311
Lepidosauria,CNR2,30
Testudines,CNR2,15
Amphibia,CNR2,21
Dipnomorpha,CNR2,1
Coelacanthiformes,CNR2,1
Actinopterygii,CNR2,252
Chondrichthyes,CNR2,13
Cyclostomata,CNR2,0
Tunicata,CNR2,0
Cephalochordata,CNR2,0
Hemichordata,CNR2,0
Echinodermata,CNR2,0
Annelida,CNR2,0
Mollusca,CNR2,0
Arthropoda,CNR2,0
Cnidaria,CNR2,0
Placozoa,CNR2,0
Tunicata,CNR1|CNR2,9
Cephalochordata,CNR1|CNR2,7
Mammalia,CYSLTR1,192
Archosauria,CYSLTR1,396
Lepidosauria,CYSLTR1,22
Testudines,CYSLTR1,12
Amphibia,CYSLTR1,15
Dipnomorpha,CYSLTR1,1
Coelacanthiformes,CYSLTR1,1
Actinopterygii,CYSLTR1,192
Chondrichthyes,CYSLTR1,9
Cyclostomata,CYSLTR1,0
Tunicata,CYSLTR1,0
Cephalochordata,CYSLTR1,0
Hemichordata,CYSLTR1,0
Echinodermata,CYSLTR1,0
Annelida,CYSLTR1,0
Mollusca,CYSLTR1,0
Arthropoda,CYSLTR1,0
Cnidaria,CYSLTR1,0
Placozoa,CYSLTR1,0
Mammalia,CYSLTR2,211
Archosauria,CYSLTR2,310
Lepidosauria,CYSLTR2,0
Testudines,CYSLTR2,15
Amphibia,CYSLTR2,0
Dipnomorpha,CYSLTR2,1
Coelacanthiformes,CYSLTR2,1
Actinopterygii,CYSLTR2,114
Chondrichthyes,CYSLTR2,16
Cyclostomata,CYSLTR2,0
Tunicata,CYSLTR2,0
Cephalochordata,CYSLTR2,0
Hemichordata,CYSLTR2,0
Echinodermata,CYSLTR2,0
Annelida,CYSLTR2,0
Mollusca,CYSLTR2,0
Arthropoda,CYSLTR2,0
Cnidaria,CYSLTR2,0
Placozoa,CYSLTR2,0
Actinopterygii,CYSLTR1|CYSLTR2,66
Chondrichthyes,CYSLTR1|CYSLTR2,1
Cyclostomata,CYSLTR1|CYSLTR2,9
Cyclostomata,FFAR1|FFAR2|FFAR3,4
Mammalia,FFAR1,211
Archosauria,FFAR1,2
Lepidosauria,FFAR1,21
Testudines,FFAR1,10
Amphibia,FFAR1,9
Dipnomorpha,FFAR1,0
Coelacanthiformes,FFAR1,1
Actinopterygii,FFAR1,108
Chondrichthyes,FFAR1,3
Cyclostomata,FFAR1,0
Tunicata,FFAR1,0
Cephalochordata,FFAR1,0
Hemichordata,FFAR1,0
Echinodermata,FFAR1,0
Annelida,FFAR1,0
Mollusca,FFAR1,0
Arthropoda,FFAR1,0
Cnidaria,FFAR1,0
Placozoa,FFAR1,0
Lepidosauria,FFAR2|FFAR3,18
Testudines,FFAR2|FFAR3,9
Amphibia,FFAR2|FFAR3,31
Dipnomorpha,FFAR2|FFAR3,4
Coelacanthiformes,FFAR2|FFAR3,2
Actinopterygii,FFAR2|FFAR3,642
Chondrichthyes,FFAR2|FFAR3,1
Mammalia,FFAR2,284
Archosauria,FFAR2,55
Lepidosauria,FFAR2,48
Testudines,FFAR2,30
Amphibia,FFAR2,24
Dipnomorpha,FFAR2,0
Coelacanthiformes,FFAR2,0
Actinopterygii,FFAR2,0
Chondrichthyes,FFAR2,0
Cyclostomata,FFAR2,0
Tunicata,FFAR2,0
Cephalochordata,FFAR2,0
Hemichordata,FFAR2,0
Echinodermata,FFAR2,0
Annelida,FFAR2,0
Mollusca,FFAR2,0
Arthropoda,FFAR2,0
Cnidaria,FFAR2,0
Placozoa,FFAR2,0
Mammalia,FFAR3,237
Archosauria,FFAR3,5
Lepidosauria,FFAR3,0
Testudines,FFAR3,8
Amphibia,FFAR3,0
Dipnomorpha,FFAR3,0
Coelacanthiformes,FFAR3,0
Actinopterygii,FFAR3,0
Chondrichthyes,FFAR3,0
Cyclostomata,FFAR3,0
Tunicata,FFAR3,0
Cephalochordata,FFAR3,0
Hemichordata,FFAR3,0
Echinodermata,FFAR3,0
Annelida,FFAR3,0
Mollusca,FFAR3,0
Arthropoda,FFAR3,0
Cnidaria,FFAR3,0
Placozoa,FFAR3,0
Mammalia,FFAR4,201
Archosauria,FFAR4,353
Lepidosauria,FFAR4,19
Testudines,FFAR4,11
Amphibia,FFAR4,13
Dipnomorpha,FFAR4,0
Coelacanthiformes,FFAR4,0
Actinopterygii,FFAR4,66
Chondrichthyes,FFAR4,5
Cyclostomata,FFAR4,5
Tunicata,FFAR4,0
Cephalochordata,FFAR4,5
Hemichordata,FFAR4,0
Echinodermata,FFAR4,6
Annelida,FFAR4,1
Mollusca,FFAR4,44
Arthropoda,FFAR4,110
Cnidaria,FFAR4,0
Placozoa,FFAR4,0
Mammalia,GPR119,247
Archosauria,GPR119,449
Lepidosauria,GPR119,39
Testudines,GPR119,26
Amphibia,GPR119,14
Dipnomorpha,GPR119,1
Coelacanthiformes,GPR119,0
Actinopterygii,GPR119,241
Chondrichthyes,GPR119,3
Cyclostomata,GPR119,0
Tunicata,GPR119,0
Cephalochordata,GPR119,3
Hemichordata,GPR119,3
Echinodermata,GPR119,9
Annelida,GPR119,1
Mollusca,GPR119,28
Arthropoda,GPR119,134
Cnidaria,GPR119,0
Placozoa,GPR119,0
Mammalia,GPR12,208
Archosauria,GPR12,449
Lepidosauria,GPR12,25
Testudines,GPR12,16
Amphibia,GPR12,17
Dipnomorpha,GPR12,1
Coelacanthiformes,GPR12,2
Actinopterygii,GPR12,226
Chondrichthyes,GPR12,14
Cyclostomata,GPR12,0
Tunicata,GPR12,0
Cephalochordata,GPR12,0
Hemichordata,GPR12,0
Echinodermata,GPR12,0
Annelida,GPR12,0
Mollusca,GPR12,0
Arthropoda,GPR12,0
Cnidaria,GPR12,0
Placozoa,GPR12,0
Mammalia,GPR132,305
Archosauria,GPR132,184
Lepidosauria,GPR132,40
Testudines,GPR132,23
Amphibia,GPR132,41
Dipnomorpha,GPR132,1
Coelacanthiformes,GPR132,1
Actinopterygii,GPR132,381
Chondrichthyes,GPR132,22
Cyclostomata,GPR132,0
Tunicata,GPR132,0
Cephalochordata,GPR132,0
Hemichordata,GPR132,0
Echinodermata,GPR132,0
Annelida,GPR132,0
Mollusca,GPR132,0
Arthropoda,GPR132,0
Cnidaria,GPR132,0
Placozoa,GPR132,0
Mammalia,GPR161,287
Archosauria,GPR161,463
Lepidosauria,GPR161,29
Testudines,GPR161,21
Amphibia,GPR161,43
Dipnomorpha,GPR161,0
Coelacanthiformes,GPR161,1
Actinopterygii,GPR161,369
Chondrichthyes,GPR161,19
Cyclostomata,GPR161,4
Tunicata,GPR161,0
Cephalochordata,GPR161,10
Hemichordata,GPR161,3
Echinodermata,GPR161,17
Annelida,GPR161,0
Mollusca,GPR161,37
Arthropoda,GPR161,9
Cnidaria,GPR161,24
Placozoa,GPR161,0
Actinopterygii,P2RY10|GPR174,91
Mammalia,GPR174,202
Archosauria,GPR174,389
Lepidosauria,GPR174,22
Testudines,GPR174,14
Amphibia,GPR174,14
Dipnomorpha,GPR174,1
Coelacanthiformes,GPR174,1
Actinopterygii,GPR174,165
Chondrichthyes,GPR174,11
Cyclostomata,GPR174,0
Tunicata,GPR174,0
Cephalochordata,GPR174,0
Hemichordata,GPR174,0
Echinodermata,GPR174,0
Annelida,GPR174,0
Mollusca,GPR174,0
Arthropoda,GPR174,0
Cnidaria,GPR174,0
Placozoa,GPR174,0
Mammalia,GPR17,282
Archosauria,GPR17,459
Lepidosauria,GPR17,35
Testudines,GPR17,21
Amphibia,GPR17,41
Dipnomorpha,GPR17,3
Coelacanthiformes,GPR17,2
Actinopterygii,GPR17,625
Chondrichthyes,GPR17,34
Cyclostomata,GPR17,0
Tunicata,GPR17,0
Cephalochordata,GPR17,0
Hemichordata,GPR17,0
Echinodermata,GPR17,0
Annelida,GPR17,0
Mollusca,GPR17,0
Arthropoda,GPR17,0
Cnidaria,GPR17,0
Placozoa,GPR17,0
Mammalia,GPR183/LIKE,50
Archosauria,GPR183/LIKE,100
Lepidosauria,GPR183/LIKE,0
Testudines,GPR183/LIKE,13
Amphibia,GPR183/LIKE,6
Dipnomorpha,GPR183/LIKE,0
Coelacanthiformes,GPR183/LIKE,1
Actinopterygii,GPR183/LIKE,72
Chondrichthyes,GPR183/LIKE,9
Cyclostomata,GPR183/LIKE,0
Tunicata,GPR183/LIKE,0
Cephalochordata,GPR183/LIKE,0
Hemichordata,GPR183/LIKE,0
Echinodermata,GPR183/LIKE,0
Annelida,GPR183/LIKE,0
Mollusca,GPR183/LIKE,0
Arthropoda,GPR183/LIKE,0
Cnidaria,GPR183/LIKE,0
Placozoa,GPR183/LIKE,0
Mammalia,GPR183,207
Archosauria,GPR183,383
Lepidosauria,GPR183,19
Testudines,GPR183,14
Amphibia,GPR183,11
Dipnomorpha,GPR183,1
Coelacanthiformes,GPR183,1
Actinopterygii,GPR183,221
Chondrichthyes,GPR183,9
Cyclostomata,GPR183,0
Tunicata,GPR183,0
Cephalochordata,GPR183,0
Hemichordata,GPR183,0
Echinodermata,GPR183,0
Annelida,GPR183,0
Mollusca,GPR183,0
