Phyla,Receptor,Unique_species
Cephalochordata,CNR1|GPR12,3
Cnidaria,CNR1|GPR12,2
Tunicata,PTGDR|PTGER3,1
Cephalochordata,PTGDR|PTGER3,3
Hemichordata,PTGDR|PTGER3,2
Echinodermata,PTGDR|PTGER3,9
Mollusca,PTGDR|PTGER3,34
Arthropoda,PTGDR|PTGER3,303
Cnidaria,PTGDR|PTGER3,20
Placozoa,PTGDR|PTGER3,1
Mammalia,CNR1,241
Archosauria,CNR1,425
Lepidosauria,CNR1,28
Testudines,CNR1,16
Amphibia,CNR1,20
Dipnomorpha,CNR1,1
Coelacanthiformes,CNR1,1
Actinopterygii,CNR1,235
Chondrichthyes,CNR1,18
Cyclostomata,CNR1,2
Tunicata,CNR1,0
Cephalochordata,CNR1,0
Hemichordata,CNR1,0
Echinodermata,CNR1,0
Annelida,CNR1,0
Mollusca,CNR1,0
Arthropoda,CNR1,0
Cnidaria,CNR1,0
Placozoa,CNR1,0
Mammalia,CNR2,248
Archosauria,CNR2,301
Lepidosauria,CNR2,30
Testudines,CNR2,15
Amphibia,CNR2,19
Dipnomorpha,CNR2,1
Coelacanthiformes,CNR2,1
Actinopterygii,CNR2,216
Chondrichthyes,CNR2,13
Cyclostomata,CNR2,0
Tunicata,CNR2,0
Cephalochordata,CNR2,0
Hemichordata,CNR2,0
Echinodermata,CNR2,0
Annelida,CNR2,0
Mollusca,CNR2,0
Arthropoda,CNR2,0
Cnidaria,CNR2,0
Placozoa,CNR2,0
Tunicata,CNR1|CNR2,3
Cephalochordata,CNR1|CNR2,3
Mammalia,CYSLTR1,187
Archosauria,CYSLTR1,387
Lepidosauria,CYSLTR1,22
Testudines,CYSLTR1,12
Amphibia,CYSLTR1,13
Dipnomorpha,CYSLTR1,1
Coelacanthiformes,CYSLTR1,1
Actinopterygii,CYSLTR1,171
Chondrichthyes,CYSLTR1,9
Cyclostomata,CYSLTR1,0
Tunicata,CYSLTR1,0
Cephalochordata,CYSLTR1,0
Hemichordata,CYSLTR1,0
Echinodermata,CYSLTR1,0
Annelida,CYSLTR1,0
Mollusca,CYSLTR1,0
Arthropoda,CYSLTR1,0
Cnidaria,CYSLTR1,0
Placozoa,CYSLTR1,0
Mammalia,CYSLTR2,205
Archosauria,CYSLTR2,307
Lepidosauria,CYSLTR2,0
Testudines,CYSLTR2,14
Amphibia,CYSLTR2,0
Dipnomorpha,CYSLTR2,1
Coelacanthiformes,CYSLTR2,1
Actinopterygii,CYSLTR2,62
Chondrichthyes,CYSLTR2,7
Cyclostomata,CYSLTR2,0
Tunicata,CYSLTR2,0
Cephalochordata,CYSLTR2,0
Hemichordata,CYSLTR2,0
Echinodermata,CYSLTR2,0
Annelida,CYSLTR2,0
Mollusca,CYSLTR2,0
Arthropoda,CYSLTR2,0
Cnidaria,CYSLTR2,0
Placozoa,CYSLTR2,0
Actinopterygii,CYSLTR1|CYSLTR2,55
Chondrichthyes,CYSLTR1|CYSLTR2,1
Cyclostomata,CYSLTR1|CYSLTR2,1
Cyclostomata,FFAR1|FFAR2|FFAR3,1
Mammalia,FFAR1,205
Archosauria,FFAR1,2
Lepidosauria,FFAR1,20
Testudines,FFAR1,10
Amphibia,FFAR1,9
Dipnomorpha,FFAR1,0
Coelacanthiformes,FFAR1,1
Actinopterygii,FFAR1,105
Chondrichthyes,FFAR1,2
Cyclostomata,FFAR1,0
Tunicata,FFAR1,0
Cephalochordata,FFAR1,0
Hemichordata,FFAR1,0
Echinodermata,FFAR1,0
Annelida,FFAR1,0
Mollusca,FFAR1,0
Arthropoda,FFAR1,0
Cnidaria,FFAR1,0
Placozoa,FFAR1,0
Lepidosauria,FFAR2|FFAR3,16
Testudines,FFAR2|FFAR3,9
Amphibia,FFAR2|FFAR3,14
Dipnomorpha,FFAR2|FFAR3,1
Coelacanthiformes,FFAR2|FFAR3,1
Actinopterygii,FFAR2|FFAR3,172
Chondrichthyes,FFAR2|FFAR3,1
Mammalia,FFAR2,213
Archosauria,FFAR2,46
Lepidosauria,FFAR2,19
Testudines,FFAR2,10
Amphibia,FFAR2,15
Dipnomorpha,FFAR2,0
Coelacanthiformes,FFAR2,0
Actinopterygii,FFAR2,0
Chondrichthyes,FFAR2,0
Cyclostomata,FFAR2,0
Tunicata,FFAR2,0
Cephalochordata,FFAR2,0
Hemichordata,FFAR2,0
Echinodermata,FFAR2,0
Annelida,FFAR2,0
Mollusca,FFAR2,0
Arthropoda,FFAR2,0
Cnidaria,FFAR2,0
Placozoa,FFAR2,0
Mammalia,FFAR3,205
Archosauria,FFAR3,5
Lepidosauria,FFAR3,0
Testudines,FFAR3,8
Amphibia,FFAR3,0
Dipnomorpha,FFAR3,0
Coelacanthiformes,FFAR3,0
Actinopterygii,FFAR3,0
Chondrichthyes,FFAR3,0
Cyclostomata,FFAR3,0
Tunicata,FFAR3,0
Cephalochordata,FFAR3,0
Hemichordata,FFAR3,0
Echinodermata,FFAR3,0
Annelida,FFAR3,0
Mollusca,FFAR3,0
Arthropoda,FFAR3,0
Cnidaria,FFAR3,0
Placozoa,FFAR3,0
Mammalia,FFAR4,193
Archosauria,FFAR4,343
Lepidosauria,FFAR4,19
Testudines,FFAR4,11
Amphibia,FFAR4,12
Dipnomorpha,FFAR4,0
Coelacanthiformes,FFAR4,0
Actinopterygii,FFAR4,63
Chondrichthyes,FFAR4,5
Cyclostomata,FFAR4,4
Tunicata,FFAR4,0
Cephalochordata,FFAR4,3
Hemichordata,FFAR4,0
Echinodermata,FFAR4,3
Annelida,FFAR4,1
Mollusca,FFAR4,15
Arthropoda,FFAR4,23
Cnidaria,FFAR4,0
Placozoa,FFAR4,0
Mammalia,GPR119,239
