receptor,taxa,gene,orientation,chromosome,start,end
cnr1,Homo_sapiens,SLC35A1,+,6,87472973,87512335
cnr1,Homo_sapiens,RARS2,-,6,87513937,87589986
cnr1,Homo_sapiens,ORC3,+,6,87590134,87677822
cnr1,Homo_sapiens,AKIRIN2,-,6,87674859,87702232
cnr1,Homo_sapiens,SPACA1,+,6,88046900,88066837
cnr1,Homo_sapiens,CNR1,-,6,88139863,88167348
cnr1,Homo_sapiens,RNGTT,-,6,88609896,88963617
cnr1,Homo_sapiens,PNRC1,+,6,89080750,89085159
cnr1,Homo_sapiens,PM20D2,+,6,89093939,89165564
cnr1,Homo_sapiens,SRSF12,-,6,89095958,89118070
cnr1,Homo_sapiens,GABRR1,-,6,89177503,89231287
cnr1,Gallus_gallus,PM20D2,-,3,75488609,75504694
cnr1,Gallus_gallus,PNRC1,-,3,75523709,75525985
cnr1,Gallus_gallus,BORCS6,+,3,75525409,75527558
cnr1,Gallus_gallus,RNGTT,+,3,75541128,75727281
cnr1,Gallus_gallus,COWN,+,3,75739266,75818610
cnr1,Gallus_gallus,CNR1,+,3,75866628,75884964
cnr1,Gallus_gallus,SPACA1,-,3,75908333,75927345
cnr1,Gallus_gallus,AKIRIN2,+,3,76053762,76070568
cnr1,Gallus_gallus,ORC3,-,3,76075243,76112181
cnr1,Gallus_gallus,RARS2,+,3,76112296,76151586
cnr1,Gallus_gallus,SLC35A1,-,3,76145492,76161843
cnr1,Chelonia_mydas,SLC35A1,+,3,64995481,65021503
cnr1,Chelonia_mydas,RARS2,-,3,65024387,65081970
cnr1,Chelonia_mydas,ORC3,+,3,65082022,65160211
cnr1,Chelonia_mydas,AKIRIN2,-,3,65165994,65187383
cnr1,Chelonia_mydas,SPACA1,+,3,65393931,65419713
cnr1,Chelonia_mydas,CNR1,-,3,65458836,65483086
cnr1,Chelonia_mydas,RNGTT,-,3,65738752,66188326
cnr1,Chelonia_mydas,BORCS6,-,3,66220227,66221136
cnr1,Chelonia_mydas,PNRC1,+,3,66221737,66223924
cnr1,Chelonia_mydas,PM20D2,+,3,66237146,66303037
cnr1,Chelonia_mydas,GABRR1,-,3,66286098,66368173
cnr1,Xenopus_tropicalis,TY3-G,+,5,86155208,86159651
cnr1,Xenopus_tropicalis,GABRR1,+,5,86202028,86235162
cnr1,Xenopus_tropicalis,PM20D2,-,5,86241050,86258379
cnr1,Xenopus_tropicalis,SRSF12,+,5,86272421,86285394
cnr1,Xenopus_tropicalis,RNGTT,+,5,86288847,86437404
cnr1,Xenopus_tropicalis,CNR1,+,5,86629025,86677191
cnr1,Xenopus_tropicalis,AKIRIN2,+,5,86897092,86907287
cnr1,Xenopus_tropicalis,ORC3,-,5,86910647,86963828
cnr1,Xenopus_tropicalis,RARS2,+,5,86963831,86986624
cnr1,Xenopus_tropicalis,SLC35A1,-,5,86989372,87002188
cnr1,Xenopus_tropicalis,SMIM8,-,5,87008979,87013678
cnr1,Protopterus_annectens,DDX60,+,2.part1,941504838,943669992
cnr1,Protopterus_annectens,DDX60,+,2.part1,944102008,946920226
cnr1,Protopterus_annectens,DDX60,+,2.part1,947364021,950460801
cnr1,Protopterus_annectens,FBXL5,+,2.part1,950623519,952728683
cnr1,Protopterus_annectens,CC2D2A,-,2.part1,953115244,956770310
cnr1,Protopterus_annectens,CNR1,+,2.part1,962109709,962594829
cnr1,Protopterus_annectens,CPEB2,-,2.part1,964581634,965150260
cnr1,Protopterus_annectens,BOD1L1,-,2.part1,970901843,973186653
cnr1,Protopterus_annectens,C1QTNF7,-,2.part1,971567760,971717633
cnr1,Protopterus_annectens,NKX3-2,+,2.part1,974443083,974448766
cnr1,Protopterus_annectens,RAB28,+,2.part1,974874742,975644212
cnr1,Latimeria_chalumnae,CFAP206,+,3,182932287,182976105
cnr1,Latimeria_chalumnae,SLC35A1,+,3,182990860,183033886
cnr1,Latimeria_chalumnae,RARS2,-,3,183033977,183089735
cnr1,Latimeria_chalumnae,ORC3,+,3,183089811,183133092
cnr1,Latimeria_chalumnae,AKIRIN2,-,3,183149969,183170912
cnr1,Latimeria_chalumnae,CNR1,-,3,183264495,183332507
cnr1,Latimeria_chalumnae,RNGTT,-,3,183420520,183773548
cnr1,Latimeria_chalumnae,PNRC1,+,3,183794115,183805999
cnr1,Latimeria_chalumnae,SRSF12,-,3,183826442,183863720
cnr1,Latimeria_chalumnae,PM20D2,+,3,183866258,183911253
cnr1,Latimeria_chalumnae,GABBR1,-,3,183908575,183939742
cnr1,Danio_rerio,MYO6A,+,20,767995,813149
cnr1,Danio_rerio,IMPG1A,-,20,813100,844627
cnr1,Danio_rerio,MEI4,+,20,847645,861231
cnr1,Danio_rerio,NT5E,+,20,864469,886349
cnr1,Danio_rerio,SNX14,-,20,889862,931699
cnr1,Danio_rerio,CNR1,-,20,939505,954400
cnr1,Danio_rerio,RNGTT,-,20,983580,1163162
cnr1,Danio_rerio,PNRC1,+,20,1164725,1173662
cnr1,Danio_rerio,GABRR1,-,20,1175318,1195774
cnr1,Danio_rerio,GABRR2B,-,20,1202272,1218260
cnr1,Danio_rerio,UBE2J1,-,20,1224008,1237892
cnr1,Scyliorhinus_canicula,SLC35A1,+,6,59257518,59289522
cnr1,Scyliorhinus_canicula,RARS2,-,6,59305175,59421743
cnr1,Scyliorhinus_canicula,ORC3,+,6,59421831,59544069
cnr1,Scyliorhinus_canicula,AKIRIN2,-,6,59555855,59586318
cnr1,Scyliorhinus_canicula,SPACA1,+,6,59609891,59864471
cnr1,Scyliorhinus_canicula,CNR1,-,6,59965167,60006880
cnr1,Scyliorhinus_canicula,RNGTT,-,6,60398569,60917758
cnr1,Scyliorhinus_canicula,NOL12,-,6,60430346,60430935
cnr1,Scyliorhinus_canicula,PNRC1,+,6,60939742,60944420
cnr1,Scyliorhinus_canicula,PM20D2,+,6,60996760,61038258
cnr1,Scyliorhinus_canicula,GABBR1,-,6,61066411,61146995
cnr1,Petromyzon_marinus,RHBDL2,-,51,10770910,10788322
cnr1,Petromyzon_marinus,SLC35A1,+,51,10792030,10817101
cnr1,Petromyzon_marinus,RARS2,-,51,10818900,10837312
cnr1,Petromyzon_marinus,ORC3,+,51,10838157,10860915
cnr1,Petromyzon_marinus,AKIRIN2,-,51,10861434,10870922
cnr1,Petromyzon_marinus,CNR1,-,51,10896708,10921229
cnr1,Petromyzon_marinus,MYOSIN HEAD,-,51,10943861,10966932
cnr1,Petromyzon_marinus,DUF6475,-,51,10966962,10977274
cnr1,Petromyzon_marinus,RNGTT,-,51,11037291,11081810
cnr1,Petromyzon_marinus,FBXL22,+,51,11091645,11100699
cnr1,Petromyzon_marinus,CEP162,-,51,11100335,11126190
cnr2,Homo_sapiens,PITHD1,+,1,23778417,23788231
cnr2,Homo_sapiens,LYPLA2,+,1,23791144,23795538
cnr2,Homo_sapiens,GALE,-,1,23795598,23800753
cnr2,Homo_sapiens,HMGCL,-,1,23801884,23825428
cnr2,Homo_sapiens,FUCA1,-,1,23845076,23868289
cnr2,Homo_sapiens,CNR2,-,1,23870514,23913361
cnr2,Homo_sapiens,PNRC2,+,1,23959163,23963461
cnr2,Homo_sapiens,SRSF10,-,1,23964346,23980326
cnr2,Homo_sapiens,MYOM3,-,1,24056040,24112134
cnr2,Homo_sapiens,IL22RA1,-,1,24119770,24143139
cnr2,Homo_sapiens,IFNLR1,-,1,24154167,24187288
cnr2,Ornithorhynchus_anatinus,PITHD1,+,16,42870962,42875607
cnr2,Ornithorhynchus_anatinus,LYPLA2,+,16,42877989,42885112
cnr2,Ornithorhynchus_anatinus,GALE,-,16,42886414,42891294
cnr2,Ornithorhynchus_anatinus,HMGCL,-,16,42893821,42900915
cnr2,Ornithorhynchus_anatinus,FUCA1,-,16,42906438,42914855
cnr2,Ornithorhynchus_anatinus,CNR2,-,16,42923566,42924615
cnr2,Ornithorhynchus_anatinus,PNRC2,+,16,42941141,42952248
cnr2,Ornithorhynchus_anatinus,SRSF10,-,16,42959797,42965872
cnr2,Ornithorhynchus_anatinus,MYOM3,-,16,42975094,43016403
cnr2,Ornithorhynchus_anatinus,IL22RA1,-,16,43029119,43040557
