Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103806502	XP_009077451
Vertebrata	Acanthopagrus_latus	119031856	XP_036976508
Vertebrata	Acinonyx_jubatus	106985562	XP_014939248
Vertebrata	Acipenser_ruthenus	117406721	XP_033866890
Vertebrata	Agelaius_tricolor	139593256	XP_071290067
Vertebrata	Ahaetulla_prasina	131199555	XP_058041428
Vertebrata	Ailuropoda_melanoleuca	100467301	XP_002914800
Vertebrata	Alexandromys_fortis	126513537	XP_050017937
Vertebrata	Alligator_mississippiensis	102576806	XP_014450833
Vertebrata	Alligator_sinensis	102370662	XP_006032035
Vertebrata	Alosa_sapidissima	121709671	XP_041949190
Vertebrata	Amphiprion_ocellaris	111588265	XP_023154302
Vertebrata	Anarhichas_minor	142959790	XP_075957368
Vertebrata	Anas_acuta	137851474	XP_068528748
Vertebrata	Anas_platyrhynchos	101797163	XP_038030680
Vertebrata	Anguilla_anguilla	118236742	XP_035291233
Vertebrata	Anguilla_rostrata	135264089	XP_064208816
Vertebrata	Anolis_carolinensis	100560510	XP_003219214
Vertebrata	Anolis_sagrei_ordinatus	132770053	XP_060622922
Vertebrata	Anomalospiza_imberbis	137468931	XP_068037269
Vertebrata	Anoplopoma_fimbria	129113424	XP_054481673
Vertebrata	Anser_cygnoides	106041166	XP_047928783
Vertebrata	Antechinus_flavipes	127554695	XP_051842468
Vertebrata	Antrostomus_carolinensis	104530728	XP_010173713
Vertebrata	Aotus_nancymaae	105732132	XP_012329566
Vertebrata	Apaloderma_vittatum	104272225	XP_009865468
Vertebrata	Aphelocoma_coerulescens	138119007	XP_068886540
Vertebrata	Apodemus_sylvaticus	127672861	XP_052024223
Vertebrata	Aptenodytes_forsteri	103907948	XP_009288487
Vertebrata	Apteryx_mantelli_mantelli	106500452	XP_013817674
Vertebrata	Apteryx_rowi	112970335	XP_025930380
Vertebrata	Aquarana_catesbeiana	141127147	XP_073469462
Vertebrata	Aquila_chrysaetos_chrysaetos	115353591	XP_029899104
Vertebrata	Artibeus_jamaicensis	119037403	XP_036985474
Vertebrata	Arvicanthis_niloticus	143438201	XP_076779981
Vertebrata	Arvicola_amphibius	119825357	XP_038202118
Vertebrata	Astur_gentilis	126048232	XP_049678891
Vertebrata	Astyanax_mexicanus	103039025	XP_007235467
Vertebrata	Athene_cunicularia	113479929	XP_026704140
Vertebrata	Athene_noctua	141973409	XP_074788047
Vertebrata	Austrofundulus_limnaeus	106514181	XP_013858786
Vertebrata	Aythya_fuligula	116499923	XP_032060673
