Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103811514	XP_009082740
Vertebrata	Acanthopagrus_latus	119018480	XP_036952057
Vertebrata	Acinonyx_jubatus	106982857	XP_026901041
Vertebrata	Acipenser_ruthenus	117432415	XP_033910210
Vertebrata	Acipenser_ruthenus	117435021	XP_033913756
Vertebrata	Agelaius_tricolor	139585509	XP_071274389
Vertebrata	Ahaetulla_prasina	131187160	XP_058017366
Vertebrata	Ailuropoda_melanoleuca	100467495	XP_002922249
Vertebrata	Alexandromys_fortis	126498631	XP_049993392
Vertebrata	Alligator_mississippiensis	106737545	XP_019332294
Vertebrata	Alligator_sinensis	102380697	XP_006014758
Vertebrata	Alosa_sapidissima	121681599	XP_041917354
Vertebrata	Amphiprion_ocellaris	111567200	XP_023123937
Vertebrata	Anarhichas_minor	142970025	XP_075966290
Vertebrata	Anas_acuta	137857707	XP_068540666
Vertebrata	Anas_platyrhynchos	101800178	XP_005022826
Vertebrata	Anguilla_anguilla	118228367	XP_035275719
Vertebrata	Anguilla_rostrata	135255295	XP_064192337
Vertebrata	Anolis_carolinensis	100565806	XP_003214718
Vertebrata	Anolis_sagrei_ordinatus	132769003	XP_060621535
Vertebrata	Anomalospiza_imberbis	137476128	XP_068050295
Vertebrata	Anoplopoma_fimbria	129104369	XP_054471007
Vertebrata	Anser_cygnoides	106044822	XP_047914617
Vertebrata	Antechinus_flavipes	127541902	XP_051823184
Vertebrata	Antennarius_striatus	137599775	XP_068177002
Vertebrata	Antrostomus_carolinensis	104517992	XP_010174198
Vertebrata	Aotus_nancymaae	105717672	XP_021525407
Vertebrata	Apaloderma_vittatum	104278228	XP_009873443
Vertebrata	Aphelocoma_coerulescens	138111158	XP_068872531
Vertebrata	Apodemus_sylvaticus	127693569	XP_052050501
Vertebrata	Aptenodytes_forsteri	103904920	XP_009284749
Vertebrata	Apteryx_mantelli_mantelli	106498340	XP_013815005
Vertebrata	Apteryx_rowi	112977240	XP_025945116
Vertebrata	Aquarana_catesbeiana	141111867	XP_073460147
Vertebrata	Aquila_chrysaetos_chrysaetos	115351755	XP_029894775
Vertebrata	Artibeus_jamaicensis	119041928	XP_053518906
Vertebrata	Arvicanthis_niloticus	117718506	XP_034372022
Vertebrata	Arvicola_amphibius	119803527	XP_038170834
Vertebrata	Astur_gentilis	126047406	XP_049676944
Vertebrata	Astyanax_mexicanus	103033332	XP_007254692
Vertebrata	Athene_cunicularia	113481362	XP_026706720
Vertebrata	Athene_noctua	141965881	XP_074774152
