Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103808583	XP_009079621
Vertebrata	Acanthisitta_chloris	103811423	XP_009082642
Vertebrata	Acanthopagrus_latus	119005646	XP_036929350
Vertebrata	Acanthopagrus_latus	119017173	XP_036949563
Vertebrata	Acanthopagrus_latus	119018516	XP_036952142
Vertebrata	Acinonyx_jubatus	106973282	XP_026900263
Vertebrata	Acinonyx_jubatus	106985126	XP_026929489
Vertebrata	Acipenser_ruthenus	117394705	XP_033849077
Vertebrata	Acipenser_ruthenus	117400551	XP_033856579
Vertebrata	Acipenser_ruthenus	117424450	XP_033896679
Vertebrata	Acipenser_ruthenus	117425417	XP_033898236
Vertebrata	Agelaius_tricolor	139596279	XP_071296507
Vertebrata	Agelaius_tricolor	139604332	XP_071311595
Vertebrata	Ahaetulla_prasina	131184035	XP_058010917
Vertebrata	Ahaetulla_prasina	131195574	XP_058033581
Vertebrata	Ailuropoda_melanoleuca	100464874	XP_002912286
Vertebrata	Ailuropoda_melanoleuca	100480167	XP_011222747
Vertebrata	Alexandromys_fortis	126502469	XP_049999416
Vertebrata	Alexandromys_fortis	126503825	XP_050001746
Vertebrata	Alexandromys_fortis	126509659	XP_050011659
Vertebrata	Alligator_mississippiensis	102561877	XP_006272958
Vertebrata	Alligator_mississippiensis	102574060	XP_006273078
Vertebrata	Alligator_sinensis	102376020	XP_006019150
Vertebrata	Alligator_sinensis	102379638	XP_006015742
Vertebrata	Alosa_sapidissima	121681324	XP_041916939
Vertebrata	Alosa_sapidissima	121721409	XP_041964234
Vertebrata	Amphiprion_ocellaris	111566240	XP_023122515
Vertebrata	Amphiprion_ocellaris	111569839	XP_023128009
Vertebrata	Amphiprion_ocellaris	111577724	XP_023139907
Vertebrata	Anarhichas_minor	142933748	XP_075934078
Vertebrata	Anarhichas_minor	142938185	XP_075937547
Vertebrata	Anas_acuta	137850799	XP_068527317
Vertebrata	Anas_acuta	137861798	XP_068549382
Vertebrata	Anas_platyrhynchos	101791762	XP_038029579
Vertebrata	Anas_platyrhynchos	101802263	XP_027322863
Vertebrata	Anguilla_anguilla	118227630	XP_035274208
Vertebrata	Anguilla_anguilla	118233785	XP_035285613
Vertebrata	Anguilla_rostrata	135255088	XP_064191901
Vertebrata	Anguilla_rostrata	135261475	XP_064203875
Vertebrata	Anolis_carolinensis	100557762	XP_003222971
Vertebrata	Anolis_carolinensis	100563014	XP_003219879
Vertebrata	Anolis_sagrei_ordinatus	132774472	XP_060630603
Vertebrata	Anolis_sagrei_ordinatus	132783121	XP_060644189
Vertebrata	Anomalospiza_imberbis	137476685	XP_068051088
Vertebrata	Anomalospiza_imberbis	137481206	XP_068058850
Vertebrata	Anoplopoma_fimbria	129097262	XP_054462039
Vertebrata	Anoplopoma_fimbria	129100928	XP_054466459
Vertebrata	Anoplopoma_fimbria	129109694	XP_054477788
Vertebrata	Anser_cygnoides	106043072	XP_047934679
Vertebrata	Anser_cygnoides	106045027	XP_047901971
Vertebrata	Antechinus_flavipes	127543593	XP_051825770
Vertebrata	Antechinus_flavipes	127550720	XP_051835825
Vertebrata	Antechinus_flavipes	127563485	XP_051855964
Vertebrata	Antennarius_striatus	137601702	XP_068180153
Vertebrata	Antennarius_striatus	137607264	XP_068189006
Vertebrata	Antennarius_striatus	137614221	XP_068200039
Vertebrata	Antrostomus_carolinensis	104530565	XP_010173504
Vertebrata	Antrostomus_carolinensis	104531256	XP_010174394
Vertebrata	Aotus_nancymaae	105714065	XP_012303354
Vertebrata	Aotus_nancymaae	105732958	XP_064231918
Vertebrata	Apaloderma_vittatum	104267426	XP_009862918
Vertebrata	Apaloderma_vittatum	104277463	XP_009872402
Vertebrata	Aphelocoma_coerulescens	138104895	XP_068860309
Vertebrata	Aphelocoma_coerulescens	138116908	XP_068882837
Vertebrata	Apodemus_sylvaticus	127666480	XP_052015242
Vertebrata	Apodemus_sylvaticus	127671847	XP_052022857
Vertebrata	Apodemus_sylvaticus	127696236	XP_052054762
Vertebrata	Aptenodytes_forsteri	103896870	XP_009275059
Vertebrata	Aptenodytes_forsteri	103899696	XP_009278481
Vertebrata	Apteryx_mantelli_mantelli	106483282	XP_013796647
Vertebrata	Apteryx_mantelli_mantelli	106492898	XP_013808284
Vertebrata	Apteryx_rowi	112967564	XP_025924638
Vertebrata	Apteryx_rowi	112971806	XP_025933344
Vertebrata	Aquarana_catesbeiana	141112327	XP_073461119
Vertebrata	Aquarana_catesbeiana	141144809	XP_073486942
Vertebrata	Aquila_chrysaetos_chrysaetos	115340304	XP_029867585
Vertebrata	Aquila_chrysaetos_chrysaetos	115346244	XP_029881936
Vertebrata	Artibeus_jamaicensis	119043372	XP_036993222
Vertebrata	Artibeus_jamaicensis	119046440	XP_036997432
Vertebrata	Arvicanthis_niloticus	117701833	XP_034349145
Vertebrata	Arvicanthis_niloticus	117713109	XP_034365315
Vertebrata	Arvicanthis_niloticus	117723194	XP_034378550
Vertebrata	Arvicanthis_niloticus	117723785	XP_034379238
Vertebrata	Arvicola_amphibius	119801933	XP_038168645
Vertebrata	Arvicola_amphibius	119809809	XP_038178883
Vertebrata	Arvicola_amphibius	119822347	XP_038197421
Vertebrata	Astur_gentilis	126040516	XP_049660974
Vertebrata	Astur_gentilis	126051375	XP_049686486
Vertebrata	Astyanax_mexicanus	103025479	XP_007249482
Vertebrata	Astyanax_mexicanus	103025629	XP_007254594
Vertebrata	Astyanax_mexicanus	125787255	XP_049327155
Vertebrata	Athene_cunicularia	113476828	XP_026698585
Vertebrata	Athene_cunicularia	113484431	XP_026712616
Vertebrata	Athene_noctua	141957611	XP_074755498
Vertebrata	Athene_noctua	141963827	XP_074769594
Vertebrata	Austrofundulus_limnaeus	106517217	XP_013863392
Vertebrata	Austrofundulus_limnaeus	106521611	XP_013869710
Vertebrata	Austrofundulus_limnaeus	106532379	XP_013883872
Vertebrata	Aythya_fuligula	116485499	XP_032036802
Vertebrata	Aythya_fuligula	116493933	XP_032051503
Vertebrata	Balaenoptera_acutorostrata_scammoni	103001888	XP_007191716
Vertebrata	Balaenoptera_acutorostrata_scammoni	103016463	XP_007167656
