Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthopagrus_latus	119020588	XP_036955927
Vertebrata	Acanthopagrus_latus	119021399	XP_036957566
Vertebrata	Acinonyx_jubatus	106986024	XP_026902672
Vertebrata	Acipenser_ruthenus	117416641	XP_033883822
Vertebrata	Acipenser_ruthenus	117428392	XP_034774564
Vertebrata	Ahaetulla_prasina	131195469	XP_058033391
Vertebrata	Ailuropoda_melanoleuca	100466540	XP_034497472
Vertebrata	Alexandromys_fortis	126495663	XP_049989214
Vertebrata	Alligator_mississippiensis	102570396	XP_006263430
Vertebrata	Alligator_sinensis	102380148	XP_025053134
Vertebrata	Alosa_sapidissima	121707653	XP_041946286
Vertebrata	Alosa_sapidissima	121707683	XP_041946336
Vertebrata	Amphiprion_ocellaris	111575285	XP_023136095
Vertebrata	Amphiprion_ocellaris	111575521	XP_023136481
Vertebrata	Anguilla_anguilla	118207232	XP_035236486
Vertebrata	Anguilla_anguilla	118211429	XP_035244519
Vertebrata	Anguilla_rostrata	135234313	XP_064154855
Vertebrata	Anguilla_rostrata	135237801	XP_064161351
Vertebrata	Anolis_carolinensis	100565699	XP_008108335
Vertebrata	Anolis_sagrei_ordinatus	132773149	XP_060628117
Vertebrata	Anoplopoma_fimbria	129105930	XP_054473181
Vertebrata	Anoplopoma_fimbria	129106477	XP_054473865
Vertebrata	Antechinus_flavipes	127548896	XP_051832519
Vertebrata	Antennarius_striatus	137594813	XP_068170455
Vertebrata	Antennarius_striatus	137594836	XP_068170495
Vertebrata	Aotus_nancymaae	105727376	XP_064238973
Vertebrata	Apodemus_sylvaticus	127686283	XP_052040302
Vertebrata	Artibeus_jamaicensis	119065200	XP_037023033
Vertebrata	Arvicanthis_niloticus	117704562	XP_034352633
Vertebrata	Arvicola_amphibius	119814555	XP_038186344
Vertebrata	Astyanax_mexicanus	103027408	XP_022531428
Vertebrata	Astyanax_mexicanus	103041888	XP_007253436
Vertebrata	Austrofundulus_limnaeus	106516065	XP_013861695
Vertebrata	Austrofundulus_limnaeus	106517980	XP_013864493
Vertebrata	Balaenoptera_acutorostrata_scammoni	103018962	XP_007185513
Vertebrata	Balaenoptera_musculus	118881369	XP_036682127
Vertebrata	Betta_splendens	114856271	XP_029007920
Vertebrata	Betta_splendens	114856369	XP_055364993
Vertebrata	Bison_bison_bison	104985111	XP_010833422
Vertebrata	Boleophthalmus_pectinirostris	110168753	XP_020789899
Vertebrata	Boleophthalmus_pectinirostris	110168791	XP_020789939
Vertebrata	Bos_indicus	109567538	XP_019828122
Vertebrata	Bos_javanicus	133259870	XP_061293903
Vertebrata	Bos_mutus	102279286	XP_070237160
Vertebrata	Bos_taurus	282021	NP_776869
Vertebrata	Brachyistius_frenatus	138616420	XP_069546802
Vertebrata	Brachyistius_frenatus	138636919	XP_069581336
Vertebrata	Bubalus_bubalis	102391623	XP_025119092
Vertebrata	Bubalus_kerabau	129626070	XP_055401232
Vertebrata	Budorcas_taxicolor	128058223	XP_052506567
Vertebrata	Bufo_bufo	121004288	XP_040292384
Vertebrata	Bufo_gargarizans	122940309	XP_044152854
Vertebrata	Callithrix_jacchus	100403062	XP_035154773
Vertebrata	Callorhinchus_milii	103190529	XP_007909553
Vertebrata	Camelus_bactrianus	105071862	XP_010956925
Vertebrata	Camelus_dromedarius	105087868	XP_031289495
Vertebrata	Camelus_ferus	102521764	XP_032317240
Vertebrata	Canis_lupus_dingo	112674100	XP_025326161
Vertebrata	Canis_lupus_familiaris	100856661	XP_038313696
Vertebrata	Capra_hircus	100860894	XP_017913497
Vertebrata	Capricornis_sumatraensis	138091314	XP_068843148
Vertebrata	Carassius_auratus	113050312	XP_026068939
Vertebrata	Carassius_auratus	113097085	XP_026118088
Vertebrata	Carassius_gibelio	127959175	XP_052414142
Vertebrata	Carassius_gibelio	128015881	XP_052456060
Vertebrata	Caretta_caretta	125622399	XP_048676406
Vertebrata	Carettochelys_insculpta	142022178	XP_074867850
Vertebrata	Carlito_syrichta	103264305	XP_021570077
Vertebrata	Castor_canadensis	109690523	XP_020025515
Vertebrata	Cavia_porcellus	100734621	XP_013005859
Vertebrata	Cebidichthys_violaceus	137873774	XP_068568272
Vertebrata	Cebus_imitator	108313092	XP_017396884
Vertebrata	Cercocebus_atys	105585406	XP_011914452
Vertebrata	Cervus_canadensis	122448178	XP_043335209
Vertebrata	Chanodichthys_erythropterus	137011515	XP_067230511
Vertebrata	Cheilinus_undulatus	121507016	XP_041639059
Vertebrata	Cheilinus_undulatus	121507099	XP_041639188
Vertebrata	Chelonia_mydas	102929462	XP_037733066
Vertebrata	Chelonoidis_abingdonii	116815882	XP_032620509
Vertebrata	Chiloscyllium_plagiosum	122560120	XP_043566308
Vertebrata	Chiloscyllium_punctatum	140463033	XP_072412742
Vertebrata	Chionomys_nivalis	130881980	XP_057637830
Vertebrata	Chlorocebus_sabaeus	103244560	XP_008012673
Vertebrata	Chrysemys_picta	101948711	XP_005304652
Vertebrata	Clarias_gariepinus	128526115	XP_053353676
Vertebrata	Clarias_gariepinus	128526165	XP_053353744
Vertebrata	Clinocottus_analis	137796306	XP_068450271
Vertebrata	Clinocottus_analis	137796451	XP_068450489
Vertebrata	Clupea_harengus	105897882	XP_012680318
