Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthopagrus_latus	119011326	XP_036940282
Vertebrata	Acanthopagrus_latus	119011392	XP_036940401
Vertebrata	Acanthopagrus_latus	119020453	XP_036955653
Vertebrata	Acanthopagrus_latus	119020471	XP_036955701
Vertebrata	Acanthopagrus_latus	119020488	XP_036955724
Vertebrata	Acanthopagrus_latus	119020499	XP_036955745
Vertebrata	Acanthopagrus_latus	119020523	XP_036955779
Vertebrata	Acanthopagrus_latus	119030911	XP_036974766
Vertebrata	Acinonyx_jubatus	106972510	XP_026903161
Vertebrata	Acipenser_ruthenus	117427044	XP_034781318
Vertebrata	Acipenser_ruthenus	117968604	XP_034772251
Vertebrata	Agelaius_tricolor	139586515	XP_071276101
Vertebrata	Ailuropoda_melanoleuca	100475233	XP_034503093
Vertebrata	Alexandromys_fortis	126514045	XP_050018682
Vertebrata	Alosa_sapidissima	121717892	XP_041958533
Vertebrata	Alosa_sapidissima	121718572	XP_041959546
Vertebrata	Alosa_sapidissima	121718577	XP_041959556
Vertebrata	Alosa_sapidissima	121718578	XP_041959559
Vertebrata	Amphiprion_ocellaris	111570982	XP_023129774
Vertebrata	Amphiprion_ocellaris	111570984	XP_054866296
Vertebrata	Anas_acuta	137849139	XP_068524730
Vertebrata	Anoplopoma_fimbria	129095944	XP_054460533
Vertebrata	Anoplopoma_fimbria	129114026	XP_054482503
Vertebrata	Antechinus_flavipes	127560853	XP_051851708
Vertebrata	Antennarius_striatus	137600574	XP_068178376
Vertebrata	Aotus_nancymaae	105720823	XP_012312958
Vertebrata	Aphelocoma_coerulescens	138100821	XP_068854786
Vertebrata	Apodemus_sylvaticus	127694689	XP_052052241
Vertebrata	Apodemus_sylvaticus	127694865	XP_052052555
Vertebrata	Arvicanthis_niloticus	117710292	XP_034360926
Vertebrata	Arvicanthis_niloticus	117711361	XP_034362846
Vertebrata	Arvicanthis_niloticus	117711372	XP_034362867
Vertebrata	Arvicola_amphibius	119813001	XP_038183990
Vertebrata	Astyanax_mexicanus	103026959	XP_022532442
Vertebrata	Astyanax_mexicanus	103036852	XP_049322965
Vertebrata	Astyanax_mexicanus	103039932	XP_022532085
Vertebrata	Astyanax_mexicanus	111190048	XP_049323000
Vertebrata	Astyanax_mexicanus	111190674	XP_049322961
Vertebrata	Astyanax_mexicanus	125782391	XP_049322245
Vertebrata	Astyanax_mexicanus	125782392	XP_049322246
Vertebrata	Balaenoptera_acutorostrata_scammoni	102998643	XP_007166427
Vertebrata	Balaenoptera_musculus	118886906	XP_036693149
Vertebrata	Betta_splendens	114856233	XP_029007867
