Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103804513	XP_009075374
Vertebrata	Acanthopagrus_latus	119028769	XP_036970926
Vertebrata	Acanthopagrus_latus	119028900	XP_036971231
Vertebrata	Acinonyx_jubatus	106971857	XP_014924239
Vertebrata	Acipenser_ruthenus	117401417	XP_033857991
Vertebrata	Acipenser_ruthenus	117401443	XP_033858052
Vertebrata	Acipenser_ruthenus	117963032	XP_034768219
Vertebrata	Acipenser_ruthenus	117966368	XP_034768195
Vertebrata	Agelaius_tricolor	139588903	XP_071280804
Vertebrata	Ahaetulla_prasina	131192602	XP_058027853
Vertebrata	Ailuropoda_melanoleuca	100482804	XP_002930767
Vertebrata	Alexandromys_fortis	126491343	XP_049982874
Vertebrata	Alligator_mississippiensis	102573889	XP_014451661
Vertebrata	Alligator_sinensis	102368909	XP_014375053
Vertebrata	Alosa_sapidissima	121677823	XP_041912790
Vertebrata	Alosa_sapidissima	121677824	XP_041912791
Vertebrata	Alosa_sapidissima	121679448	XP_041914219
Vertebrata	Amphiprion_ocellaris	111585084	XP_023152087
Vertebrata	Amphiprion_ocellaris	111586568	XP_023152089
Vertebrata	Anarhichas_minor	142946516	XP_075943982
Vertebrata	Anarhichas_minor	142946961	XP_075944711
Vertebrata	Anas_acuta	137847987	XP_068522844
Vertebrata	Anguilla_anguilla	118225833	XP_035270726
Vertebrata	Anguilla_anguilla	118226535	XP_035272161
Vertebrata	Anguilla_anguilla	118228878	XP_035276326
Vertebrata	Anguilla_anguilla	118228901	XP_035276363
Vertebrata	Anguilla_rostrata	135252948	XP_064187696
Vertebrata	Anguilla_rostrata	135252950	XP_064187698
Vertebrata	Anguilla_rostrata	135257808	XP_064197027
Vertebrata	Anolis_carolinensis	100556298	XP_008101941
Vertebrata	Anolis_sagrei_ordinatus	132768077	XP_060619648
Vertebrata	Anomalospiza_imberbis	137464756	XP_068032357
Vertebrata	Anoplopoma_fimbria	129094241	XP_054458304
Vertebrata	Anoplopoma_fimbria	129095061	XP_054459399
Vertebrata	Anser_cygnoides	106040417	XP_047907446
Vertebrata	Antechinus_flavipes	127548298	XP_051831615
Vertebrata	Antennarius_striatus	137598373	XP_068174513
Vertebrata	Antennarius_striatus	137598374	XP_068174514
Vertebrata	Antrostomus_carolinensis	104528854	XP_010171298
Vertebrata	Aotus_nancymaae	105705399	XP_064224899
Vertebrata	Apaloderma_vittatum	104270889	XP_009863692
Vertebrata	Aphelocoma_coerulescens	138103122	XP_068857258
Vertebrata	Apodemus_sylvaticus	127668758	XP_052018471
Vertebrata	Aptenodytes_forsteri	103904825	XP_009284625
Vertebrata	Apteryx_mantelli_mantelli	106482500	XP_013795547
Vertebrata	Apteryx_mantelli_mantelli	106495445	XP_013811363
Vertebrata	Apteryx_rowi	112972260	XP_025934360
Vertebrata	Aquarana_catesbeiana	141107495	XP_073454369
Vertebrata	Aquila_chrysaetos_chrysaetos	115336420	XP_029859134
Vertebrata	Artibeus_jamaicensis	119054698	XP_037008603
Vertebrata	Arvicanthis_niloticus	117721429	XP_034375934
Vertebrata	Arvicola_amphibius	119812456	XP_038183070
Vertebrata	Astur_gentilis	126036028	XP_049651235
Vertebrata	Astyanax_mexicanus	103021581	XP_049334816
Vertebrata	Astyanax_mexicanus	103042854	XP_007240187
Vertebrata	Astyanax_mexicanus	103043174	XP_007240188
Vertebrata	Athene_cunicularia	113490034	XP_026722015
Vertebrata	Athene_noctua	141973335	XP_074787889
Vertebrata	Austrofundulus_limnaeus	106521565	XP_013869657
Vertebrata	Austrofundulus_limnaeus	106521567	XP_013869659
Vertebrata	Aythya_fuligula	116501160	XP_032062475
Vertebrata	Balaenoptera_acutorostrata_scammoni	103005101	XP_007184303
Vertebrata	Balaenoptera_musculus	118897104	XP_036711836
Vertebrata	Balearica_regulorum_gibbericeps	104642009	XP_010309139
Vertebrata	Betta_splendens	114853517	XP_029002797
Vertebrata	Betta_splendens	114853518	XP_029002799
Vertebrata	Bison_bison_bison	104992526	XP_010843739
Vertebrata	Boleophthalmus_pectinirostris	110160148	XP_020780438
Vertebrata	Bos_indicus	109563092	XP_019821844
Vertebrata	Bos_javanicus	133252850	XP_061281810
Vertebrata	Bos_mutus	102266770	XP_005902365
Vertebrata	Bos_taurus	280843	NP_001068588
Vertebrata	Brachyistius_frenatus	138621182	XP_069555121
Vertebrata	Brachyistius_frenatus	138621183	XP_069555122
Vertebrata	Bubalus_bubalis	102412415	NP_001277842
Vertebrata	Bubalus_kerabau	129650321	XP_055434646
Vertebrata	Buceros_rhinoceros_silvestris	104493122	XP_010134053
Vertebrata	Budorcas_taxicolor	128052180	XP_052500605
Vertebrata	Bufo_bufo	120989657	XP_040273829
Vertebrata	Bufo_gargarizans	122945880	XP_044161091
Vertebrata	Buteo_buteo	142027475	XP_074877828
Vertebrata	Callithrix_jacchus	100409187	XP_008977443
Vertebrata	Callorhinchus_milii	103183498	XP_007899209
Vertebrata	Callorhinchus_milii	103183499	XP_007899210
Vertebrata	Caloenas_nicobarica	136001292	XP_065511475
Vertebrata	Calonectris_borealis	142075211	XP_074992383
Vertebrata	Camelus_bactrianus	105069002	XP_010953325
Vertebrata	Camelus_dromedarius	105094532	XP_010984884
Vertebrata	Camelus_ferus	102520179	XP_006180278
Vertebrata	Canis_lupus_dingo	112669794	XP_025318991
Vertebrata	Canis_lupus_familiaris	403626	XP_005635791
Vertebrata	Capra_hircus	100860750	NP_001272536
Vertebrata	Capricornis_sumatraensis	138081058	XP_068830199
Vertebrata	Carassius_auratus	113040150	XP_026054218
Vertebrata	Carassius_auratus	113040152	XP_026054219
Vertebrata	Carassius_auratus	113040163	XP_026054237
Vertebrata	Carassius_auratus	113040164	XP_026054238
Vertebrata	Carassius_auratus	113045264	XP_026061295
Vertebrata	Carassius_auratus	113064829	XP_026091566
Vertebrata	Carassius_gibelio	127943264	XP_052395556
Vertebrata	Carassius_gibelio	127951104	XP_052404726
Vertebrata	Carassius_gibelio	127987964	XP_052446388
Vertebrata	Carassius_gibelio	127988557	XP_052447297
Vertebrata	Caretta_caretta	125637305	XP_048707583
Vertebrata	Carettochelys_insculpta	142013344	XP_074850703
Vertebrata	Cariama_cristata	104155615	XP_009698275
Vertebrata	Carlito_syrichta	103276581	XP_021562642
Vertebrata	Castor_canadensis	109695324	XP_020033362
Vertebrata	Cavia_porcellus	100135570	NP_001166449
Vertebrata	Cebidichthys_violaceus	137870231	XP_068563371
Vertebrata	Cebidichthys_violaceus	137870232	XP_068563372
Vertebrata	Cebus_imitator	108312012	XP_017395188
Vertebrata	Cercocebus_atys	105579258	XP_011901272
Vertebrata	Cervus_canadensis	122431880	XP_043309434
Vertebrata	Chaetura_pelagica	104389217	XP_009996477
Vertebrata	Chamaea_fasciata	136288446	XP_066037702
Vertebrata	Chanodichthys_erythropterus	137002865	XP_067218889
Vertebrata	Chanodichthys_erythropterus	137027685	XP_067252115
Vertebrata	Chanodichthys_erythropterus	137027686	XP_067252116
Vertebrata	Charadrius_vociferus	104288407	XP_009885513
Vertebrata	Cheilinus_undulatus	121512160	XP_041647198
Vertebrata	Cheilinus_undulatus	121512162	XP_041647201
Vertebrata	Chelonia_mydas	102941095	XP_007057988
Vertebrata	Chelonoidis_abingdonii	116815306	XP_032619436
Vertebrata	Chiloscyllium_plagiosum	122565148	XP_043576761
Vertebrata	Chiloscyllium_plagiosum	122565534	XP_043577526
Vertebrata	Chiloscyllium_punctatum	140494477	XP_072449795
Vertebrata	Chiloscyllium_punctatum	140494478	XP_072449796
Vertebrata	Chionomys_nivalis	130862900	XP_057608720
Vertebrata	Chlamydotis_macqueenii	104474269	XP_010128454
Vertebrata	Chlorocebus_sabaeus	103215415	XP_007960000
Vertebrata	Chroicocephalus_ridibundus	134508577	XP_063176468
Vertebrata	Chrysemys_picta	101932991	XP_005278929
Vertebrata	Ciconia_boyciana	140650970	XP_072716012
Vertebrata	Cinclus_cinclus	134056331	XP_062369058
Vertebrata	Clarias_gariepinus	128513107	XP_053342727
Vertebrata	Clarias_gariepinus	128542939	XP_053369117
Vertebrata	Clinocottus_analis	137794504	XP_068447425
Vertebrata	Clinocottus_analis	137794513	XP_068447454
Vertebrata	Clupea_harengus	105900970	XP_012683807
Vertebrata	Clupea_harengus	105900971	XP_012683808
Vertebrata	Clupea_harengus	122130758	XP_042561452
Vertebrata	Colius_striatus	104561210	XP_010205114
Vertebrata	Colobus_angolensis_palliatus	105510158	XP_011795179
Vertebrata	Cololabis_saira	133458378	XP_061594180
Vertebrata	Cololabis_saira	133458379	XP_061594182
Vertebrata	Colossoma_macropomum	118797146	XP_036412281
Vertebrata	Colossoma_macropomum	118818927	XP_036442371
Vertebrata	Colossoma_macropomum	118819290	XP_036442904
Vertebrata	Columba_livia	102097018	XP_005499150
Vertebrata	Conger_conger	133125962	XP_061093707
Vertebrata	Conger_conger	133126316	XP_061094382
Vertebrata	Conger_conger	133128086	XP_061097314
Vertebrata	Coregonus_clupeaformis	121533603	XP_041695626
Vertebrata	Coregonus_clupeaformis	121533604	XP_041695627
Vertebrata	Coregonus_clupeaformis	121535425	XP_041698409
Vertebrata	Coregonus_clupeaformis	121576808	XP_041746226
Vertebrata	Coregonus_clupeaformis	121577139	XP_041746857
Vertebrata	Corvus_brachyrhynchos	103619200	XP_017594836
Vertebrata	Corvus_cornix	104689737	XP_039423194
Vertebrata	Cottoperca_gobio	115006849	XP_029285278
Vertebrata	Cottoperca_gobio	115007104	XP_029285666
Vertebrata	Coturnix_japonica	107306443	XP_015705122
Vertebrata	Cricetulus_griseus	100689191	XP_027244681
Vertebrata	Crocodylus_porosus	109323269	XP_019410265
Vertebrata	Crocuta_crocuta	144239105	XP_077629231
Vertebrata	Crotalus_tigris	120311460	XP_039206917
Vertebrata	Ctenopharyngodon_idella	127504425	XP_051734925
Vertebrata	Ctenopharyngodon_idella	127520834	XP_051765430
Vertebrata	Ctenopharyngodon_idella	127520835	XP_051765431
Vertebrata	Cuculus_canorus	104062650	XP_053910827
Vertebrata	Cyanistes_caeruleus	111941733	XP_023800683
Vertebrata	Cyclopterus_lumpus	117729846	XP_034387115
Vertebrata	Cyclopterus_lumpus	117730019	XP_034387359
Vertebrata	Cygnus_atratus	118256880	XP_050572568
Vertebrata	Cynoglossus_semilaevis	103397050	XP_008333524
Vertebrata	Cynoglossus_semilaevis	103397060	NP_001306750
Vertebrata	Cyprinodon_tularosa	119780851	XP_038137004
Vertebrata	Cyprinodon_tularosa	119780853	XP_038137007
Vertebrata	Cyprinodon_variegatus	107097308	XP_015249893
Vertebrata	Cyprinodon_variegatus	107097322	XP_015249924
Vertebrata	Cyprinus_carpio	109046620	XP_018919916
Vertebrata	Cyprinus_carpio	109046622	XP_042568381
Vertebrata	Cyprinus_carpio	109046956	XP_042604741
Vertebrata	Cyprinus_carpio	109090420	XP_042575005
Vertebrata	Cyprinus_carpio	122134025	XP_042568359
Vertebrata	Danio_aesculapii	130214301	XP_056301895
Vertebrata	Danio_aesculapii	130215512	XP_056303311
Vertebrata	Danio_aesculapii	130215813	XP_056303630
Vertebrata	Danio_rerio	100331214	XP_002666287
Vertebrata	Danio_rerio	101884800	XP_005174466
Vertebrata	Danio_rerio	30354	NP_571202
Vertebrata	Dasypus_novemcinctus	101424109	XP_004468945
Vertebrata	Delphinapterus_leucas	111169014	XP_022418609
Vertebrata	Delphinus_delphis	132427527	XP_059871097
Vertebrata	Dendrobates_tinctorius	141047990	XP_073399460
Vertebrata	Dermochelys_coriacea	119856130	XP_038259211
