Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103797256	XP_009067705
Vertebrata	Acanthopagrus_latus	119026318	XP_036966491
Vertebrata	Acinonyx_jubatus	106968281	XP_014920107
Vertebrata	Acipenser_ruthenus	117405726	XP_033864941
Vertebrata	Agelaius_tricolor	139592900	XP_071289383
Vertebrata	Ahaetulla_prasina	131193722	XP_058030207
Vertebrata	Ailuropoda_melanoleuca	100483166	XP_034526194
Vertebrata	Alexandromys_fortis	126505594	XP_050004668
Vertebrata	Alligator_mississippiensis	102572073	XP_006261552
Vertebrata	Alligator_sinensis	102368651	XP_014381681
Vertebrata	Alosa_sapidissima	121688794	XP_041924573
Vertebrata	Amphiprion_ocellaris	111570575	XP_023129188
Vertebrata	Anas_acuta	137864191	XP_068554166
Vertebrata	Anas_platyrhynchos	101801340	XP_038042992
Vertebrata	Anguilla_anguilla	118214478	XP_035250352
Vertebrata	Anguilla_rostrata	135241155	XP_064167377
Vertebrata	Anolis_carolinensis	100563242	XP_003226827
Vertebrata	Anolis_sagrei_ordinatus	132767949	XP_060619383
Vertebrata	Anomalospiza_imberbis	137469325	XP_068038045
Vertebrata	Anoplopoma_fimbria	129104484	XP_054471167
Vertebrata	Anser_cygnoides	106037445	XP_013038811
Vertebrata	Antechinus_flavipes	127554100	XP_051841294
Vertebrata	Antennarius_striatus	137605352	XP_068186081
Vertebrata	Antrostomus_carolinensis	104526029	XP_010167662
Vertebrata	Aotus_nancymaae	105725022	XP_012319364
Vertebrata	Apaloderma_vittatum	104276888	XP_009871649
Vertebrata	Aphelocoma_coerulescens	138113104	XP_068877079
Vertebrata	Apodemus_sylvaticus	127665832	XP_052014381
Vertebrata	Aptenodytes_forsteri	103895063	XP_009272846
Vertebrata	Apteryx_mantelli_mantelli	106490603	XP_013805501
Vertebrata	Apteryx_rowi	112965949	XP_025921286
Vertebrata	Aquarana_catesbeiana	141129471	XP_073473619
Vertebrata	Aquila_chrysaetos_chrysaetos	115343540	XP_029875426
Vertebrata	Artibeus_jamaicensis	119059197	XP_037014668
Vertebrata	Arvicanthis_niloticus	117717863	XP_034371202
Vertebrata	Arvicola_amphibius	119824771	XP_038201156
Vertebrata	Astur_gentilis	126049055	XP_049680796
Vertebrata	Astyanax_mexicanus	103024914	XP_022535491
Vertebrata	Astyanax_mexicanus	103031962	XP_022536169
Vertebrata	Athene_cunicularia	113481271	XP_026706565
Vertebrata	Athene_noctua	141970862	XP_074783885
Vertebrata	Austrofundulus_limnaeus	106531919	XP_013883322
Vertebrata	Aythya_fuligula	116498732	XP_032059005
Vertebrata	Balaenoptera_acutorostrata_scammoni	103001838	XP_007181941
Vertebrata	Balaenoptera_musculus	118894837	XP_036707388
Vertebrata	Balearica_regulorum_gibbericeps	104632321	XP_010296440
Vertebrata	Betta_splendens	114847633	XP_028993411
Vertebrata	Bison_bison_bison	104992479	XP_010843680
Vertebrata	Boleophthalmus_pectinirostris	110156183	XP_020776041
Vertebrata	Bos_indicus	109577314	XP_019841806
Vertebrata	Bos_javanicus	133236152	XP_061254011
Vertebrata	Bos_mutus	102276590	XP_005905496
Vertebrata	Bos_taurus	515900	NP_001015610
Vertebrata	Brachyistius_frenatus	138629610	XP_069569525
Vertebrata	Bubalus_bubalis	102403763	XP_006057669
Vertebrata	Bubalus_kerabau	129643568	XP_055424263
Vertebrata	Buceros_rhinoceros_silvestris	104499245	XP_010141030
Vertebrata	Budorcas_taxicolor	128057348	XP_052505830
Vertebrata	Bufo_bufo	120994334	XP_040278755
Vertebrata	Buteo_buteo	142033875	XP_074890493
Vertebrata	Callithrix_jacchus	100391282	XP_002758822
Vertebrata	Caloenas_nicobarica	136000337	XP_065510192
Vertebrata	Calonectris_borealis	142089730	XP_075022678
Vertebrata	Camelus_bactrianus	105081593	XP_010969153
Vertebrata	Camelus_dromedarius	105090326	XP_010979877
Vertebrata	Camelus_ferus	102503620	XP_006190538
Vertebrata	Canis_lupus_dingo	112677663	XP_025332182
Vertebrata	Canis_lupus_familiaris	100686158	XP_013965733
Vertebrata	Capra_hircus	102168941	XP_005675016
Vertebrata	Capricornis_sumatraensis	138078845	XP_068827695
Vertebrata	Caprimulgus_europaeus	306720806	XP_079050837
Vertebrata	Carassius_auratus	113053400	XP_026074171
Vertebrata	Carassius_auratus	113108556	XP_026127542
Vertebrata	Carassius_auratus	113108797	XP_026127906
Vertebrata	Carassius_gibelio	127965586	XP_052422394
Vertebrata	Carassius_gibelio	128019703	XP_052461803
Vertebrata	Caretta_caretta	125621624	XP_048674708
Vertebrata	Carettochelys_insculpta	142016451	XP_074856666
Vertebrata	Cariama_cristata	104155314	XP_009705571
Vertebrata	Carlito_syrichta	103258392	XP_008054258
Vertebrata	Castor_canadensis	109694535	XP_020032120
Vertebrata	Cavia_porcellus	100719689	XP_003469339
Vertebrata	Cebidichthys_violaceus	137892280	XP_068593413
