Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103807404	XP_009078380
Vertebrata	Acanthopagrus_latus	119033376	XP_036979272
Vertebrata	Acinonyx_jubatus	106973074	XP_026913365
Vertebrata	Acipenser_ruthenus	117403386	XP_033861390
Vertebrata	Acipenser_ruthenus	117411440	XP_033874880
Vertebrata	Agelaius_tricolor	139597336	XP_071298691
Vertebrata	Ahaetulla_prasina	131195308	XP_058033089
Vertebrata	Ailuropoda_melanoleuca	100465764	XP_002923000
Vertebrata	Alexandromys_fortis	126490023	XP_049980627
Vertebrata	Alligator_mississippiensis	102574818	XP_006262475
Vertebrata	Alligator_sinensis	102370472	XP_006024534
Vertebrata	Alosa_sapidissima	121685919	XP_041922708
Vertebrata	Amphiprion_ocellaris	111566479	XP_023122854
Vertebrata	Anas_acuta	137854662	XP_068534498
Vertebrata	Anas_platyrhynchos	101795561	NP_001297348
Vertebrata	Anguilla_anguilla	118218449	XP_035256991
Vertebrata	Anguilla_rostrata	135244613	XP_064173120
Vertebrata	Anolis_carolinensis	100552106	XP_003215478
Vertebrata	Anolis_sagrei_ordinatus	132783183	XP_060644259
Vertebrata	Anomalospiza_imberbis	137470386	XP_068039750
Vertebrata	Anoplopoma_fimbria	129091960	XP_054455646
Vertebrata	Anser_cygnoides	106030431	XP_066850900
Vertebrata	Antechinus_flavipes	127561859	XP_051853120
Vertebrata	Antennarius_striatus	137603621	XP_068183356
Vertebrata	Antrostomus_carolinensis	104531790	XP_010175088
Vertebrata	Aotus_nancymaae	105709598	XP_012296960
Vertebrata	Apaloderma_vittatum	104272372	XP_009865650
Vertebrata	Aphelocoma_coerulescens	138108576	XP_068867533
Vertebrata	Apodemus_sylvaticus	127688792	XP_052043736
Vertebrata	Aptenodytes_forsteri	103906614	XP_009286832
Vertebrata	Apteryx_mantelli_mantelli	106493256	XP_013808726
Vertebrata	Apteryx_rowi	112975719	XP_025941933
Vertebrata	Aquarana_catesbeiana	141139989	XP_073482773
Vertebrata	Aquila_chrysaetos_chrysaetos	115351170	XP_029893506
Vertebrata	Artibeus_jamaicensis	119059750	XP_037015460
Vertebrata	Arvicanthis_niloticus	117712879	XP_034364986
Vertebrata	Arvicola_amphibius	119809075	XP_038177704
Vertebrata	Astur_gentilis	126046685	XP_049675367
Vertebrata	Astyanax_mexicanus	103046943	XP_007240116
Vertebrata	Athene_cunicularia	113478094	XP_026700726
Vertebrata	Athene_noctua	141955979	XP_074751860
Vertebrata	Austrofundulus_limnaeus	106523809	XP_013872855
Vertebrata	Aythya_fuligula	116488238	XP_032041595
Vertebrata	Balaenoptera_acutorostrata_scammoni	103006755	XP_007193947
Vertebrata	Balaenoptera_musculus	118903606	XP_036724719
Vertebrata	Balearica_regulorum_gibbericeps	104640284	XP_010306906
Vertebrata	Betta_splendens	114841771	XP_028982733
Vertebrata	Bison_bison_bison	104992399	XP_010843563
Vertebrata	Boleophthalmus_pectinirostris	110157194	XP_020777130
Vertebrata	Bos_indicus	109577190	XP_019841549
Vertebrata	Bos_javanicus	133236425	XP_061254432
Vertebrata	Bos_mutus	102272645	XP_070216741
Vertebrata	Bos_taurus	617293	NP_001040062
Vertebrata	Brachyistius_frenatus	138629980	XP_069570133
Vertebrata	Bubalus_bubalis	102389407	XP_006051173
Vertebrata	Bubalus_kerabau	129645795	XP_055427176
Vertebrata	Buceros_rhinoceros_silvestris	104494193	XP_010135299
Vertebrata	Budorcas_taxicolor	128056154	XP_052504797
Vertebrata	Bufo_bufo	120998080	XP_040284499
