Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103802365	XP_009073076
Vertebrata	Acanthopagrus_latus	119023795	XP_036961854
Vertebrata	Acinonyx_jubatus	106970434	XP_026931393
Vertebrata	Acipenser_ruthenus	117419838	XP_033888993
Vertebrata	Agelaius_tricolor	139587802	XP_071278478
Vertebrata	Ahaetulla_prasina	131201752	XP_058045908
Vertebrata	Ailuropoda_melanoleuca	100481563	XP_002914240
Vertebrata	Alexandromys_fortis	126505273	XP_050004019
Vertebrata	Alligator_mississippiensis	102558059	XP_006275241
Vertebrata	Alligator_sinensis	102382949	XP_025054707
Vertebrata	Alosa_sapidissima	121724407	XP_041966891
Vertebrata	Amphiprion_ocellaris	111575925	XP_023137107
Vertebrata	Anas_acuta	137846075	XP_068519799
Vertebrata	Anas_platyrhynchos	101799380	XP_005021580
Vertebrata	Anguilla_anguilla	118232036	XP_035282459
Vertebrata	Anguilla_rostrata	135259832	XP_064200729
Vertebrata	Anolis_carolinensis	100561371	XP_008108756
Vertebrata	Anolis_sagrei_ordinatus	132775842	XP_060632848
Vertebrata	Anomalospiza_imberbis	137474404	XP_068047048
Vertebrata	Anoplopoma_fimbria	129107798	XP_054475317
Vertebrata	Anser_cygnoides	106031025	XP_013028587
Vertebrata	Antechinus_flavipes	127539357	XP_051819498
Vertebrata	Antennarius_striatus	137593758	XP_068168822
Vertebrata	Antennarius_striatus	137594584	XP_068170278
Vertebrata	Antrostomus_carolinensis	104521116	XP_010161318
Vertebrata	Aotus_nancymaae	105713736	XP_012302931
Vertebrata	Apaloderma_vittatum	104279751	XP_009875437
Vertebrata	Aphelocoma_coerulescens	138104169	XP_068859138
Vertebrata	Apodemus_sylvaticus	127678496	XP_052029449
Vertebrata	Aptenodytes_forsteri	103906458	XP_019329937
Vertebrata	Apteryx_mantelli_mantelli	106488440	XP_013802784
Vertebrata	Apteryx_rowi	112974654	XP_025939649
Vertebrata	Aquarana_catesbeiana	141132724	XP_073477585
Vertebrata	Aquila_chrysaetos_chrysaetos	115352671	XP_029897063
Vertebrata	Artibeus_jamaicensis	119044402	XP_053512589
Vertebrata	Arvicanthis_niloticus	117721006	XP_034375583
Vertebrata	Arvicola_amphibius	119806665	XP_038174458
Vertebrata	Astur_gentilis	126048020	XP_049678354
Vertebrata	Astyanax_mexicanus	103045961	XP_049339562
Vertebrata	Athene_cunicularia	113475880	XP_026696799
Vertebrata	Athene_noctua	141958470	XP_074757362
Vertebrata	Austrofundulus_limnaeus	106523183	XP_013871996
Vertebrata	Aythya_fuligula	116502115	XP_032063748
Vertebrata	Balaenoptera_acutorostrata_scammoni	103014081	XP_007177117
Vertebrata	Balaenoptera_musculus	118901337	XP_036720445
Vertebrata	Balearica_regulorum_gibbericeps	104636709	XP_010302245
Vertebrata	Betta_splendens	114857464	XP_029009808
Vertebrata	Bison_bison_bison	104999372	XP_010853247
Vertebrata	Boleophthalmus_pectinirostris	110175058	XP_020796835
Vertebrata	Bos_indicus	109557691	XP_019814730
Vertebrata	Bos_javanicus	133246492	XP_061270866
Vertebrata	Bos_mutus	102269002	XP_005899819
Vertebrata	Bos_taurus	509326	NP_001039492
Vertebrata	Brachyistius_frenatus	138624785	XP_069561396
Vertebrata	Bubalus_bubalis	102396566	XP_006078838
Vertebrata	Bubalus_kerabau	129659571	XP_055447051
Vertebrata	Buceros_rhinoceros_silvestris	104490051	XP_010130626
