Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103799330	XP_009069887
Vertebrata	Acanthopagrus_latus	119004392	XP_036927159
Vertebrata	Acanthopagrus_latus	119012514	XP_036942318
Vertebrata	Acinonyx_jubatus	106981957	XP_026921529
Vertebrata	Acipenser_ruthenus	117421737	XP_033892043
Vertebrata	Acipenser_ruthenus	117422437	XP_033893357
Vertebrata	Acipenser_ruthenus	117973977	XP_034783850
Vertebrata	Agelaius_tricolor	139589629	XP_071282216
Vertebrata	Ahaetulla_prasina	131188094	XP_058019073
Vertebrata	Ailuropoda_melanoleuca	100479340	XP_002919696
Vertebrata	Alexandromys_fortis	126513823	XP_050018329
Vertebrata	Alligator_mississippiensis	102577034	XP_019351318
Vertebrata	Alligator_sinensis	102385359	XP_014375970
Vertebrata	Alosa_sapidissima	121705825	XP_041943015
Vertebrata	Alosa_sapidissima	121711033	XP_041950243
Vertebrata	Amphiprion_ocellaris	111573281	XP_023133133
Vertebrata	Amphiprion_ocellaris	111574124	XP_023134326
Vertebrata	Anarhichas_minor	142968729	XP_075964851
Vertebrata	Anas_acuta	137856694	XP_068538406
Vertebrata	Anas_platyrhynchos	101791297	XP_027313871
Vertebrata	Anguilla_anguilla	118231899	XP_035282152
Vertebrata	Anguilla_rostrata	135247690	XP_064177509
Vertebrata	Anolis_carolinensis	100561471	XP_016853082
Vertebrata	Anolis_sagrei_ordinatus	132760843	XP_060609112
Vertebrata	Anomalospiza_imberbis	137476520	XP_068050981
Vertebrata	Anoplopoma_fimbria	129103553	XP_054470047
Vertebrata	Anoplopoma_fimbria	129106753	XP_054473943
Vertebrata	Anser_cygnoides	106044026	XP_066854720
Vertebrata	Antechinus_flavipes	127549711	XP_051833923
Vertebrata	Antennarius_striatus	137611312	XP_068195541
Vertebrata	Antennarius_striatus	137613586	XP_068199022
Vertebrata	Aotus_nancymaae	105716412	XP_012306451
Vertebrata	Aphelocoma_coerulescens	138111995	XP_068874720
Vertebrata	Apodemus_sylvaticus	127691691	XP_052047670
Vertebrata	Aptenodytes_forsteri	103907670	XP_009288161
Vertebrata	Apteryx_mantelli_mantelli	106485072	XP_013798828
Vertebrata	Apteryx_rowi	112961230	XP_025911962
Vertebrata	Aquarana_catesbeiana	141117056	XP_073465756
Vertebrata	Aquila_chrysaetos_chrysaetos	115335214	XP_029856451
Vertebrata	Artibeus_jamaicensis	119057000	XP_037011551
Vertebrata	Arvicanthis_niloticus	117705167	XP_034353394
Vertebrata	Arvicola_amphibius	119799961	XP_038165814
Vertebrata	Astur_gentilis	126050577	XP_049684574
Vertebrata	Astyanax_mexicanus	103023862	XP_007257468
Vertebrata	Astyanax_mexicanus	103030578	XP_049341247
Vertebrata	Athene_cunicularia	113480827	XP_026705818
Vertebrata	Athene_noctua	141961722	XP_074765028
Vertebrata	Austrofundulus_limnaeus	106518438	XP_013865183
Vertebrata	Aythya_fuligula	116489717	XP_032044192
Vertebrata	Balaenoptera_acutorostrata_scammoni	103010055	XP_007192936
Vertebrata	Balaenoptera_musculus	118890714	XP_036699779
Vertebrata	Betta_splendens	114848318	XP_028994565
Vertebrata	Betta_splendens	114849814	XP_028997381
Vertebrata	Bison_bison_bison	104994264	XP_010846076
Vertebrata	Boleophthalmus_pectinirostris	110156397	XP_020776259
Vertebrata	Bos_indicus	109565171	XP_019824472
Vertebrata	Bos_javanicus	133254721	XP_061284891
Vertebrata	Bos_mutus	102271817	XP_070233931
Vertebrata	Bos_taurus	338047	NP_788816
Vertebrata	Brachyistius_frenatus	138625140	XP_069561970
Vertebrata	Brachyistius_frenatus	138625900	XP_069563261
Vertebrata	Bubalus_bubalis	102399107	XP_025151285
Vertebrata	Bubalus_kerabau	129621531	XP_055394061
Vertebrata	Buceros_rhinoceros_silvestris	104495187	XP_010136424
Vertebrata	Budorcas_taxicolor	128054394	XP_052502985
Vertebrata	Bufo_bufo	120981780	XP_040267418
Vertebrata	Bufo_gargarizans	122921608	XP_044127652
Vertebrata	Bufo_gargarizans	122921731	XP_044127863
Vertebrata	Buteo_buteo	142031803	XP_074885591
Vertebrata	Callithrix_jacchus	100397054	XP_002753960
Vertebrata	Callorhinchus_milii	103175247	XP_007886343
Vertebrata	Caloenas_nicobarica	135989145	XP_065491834
Vertebrata	Calonectris_borealis	142082601	XP_075006862
Vertebrata	Camelus_bactrianus	105074584	XP_010960473
Vertebrata	Camelus_dromedarius	105091430	XP_010981237
Vertebrata	Camelus_ferus	102512617	XP_006185498
Vertebrata	Canis_lupus_dingo	112656901	XP_025298185
Vertebrata	Canis_lupus_familiaris	480326	XP_003435182
Vertebrata	Capra_hircus	102187228	XP_005685886
Vertebrata	Capricornis_sumatraensis	138073631	XP_068821567
Vertebrata	Caprimulgus_europaeus	306722280	XP_079053410
Vertebrata	Carassius_auratus	113060419	XP_026085107
Vertebrata	Carassius_auratus	113062984	XP_026088890
Vertebrata	Carassius_auratus	113116949	XP_026141045
Vertebrata	Carassius_auratus	113121125	XP_026147152
Vertebrata	Carassius_auratus	113121183	XP_026147245
Vertebrata	Carassius_gibelio	127938390	XP_052390933
Vertebrata	Carassius_gibelio	127975803	XP_052435746
Vertebrata	Carassius_gibelio	127983974	XP_052442380
Vertebrata	Carassius_gibelio	128031377	XP_052475556
Vertebrata	Caretta_caretta	125638071	XP_048709285
Vertebrata	Carettochelys_insculpta	142015104	XP_074854623
Vertebrata	Cariama_cristata	104159791	XP_009696092
Vertebrata	Carlito_syrichta	103264551	XP_008060423
Vertebrata	Castor_canadensis	109691902	XP_020027762
Vertebrata	Cavia_porcellus	100731571	XP_013010133
Vertebrata	Cebidichthys_violaceus	137871042	XP_068564700
Vertebrata	Cebidichthys_violaceus	137877783	XP_068573989
Vertebrata	Cebus_imitator	108291912	XP_017367871
Vertebrata	Cercocebus_atys	105586632	XP_011917234
Vertebrata	Cervus_canadensis	122443658	XP_043328052
Vertebrata	Chaetura_pelagica	104387696	XP_009994781
