Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103799021	XP_009069559
Vertebrata	Acanthopagrus_latus	119006662	XP_036931504
Vertebrata	Acanthopagrus_latus	119017197	XP_036949596
Vertebrata	Acinonyx_jubatus	106975530	XP_014928334
Vertebrata	Acipenser_ruthenus	117394388	XP_033848502
Vertebrata	Acipenser_ruthenus	117400451	XP_033856342
Vertebrata	Agelaius_tricolor	139587396	XP_071277779
Vertebrata	Ahaetulla_prasina	131194922	XP_058032499
Vertebrata	Ailuropoda_melanoleuca	100464202	XP_002929570
Vertebrata	Alexandromys_fortis	126503502	XP_050001180
Vertebrata	Alligator_mississippiensis	106736785	XP_006263413
Vertebrata	Alligator_sinensis	102388354	XP_006026864
Vertebrata	Alosa_sapidissima	121695410	XP_041932145
Vertebrata	Alosa_sapidissima	121705912	XP_041943173
Vertebrata	Amphiprion_ocellaris	111562766	XP_023117250
Vertebrata	Amphiprion_ocellaris	111571912	XP_023131096
Vertebrata	Anarhichas_minor	142939176	XP_075938510
Vertebrata	Anarhichas_minor	142955110	XP_075952594
Vertebrata	Anas_acuta	137851429	XP_068528656
Vertebrata	Anas_platyrhynchos	101799123	XP_038030944
Vertebrata	Anguilla_anguilla	118219575	XP_035258742
Vertebrata	Anguilla_anguilla	118234463	XP_035286897
Vertebrata	Anguilla_rostrata	135256499	XP_064194390
Vertebrata	Anguilla_rostrata	135261497	XP_064203911
Vertebrata	Anolis_carolinensis	100564269	XP_003224871
Vertebrata	Anolis_sagrei_ordinatus	132775078	XP_060631803
Vertebrata	Anomalospiza_imberbis	137469505	XP_068038390
Vertebrata	Anoplopoma_fimbria	129096846	XP_054461500
Vertebrata	Anoplopoma_fimbria	129109822	XP_054477938
Vertebrata	Anser_cygnoides	106038500	XP_047927247
Vertebrata	Antechinus_flavipes	127544400	XP_051826981
Vertebrata	Antennarius_striatus	137601361	XP_068179616
Vertebrata	Antennarius_striatus	137607246	XP_068188968
Vertebrata	Antrostomus_carolinensis	104526763	XP_010168612
Vertebrata	Aotus_nancymaae	105726854	XP_021526941
Vertebrata	Aphelocoma_coerulescens	138105423	XP_068861487
Vertebrata	Apodemus_sylvaticus	127667580	XP_052016650
Vertebrata	Aptenodytes_forsteri	103897226	XP_009275487
Vertebrata	Apteryx_mantelli_mantelli	106496226	XP_013812277
Vertebrata	Apteryx_rowi	112960951	XP_025911471
Vertebrata	Aquarana_catesbeiana	141145463	XP_073488284
Vertebrata	Aquila_chrysaetos_chrysaetos	115340576	XP_029868219
Vertebrata	Artibeus_jamaicensis	119062772	XP_053516978
Vertebrata	Arvicanthis_niloticus	117718551	XP_034372151
Vertebrata	Arvicola_amphibius	119823264	XP_038199099
Vertebrata	Astur_gentilis	126048965	XP_049680537
Vertebrata	Astyanax_mexicanus	103032298	XP_049336512
Vertebrata	Astyanax_mexicanus	103042532	XP_022527698
Vertebrata	Athene_cunicularia	113477054	XP_026698936
Vertebrata	Athene_noctua	141956781	XP_074753689
Vertebrata	Austrofundulus_limnaeus	106530238	XP_013881274
Vertebrata	Austrofundulus_limnaeus	106533396	XP_013885115
Vertebrata	Aythya_fuligula	116485814	XP_032037354
Vertebrata	Balaenoptera_acutorostrata_scammoni	102998105	XP_007188878
Vertebrata	Balaenoptera_musculus	118883684	XP_036686640
Vertebrata	Balearica_regulorum_gibbericeps	104635112	XP_010300133
Vertebrata	Betta_splendens	114843337	XP_028985629
Vertebrata	Betta_splendens	114866090	XP_040928894
Vertebrata	Bison_bison_bison	104993087	XP_010844496
Vertebrata	Boleophthalmus_pectinirostris	110156489	XP_020776347
Vertebrata	Boleophthalmus_pectinirostris	110171596	XP_020792989
Vertebrata	Bos_javanicus	133260791	XP_061295485
Vertebrata	Bos_mutus	102280830	XP_005908730
Vertebrata	Bos_taurus	532663	NP_001073762
Vertebrata	Brachyistius_frenatus	138622944	XP_069558222
Vertebrata	Brachyistius_frenatus	138627743	XP_069566396
Vertebrata	Bubalus_bubalis	102392608	XP_025120745
