Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103802513	XP_009073246
Vertebrata	Acanthopagrus_latus	119032348	XP_036977310
Vertebrata	Acinonyx_jubatus	106973430	XP_014925974
Vertebrata	Acipenser_ruthenus	117414843	XP_033880555
Vertebrata	Acipenser_ruthenus	117419638	XP_033888490
Vertebrata	Agelaius_tricolor	139588184	XP_071279343
Vertebrata	Ahaetulla_prasina	131201974	XP_058046441
Vertebrata	Ailuropoda_melanoleuca	100468914	XP_002919280
Vertebrata	Alexandromys_fortis	126503790	XP_050001674
Vertebrata	Alligator_mississippiensis	102565544	XP_014453846
Vertebrata	Alligator_sinensis	102385788	XP_006031844
Vertebrata	Alosa_sapidissima	121697524	XP_041935000
Vertebrata	Amphiprion_ocellaris	111570872	XP_023129623
Vertebrata	Anarhichas_minor	142970837	XP_075967392
Vertebrata	Anas_acuta	137849171	XP_068524772
Vertebrata	Anas_platyrhynchos	101795596	XP_038025186
Vertebrata	Anguilla_anguilla	118219038	XP_035257729
Vertebrata	Anguilla_rostrata	135246005	XP_064175560
Vertebrata	Anolis_carolinensis	100565831	XP_003221111
Vertebrata	Anolis_sagrei_ordinatus	132776076	XP_060633268
Vertebrata	Anomalospiza_imberbis	137474126	XP_068046531
Vertebrata	Anoplopoma_fimbria	129112388	XP_054480445
Vertebrata	Anser_cygnoides	106036964	XP_047917179
Vertebrata	Antechinus_flavipes	127564536	XP_051857089
Vertebrata	Antennarius_striatus	137588992	XP_068162439
Vertebrata	Antrostomus_carolinensis	104532300	XP_010175780
Vertebrata	Aotus_nancymaae	105728751	XP_012324725
Vertebrata	Apaloderma_vittatum	104267457	XP_009871874
Vertebrata	Aphelocoma_coerulescens	138102702	XP_068856557
Vertebrata	Apodemus_sylvaticus	127670817	XP_052021313
Vertebrata	Aptenodytes_forsteri	103905189	XP_019329580
Vertebrata	Apteryx_mantelli_mantelli	106488190	XP_013802499
Vertebrata	Apteryx_rowi	112966209	XP_025921860
Vertebrata	Aquarana_catesbeiana	141132173	XP_073476375
Vertebrata	Aquila_chrysaetos_chrysaetos	115336325	XP_029858978
Vertebrata	Artibeus_jamaicensis	119060458	XP_037016489
Vertebrata	Arvicanthis_niloticus	143436082	XP_076776119
Vertebrata	Arvicola_amphibius	119803532	XP_038170842
Vertebrata	Astur_gentilis	126034447	XP_049648131
Vertebrata	Astyanax_mexicanus	103025317	XP_049329313
Vertebrata	Athene_cunicularia	113489172	XP_026720518
Vertebrata	Athene_noctua	141959174	XP_074758808
Vertebrata	Austrofundulus_limnaeus	106511529	XP_013855742
Vertebrata	Austrofundulus_limnaeus	106530283	XP_013881330
Vertebrata	Aythya_fuligula	116501459	XP_032062936
Vertebrata	Balaenoptera_acutorostrata_scammoni	103009151	XP_007165918
Vertebrata	Balaenoptera_musculus	118901717	XP_036721079
Vertebrata	Balearica_regulorum_gibbericeps	104637050	XP_010302701
Vertebrata	Betta_splendens	114862398	XP_029018493
Vertebrata	Bison_bison_bison	104985895	XP_010834595
Vertebrata	Boleophthalmus_pectinirostris	110161580	XP_020782000
Vertebrata	Bos_indicus	109559406	XP_019816674
Vertebrata	Bos_javanicus	133247763	XP_061272951
Vertebrata	Bos_mutus	102275332	XP_005898470
Vertebrata	Bos_taurus	507130	NP_001029452
Vertebrata	Brachyistius_frenatus	138636218	XP_069580231
Vertebrata	Bubalus_bubalis	102395927	XP_006073604
Vertebrata	Bubalus_kerabau	129649369	XP_055432694
Vertebrata	Buceros_rhinoceros_silvestris	104496708	XP_010138168
Vertebrata	Budorcas_taxicolor	128047435	XP_052495599
Vertebrata	Bufo_bufo	120979407	XP_040264084
Vertebrata	Bufo_gargarizans	122925883	XP_044133165
Vertebrata	Bufo_gargarizans	122928089	XP_044136516
Vertebrata	Buteo_buteo	142044928	XP_074914029
Vertebrata	Callithrix_jacchus	100413464	XP_002752928
Vertebrata	Callorhinchus_milii	103188893	XP_042201538
Vertebrata	Caloenas_nicobarica	136002572	XP_065513816
Vertebrata	Calonectris_borealis	142082871	XP_075007656
Vertebrata	Camelus_bactrianus	105075016	XP_010961057
Vertebrata	Camelus_dromedarius	105097432	XP_010988276
Vertebrata	Camelus_ferus	102508631	XP_006187526
Vertebrata	Canis_lupus_dingo	112654306	XP_025294476
Vertebrata	Canis_lupus_familiaris	482611	XP_539728
Vertebrata	Capra_hircus	102186092	XP_005680528
Vertebrata	Capricornis_sumatraensis	138079294	XP_068828288
Vertebrata	Carassius_auratus	113047946	XP_026065171
Vertebrata	Carassius_auratus	113058671	XP_026082582
Vertebrata	Carassius_gibelio	127956839	XP_052411028
Vertebrata	Carassius_gibelio	127977404	XP_052438269
Vertebrata	Caretta_caretta	125630070	XP_048691487
Vertebrata	Carettochelys_insculpta	142022107	XP_074867718
Vertebrata	Cariama_cristata	104154980	XP_009693218
Vertebrata	Carlito_syrichta	103251970	XP_008048760
Vertebrata	Castor_canadensis	109701233	XP_020042293
Vertebrata	Cavia_porcellus	100135571	NP_001166450
Vertebrata	Cebidichthys_violaceus	137889967	XP_068590131
Vertebrata	Cebus_imitator	108294349	XP_017371690
Vertebrata	Cercocebus_atys	105573420	XP_011888316
Vertebrata	Cervus_canadensis	122423490	XP_043296543
Vertebrata	Chaetura_pelagica	104398032	XP_010006375
Vertebrata	Chamaea_fasciata	136289519	XP_066039508
Vertebrata	Chanodichthys_erythropterus	137024284	XP_067247726
Vertebrata	Charadrius_vociferus	104284316	XP_009880943
Vertebrata	Cheilinus_undulatus	121505815	XP_041637300
Vertebrata	Chelonia_mydas	102947265	XP_037740752
Vertebrata	Chelonoidis_abingdonii	116829626	XP_032644420
Vertebrata	Chiloscyllium_plagiosum	122561540	XP_043569231
Vertebrata	Chiloscyllium_punctatum	140466779	XP_072418498
Vertebrata	Chionomys_nivalis	130866351	XP_057613697
Vertebrata	Chlamydotis_macqueenii	104476540	XP_010114672
Vertebrata	Chlorocebus_sabaeus	103238903	XP_008002498
Vertebrata	Chroicocephalus_ridibundus	134510010	XP_063178832
Vertebrata	Chrysemys_picta	101951914	XP_008176974
Vertebrata	Ciconia_boyciana	140653524	XP_072721792
Vertebrata	Cinclus_cinclus	134043271	XP_062347411
Vertebrata	Clarias_gariepinus	128534506	XP_053364928
Vertebrata	Clinocottus_analis	137791862	XP_068443158
Vertebrata	Clupea_harengus	105888567	XP_012669759
Vertebrata	Colius_striatus	104550173	XP_010200769
Vertebrata	Colobus_angolensis_palliatus	105506191	XP_011789631
Vertebrata	Cololabis_saira	133423811	XP_061570079
