Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103807105	XP_009078073
Vertebrata	Acanthopagrus_latus	119030624	XP_036974274
Vertebrata	Acinonyx_jubatus	106989376	XP_014943353
Vertebrata	Acipenser_ruthenus	117396656	XP_033850663
Vertebrata	Acipenser_ruthenus	117419288	XP_033887819
Vertebrata	Acipenser_ruthenus	117422169	XP_033892754
Vertebrata	Acipenser_ruthenus	117433636	XP_033911903
Vertebrata	Agelaius_tricolor	139603442	XP_071310473
Vertebrata	Ahaetulla_prasina	131186127	XP_058015396
Vertebrata	Ailuropoda_melanoleuca	100465480	XP_002915250
Vertebrata	Alexandromys_fortis	126509418	XP_050011282
Vertebrata	Alligator_mississippiensis	102572117	XP_006272348
Vertebrata	Alligator_sinensis	102385675	XP_006024419
Vertebrata	Alosa_sapidissima	121681035	XP_041916586
Vertebrata	Amphiprion_ocellaris	111564098	XP_023119221
Vertebrata	Anas_acuta	137842469	XP_068512599
Vertebrata	Anas_platyrhynchos	101804367	XP_027326997
Vertebrata	Anguilla_anguilla	118213345	XP_035248129
Vertebrata	Anguilla_rostrata	135239252	XP_064163854
Vertebrata	Anolis_carolinensis	100556359	XP_003230564
Vertebrata	Anolis_sagrei_ordinatus	132763944	XP_060613751
Vertebrata	Anomalospiza_imberbis	137486199	XP_068067400
Vertebrata	Anoplopoma_fimbria	129102800	XP_054469045
Vertebrata	Antechinus_flavipes	127550890	XP_051836134
Vertebrata	Antennarius_striatus	137608116	XP_068190282
Vertebrata	Antrostomus_carolinensis	104530406	XP_010173278
Vertebrata	Aotus_nancymaae	105721122	XP_012313404
Vertebrata	Apaloderma_vittatum	104274573	XP_009868543
Vertebrata	Aphelocoma_coerulescens	138119655	XP_068887851
Vertebrata	Apodemus_sylvaticus	127685202	XP_052038087
Vertebrata	Aptenodytes_forsteri	103905302	XP_009285193
Vertebrata	Apteryx_mantelli_mantelli	106486076	XP_013800063
Vertebrata	Aquarana_catesbeiana	141108492	XP_073456243
Vertebrata	Aquila_chrysaetos_chrysaetos	115335135	XP_029856268
Vertebrata	Artibeus_jamaicensis	119049480	XP_037001399
Vertebrata	Arvicanthis_niloticus	117702315	XP_034349424
Vertebrata	Arvicola_amphibius	119820024	XP_038194196
Vertebrata	Astur_gentilis	126052445	XP_049689065
Vertebrata	Astyanax_mexicanus	103045893	XP_007257020
Vertebrata	Athene_cunicularia	113486551	XP_026716400
Vertebrata	Athene_noctua	141968842	XP_074780138
Vertebrata	Austrofundulus_limnaeus	106516303	XP_013862048
Vertebrata	Aythya_fuligula	116496961	XP_032056291
Vertebrata	Balaenoptera_acutorostrata_scammoni	103003465	XP_007194576
Vertebrata	Balaenoptera_musculus	118896633	XP_036710589
Vertebrata	Balearica_regulorum_gibbericeps	104634096	XP_010298837
Vertebrata	Betta_splendens	114866494	XP_029024132
Vertebrata	Bison_bison_bison	105000797	XP_010855108
Vertebrata	Boleophthalmus_pectinirostris	110157492	XP_020777497
Vertebrata	Bos_indicus	109566538	XP_019826560
Vertebrata	Bos_javanicus	133257630	XP_061289786
Vertebrata	Bos_mutus	102267091	XP_005908847
Vertebrata	Bos_taurus	282019	NP_776868
Vertebrata	Brachyistius_frenatus	138630977	XP_069571773
Vertebrata	Bubalus_bubalis	102410526	XP_006044160
Vertebrata	Buceros_rhinoceros_silvestris	104492324	XP_010133168
Vertebrata	Budorcas_taxicolor	128056797	XP_052505562
Vertebrata	Bufo_bufo	120977285	XP_040261074
Vertebrata	Bufo_gargarizans	122946733	XP_044162454
Vertebrata	Buteo_buteo	142043996	XP_074912037
Vertebrata	Callithrix_jacchus	100384917	XP_002743420
Vertebrata	Callorhinchus_milii	103183048	XP_007898481
Vertebrata	Calonectris_borealis	142091537	XP_075027070
Vertebrata	Camelus_bactrianus	105081127	XP_010968568
Vertebrata	Camelus_dromedarius	105092543	XP_010982532
Vertebrata	Camelus_ferus	102517530	XP_006181981
Vertebrata	Canis_lupus_dingo	112677319	XP_025331237
Vertebrata	Canis_lupus_familiaris	480698	NP_001116326
Vertebrata	Capra_hircus	102181874	XP_017911445
Vertebrata	Capricornis_sumatraensis	138088364	XP_068839549
Vertebrata	Carassius_auratus	113049387	XP_026067474
Vertebrata	Carassius_auratus	113075803	XP_026104239
Vertebrata	Carassius_gibelio	127958377	XP_052413188
Vertebrata	Carassius_gibelio	128006238	XP_052448685
Vertebrata	Caretta_caretta	125623627	XP_048679223
Vertebrata	Carettochelys_insculpta	142023789	XP_074871181
Vertebrata	Cariama_cristata	104158015	XP_009693878
Vertebrata	Carlito_syrichta	103250508	XP_008047295
Vertebrata	Castor_canadensis	109683234	XP_020014530
Vertebrata	Castor_canadensis	109693023	XP_020029632
Vertebrata	Cavia_porcellus	100733230	XP_003470992
Vertebrata	Cebidichthys_violaceus	137869319	XP_068562752
Vertebrata	Cebus_imitator	108283016	XP_017354586
Vertebrata	Cercocebus_atys	105576191	XP_011894249
Vertebrata	Cervus_canadensis	122442262	XP_043325751
Vertebrata	Chaetura_pelagica	104389843	XP_009997198
Vertebrata	Chamaea_fasciata	136299456	XP_066057200
Vertebrata	Chanodichthys_erythropterus	137034756	XP_067264021
Vertebrata	Charadrius_vociferus	104289107	XP_009886305
Vertebrata	Cheilinus_undulatus	121525475	XP_041667434
Vertebrata	Chelonia_mydas	102946468	XP_007061126
Vertebrata	Chelonoidis_abingdonii	116835211	XP_032653760
Vertebrata	Chiloscyllium_plagiosum	122541493	XP_043534242
Vertebrata	Chiloscyllium_plagiosum	122564956	XP_043576449
Vertebrata	Chiloscyllium_punctatum	140454990	XP_072405765
Vertebrata	Chiloscyllium_punctatum	140469396	XP_072421980
Vertebrata	Chionomys_nivalis	130864738	XP_057611466
