Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acinonyx_jubatus	106988139	XP_014942036
Vertebrata	Ailuropoda_melanoleuca	100483758	XP_002920387
Vertebrata	Alexandromys_fortis	126501679	XP_049998432
Vertebrata	Alexandromys_fortis	126501680	XP_049998434
Vertebrata	Alexandromys_fortis	126501681	XP_049998436
Vertebrata	Alexandromys_fortis	126506800	XP_050006587
Vertebrata	Aotus_nancymaae	105710839	XP_021526266
Vertebrata	Aotus_nancymaae	105710887	XP_012298807
Vertebrata	Aotus_nancymaae	105710891	XP_012298812
Vertebrata	Apodemus_sylvaticus	127664685	XP_052012741
Vertebrata	Aquarana_catesbeiana	141132848	XP_073477870
Vertebrata	Aquarana_catesbeiana	141132849	XP_073477871
Vertebrata	Aquarana_catesbeiana	141132850	XP_073477872
Vertebrata	Aquarana_catesbeiana	141132853	XP_073477873
Vertebrata	Aquarana_catesbeiana	141132854	XP_073477875
Vertebrata	Aquarana_catesbeiana	141132855	XP_073477877
Vertebrata	Aquarana_catesbeiana	141132856	XP_073477878
Vertebrata	Artibeus_jamaicensis	119057712	XP_037012500
Vertebrata	Arvicanthis_niloticus	117713832	XP_034366214
Vertebrata	Arvicola_amphibius	119816160	XP_038188438
Vertebrata	Arvicola_amphibius	119816243	XP_038188638
Vertebrata	Arvicola_amphibius	119826549	XP_038203868
Vertebrata	Balaenoptera_acutorostrata_scammoni	103002145	XP_007167513
Vertebrata	Balaenoptera_acutorostrata_scammoni	103003050	XP_007167517
Vertebrata	Balaenoptera_musculus	118891073	XP_036700568
Vertebrata	Balaenoptera_musculus	118891271	XP_036700945
Vertebrata	Bison_bison_bison	104985980	XP_010834679
Vertebrata	Bison_bison_bison	104985985	XP_010834688
Vertebrata	Bison_bison_bison	104985990	XP_010834693
Vertebrata	Bison_bison_bison	104985991	XP_010834694
Vertebrata	Bison_bison_bison	104985992	XP_010834695
Vertebrata	Bison_bison_bison	104985994	XP_010834696
Vertebrata	Bison_bison_bison	104985995	XP_010834697
Vertebrata	Bison_bison_bison	104985998	XP_010834700
Vertebrata	Bison_bison_bison	104985999	XP_010834701
Vertebrata	Bison_bison_bison	104986133	XP_010834897
Vertebrata	Bos_indicus	109567627	XP_019828218
Vertebrata	Bos_indicus	109568074	XP_019828858
Vertebrata	Bos_indicus	109568076	XP_019828859
Vertebrata	Bos_indicus	109568077	XP_019828861
Vertebrata	Bos_indicus	109568079	XP_019828866
Vertebrata	Bos_indicus	109568080	XP_019828867
Vertebrata	Bos_indicus	109568087	XP_019828871
Vertebrata	Bos_mutus	102269337	XP_005910127
Vertebrata	Bos_mutus	102271453	XP_005901874
Vertebrata	Bos_mutus	102271733	XP_005901875
Vertebrata	Bos_mutus	102272308	XP_070223125
Vertebrata	Bos_mutus	102272594	XP_070223038
Vertebrata	Bos_mutus	102272882	XP_005901879
Vertebrata	Bos_mutus	102273443	XP_005901880
Vertebrata	Bos_taurus	100139386	NP_001161132
Vertebrata	Bos_taurus	112441538	XP_024857120
Vertebrata	Bos_taurus	112449293	XP_024856826
Vertebrata	Bos_taurus	132342088	XP_024856639
Vertebrata	Bos_taurus	132342107	XP_024846507
Vertebrata	Bos_taurus	282138	NP_851370
Vertebrata	Bos_taurus	506594	XP_024857138
Vertebrata	Bos_taurus	527068	NP_001030444
Vertebrata	Bos_taurus	538060	NP_001193716
