Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103803450	XP_009074254
Vertebrata	Acanthopagrus_latus	119023839	XP_036961952
Vertebrata	Acanthopagrus_latus	119031780	XP_036976370
Vertebrata	Acinonyx_jubatus	106976671	XP_026892562
Vertebrata	Acipenser_ruthenus	117397270	XP_033851900
Vertebrata	Acipenser_ruthenus	117966540	XP_034768708
Vertebrata	Agelaius_tricolor	139600955	XP_071305670
Vertebrata	Ahaetulla_prasina	131203777	XP_058050361
Vertebrata	Ailuropoda_melanoleuca	100467645	XP_002914124
Vertebrata	Alexandromys_fortis	126487358	XP_049976032
Vertebrata	Alligator_mississippiensis	102571716	XP_006265546
Vertebrata	Alligator_sinensis	102385911	XP_006020452
Vertebrata	Alosa_sapidissima	121708699	XP_041947460
Vertebrata	Amphiprion_ocellaris	111575129	XP_023135836
Vertebrata	Amphiprion_ocellaris	111576308	XP_023137682
Vertebrata	Anarhichas_minor	142960276	XP_075958168
Vertebrata	Anas_acuta	137843696	XP_068515361
Vertebrata	Anas_platyrhynchos	101803446	XP_038023601
Vertebrata	Anguilla_anguilla	118235410	XP_035288566
Vertebrata	Anguilla_rostrata	135263264	XP_064207131
Vertebrata	Anolis_carolinensis	100566753	XP_003222854
Vertebrata	Anolis_sagrei_ordinatus	132782378	XP_060643118
Vertebrata	Anomalospiza_imberbis	137461983	XP_068027992
Vertebrata	Anoplopoma_fimbria	129108713	XP_054476588
Vertebrata	Anoplopoma_fimbria	129113783	XP_054482229
Vertebrata	Anser_cygnoides	106039809	XP_066837444
Vertebrata	Antennarius_striatus	137594375	XP_068169909
Vertebrata	Antennarius_striatus	137606763	XP_068188287
Vertebrata	Aotus_nancymaae	105729493	XP_012325694
Vertebrata	Apaloderma_vittatum	104275998	XP_009870439
Vertebrata	Aphelocoma_coerulescens	138098362	XP_068850972
Vertebrata	Apodemus_sylvaticus	127689204	XP_052044569
Vertebrata	Aptenodytes_forsteri	103905157	XP_009285013
Vertebrata	Apteryx_mantelli_mantelli	106490218	XP_013805045
Vertebrata	Apteryx_mantelli_mantelli	106491711	XP_013806826
Vertebrata	Apteryx_rowi	112968933	XP_025927502
Vertebrata	Aquarana_catesbeiana	141111164	XP_073459307
Vertebrata	Aquila_chrysaetos_chrysaetos	115344990	XP_029879005
Vertebrata	Artibeus_jamaicensis	119039314	XP_036987901
Vertebrata	Arvicanthis_niloticus	143439054	XP_076780909
Vertebrata	Arvicola_amphibius	119809515	XP_038178278
Vertebrata	Astur_gentilis	126038282	XP_049655791
Vertebrata	Astyanax_mexicanus	103032395	XP_007235701
Vertebrata	Athene_cunicularia	113488442	XP_026719382
Vertebrata	Athene_noctua	141970678	XP_074783534
Vertebrata	Austrofundulus_limnaeus	106514612	XP_013859422
Vertebrata	Austrofundulus_limnaeus	106514613	XP_013859423
Vertebrata	Aythya_fuligula	116497927	XP_032057881
Vertebrata	Balaenoptera_acutorostrata_scammoni	103004682	XP_007196757
Vertebrata	Balaenoptera_musculus	118899956	XP_036717932
Vertebrata	Betta_splendens	114857847	XP_029010558
Vertebrata	Betta_splendens	114869253	XP_029029146
Vertebrata	Betta_splendens	114869254	XP_029029147
Vertebrata	Betta_splendens	114869255	XP_029029148
Vertebrata	Bison_bison_bison	104981410	XP_010828798
Vertebrata	Boleophthalmus_pectinirostris	110168196	XP_020789275
Vertebrata	Boleophthalmus_pectinirostris	110169547	XP_020790747
Vertebrata	Bos_indicus	109569702	XP_019830905
Vertebrata	Bos_javanicus	133261864	XP_061296603
Vertebrata	Bos_mutus	102283021	XP_005897163
Vertebrata	Bos_taurus	525154	NP_001030433
Vertebrata	Brachyistius_frenatus	138624830	XP_069561471
Vertebrata	Brachyistius_frenatus	138627408	XP_069565804
Vertebrata	Bubalus_bubalis	102394495	XP_006044944
Vertebrata	Bubalus_bubalis	102410497	XP_044796384
Vertebrata	Bubalus_kerabau	129628847	XP_055404380
Vertebrata	Buceros_rhinoceros_silvestris	104500149	XP_010142057
Vertebrata	Budorcas_taxicolor	128045497	XP_052493955
Vertebrata	Budorcas_taxicolor	128060473	XP_052508837
Vertebrata	Bufo_bufo	121000786	XP_040287355
Vertebrata	Bufo_gargarizans	122926803	XP_044134232
Vertebrata	Buteo_buteo	142034877	XP_074892800
Vertebrata	Callithrix_jacchus	100387284	XP_002754561
Vertebrata	Callithrix_jacchus	100392016	XP_054107007
Vertebrata	Callorhinchus_milii	103190397	XP_007909349
Vertebrata	Callorhinchus_milii	121850762	XP_042199779
Vertebrata	Caloenas_nicobarica	135998820	XP_065508140
Vertebrata	Calonectris_borealis	142092674	XP_075029059
Vertebrata	Camelus_bactrianus	105078647	XP_010965534
Vertebrata	Camelus_dromedarius	105097554	XP_010988421
Vertebrata	Camelus_ferus	102520592	XP_032328200
Vertebrata	Canis_lupus_dingo	112671173	XP_025320980
Vertebrata	Canis_lupus_familiaris	610411	XP_038363864
Vertebrata	Capra_hircus	102180515	XP_005689619
Vertebrata	Capricornis_sumatraensis	138092499	XP_068844569
Vertebrata	Caprimulgus_europaeus	306728779	XP_079063921
Vertebrata	Carassius_auratus	113038585	XP_026051901
Vertebrata	Carassius_auratus	113078828	XP_026106923
Vertebrata	Carassius_auratus	113092286	XP_026113645
Vertebrata	Carassius_gibelio	127942367	XP_052394035
Vertebrata	Carassius_gibelio	127985742	XP_052443822
Vertebrata	Caretta_caretta	125625513	XP_048683625
Vertebrata	Cariama_cristata	104159146	XP_009695276
Vertebrata	Carlito_syrichta	103258745	XP_008054603
Vertebrata	Carlito_syrichta	103274563	XP_008070193
Vertebrata	Castor_canadensis	109698547	XP_020038465
Vertebrata	Cavia_porcellus	100723104	XP_003472690
Vertebrata	Cebidichthys_violaceus	137876238	XP_068571737
Vertebrata	Cebidichthys_violaceus	137881664	XP_068579799
Vertebrata	Cebus_imitator	108300668	XP_017379052
Vertebrata	Cercocebus_atys	105582529	XP_011908536
Vertebrata	Cervus_canadensis	122449770	XP_043337704
Vertebrata	Chaetura_pelagica	104386088	XP_009992923
Vertebrata	Chamaea_fasciata	136300746	XP_066059450
Vertebrata	Chanodichthys_erythropterus	137012921	XP_067232521
Vertebrata	Cheilinus_undulatus	121514677	XP_041650834
Vertebrata	Cheilinus_undulatus	121518327	XP_041656502
Vertebrata	Chelonia_mydas	102931181	XP_037738142
Vertebrata	Chelonoidis_abingdonii	116837729	XP_032658251
Vertebrata	Chiloscyllium_plagiosum	122540600	XP_043532457
Vertebrata	Chiloscyllium_punctatum	140494210	XP_072449479
Vertebrata	Chionomys_nivalis	130873190	XP_057623795
Vertebrata	Chlamydotis_macqueenii	104473515	XP_010123272
Vertebrata	Chlorocebus_sabaeus	103248668	XP_008019429
Vertebrata	Chroicocephalus_ridibundus	134524920	XP_063211306
Vertebrata	Chrysemys_picta	101952975	XP_005303802
Vertebrata	Ciconia_boyciana	140661900	XP_072740826
Vertebrata	Cinclus_cinclus	134053513	XP_062364507
Vertebrata	Clarias_gariepinus	128507265	XP_053333983
Vertebrata	Clinocottus_analis	137802815	XP_068457059
Vertebrata	Clinocottus_analis	137803815	XP_068458676
Vertebrata	Clupea_harengus	105911049	XP_012695280
Vertebrata	Colius_striatus	104555237	XP_010196858
Vertebrata	Colobus_angolensis_palliatus	105501143	XP_011782374
Vertebrata	Cololabis_saira	133459939	XP_061596331
Vertebrata	Colossoma_macropomum	118820083	XP_036444105
Vertebrata	Columba_livia	102095349	XP_005509217
Vertebrata	Conger_conger	133132171	XP_061103389
Vertebrata	Conger_conger	133132701	XP_061104327
Vertebrata	Coregonus_clupeaformis	121553736	XP_041723020
Vertebrata	Coregonus_clupeaformis	121573933	XP_041742279
Vertebrata	Corvus_brachyrhynchos	103618491	XP_008635130
Vertebrata	Corvus_cornix	104692196	XP_039420920
Vertebrata	Cottoperca_gobio	115009867	XP_029290008
Vertebrata	Cottoperca_gobio	115019205	XP_029304505
Vertebrata	Coturnix_japonica	107324219	XP_015739531
Vertebrata	Cricetulus_griseus	100752960	XP_027267677
Vertebrata	Crocodylus_porosus	109318043	XP_019402602
Vertebrata	Crocuta_crocuta	144241946	XP_077632794
Vertebrata	Crotalus_tigris	120319543	XP_039224424
Vertebrata	Ctenopharyngodon_idella	127504377	XP_051734906
Vertebrata	Cuculus_canorus	104056288	XP_053943184
Vertebrata	Cyanistes_caeruleus	111939317	XP_023797235
Vertebrata	Cyclopterus_lumpus	117732261	XP_034390978
Vertebrata	Cyclopterus_lumpus	117743241	XP_034406965
Vertebrata	Cygnus_atratus	118252513	XP_035411737
Vertebrata	Cynoglossus_semilaevis	103395378	XP_008331291
Vertebrata	Cyprinodon_tularosa	119795555	XP_038159545
Vertebrata	Cyprinodon_variegatus	107081853	XP_015225666
Vertebrata	Cyprinus_carpio	109105967	XP_042566821
Vertebrata	Danio_aesculapii	130215036	XP_056302901
Vertebrata	Danio_rerio	447891	NP_001004630
Vertebrata	Dasypus_novemcinctus	101444253	XP_004459587
Vertebrata	Delphinapterus_leucas	111167467	XP_022416076
Vertebrata	Delphinus_delphis	132429455	XP_059873750
Vertebrata	Delphinus_delphis	132439289	XP_059889543
Vertebrata	Dendrobates_tinctorius	141097596	XP_073440951
Vertebrata	Dermochelys_coriacea	119846596	XP_038236361
Vertebrata	Desmodus_rotundus	112301615	XP_024412869
Vertebrata	Desmodus_rotundus	112301887	XP_024413214
Vertebrata	Dipodomys_merriami	138810274	XP_069853498
Vertebrata	Dipodomys_merriami	138824437	XP_069874390
Vertebrata	Dipodomys_ordii	105980854	XP_012865274
Vertebrata	Dipodomys_spectabilis	122110385	XP_042538913
Vertebrata	Dromaius_novaehollandiae	112982681	XP_025955029
Vertebrata	Dryobates_pubescens	104301068	XP_009899709
Vertebrata	Echinops_telfairi	101663789	XP_004716327
Vertebrata	Egretta_garzetta	104125957	XP_009636754
Vertebrata	Electrophorus_electricus	113574240	XP_026860813
Vertebrata	Eleginops_maclovinus	134872734	XP_063752226
Vertebrata	Eleginops_maclovinus	134880240	XP_063763106
Vertebrata	Embiotoca_jacksoni	138196104	XP_069001948
Vertebrata	Embiotoca_jacksoni	138206467	XP_069019302
Vertebrata	Empidonax_traillii	114066789	XP_027757571
Vertebrata	Empidonax_traillii	114072326	XP_027766037
Vertebrata	Emydura_macquarii_macquarii	137164130	XP_067420827
Vertebrata	Emys_orbicularis	135889251	XP_065273148
