Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Ailuropoda_melanoleuca	100479002	XP_002924520
Vertebrata	Alexandromys_fortis	126514012	XP_050018630
Vertebrata	Aotus_nancymaae	105714417	XP_012303804
Vertebrata	Apodemus_sylvaticus	127694664	XP_052052194
Vertebrata	Artibeus_jamaicensis	119043192	XP_053528555
Vertebrata	Arvicanthis_niloticus	117710957	XP_034362189
Vertebrata	Arvicola_amphibius	119812940	XP_038183911
Vertebrata	Balaenoptera_acutorostrata_scammoni	103006231	XP_007166551
Vertebrata	Balaenoptera_musculus	118887047	XP_036693485
Vertebrata	Bison_bison_bison	104993943	XP_010845669
Vertebrata	Bos_indicus	109574003	XP_019837234
Vertebrata	Bos_javanicus	133232022	XP_061246907
Vertebrata	Bos_mutus	102285661	XP_005906104
Vertebrata	Bos_taurus	282139	NP_776926
Vertebrata	Bubalus_bubalis	102397311	XP_006060169
Vertebrata	Bubalus_kerabau	129649388	XP_055432728
Vertebrata	Budorcas_taxicolor	128065115	XP_052514196
Vertebrata	Callithrix_jacchus	100388086	XP_008994665
Vertebrata	Camelus_bactrianus	105066404	XP_010950030
Vertebrata	Camelus_dromedarius	105106001	XP_031323654
Vertebrata	Camelus_ferus	102522465	XP_032354109
Vertebrata	Camelus_ferus	116669221	XP_032354108
Vertebrata	Canis_lupus_dingo	112647513	XP_025284447
Vertebrata	Canis_lupus_familiaris	489458	XP_546576
Vertebrata	Capra_hircus	102179132	XP_017919991
Vertebrata	Capricornis_sumatraensis	138084752	XP_068835231
Vertebrata	Carlito_syrichta	103253284	XP_008049850
Vertebrata	Castor_canadensis	109697448	XP_020036652
Vertebrata	Cebus_imitator	108306442	XP_037595623
Vertebrata	Cercocebus_atys	105583615	XP_011910873
Vertebrata	Cervus_canadensis	122446330	XP_043332333
Vertebrata	Chionomys_nivalis	130877572	XP_057630979
Vertebrata	Chlorocebus_sabaeus	103242192	XP_008008118
Vertebrata	Colobus_angolensis_palliatus	105523522	XP_011813735
Vertebrata	Colobus_angolensis_palliatus	105523680	XP_011814018
Vertebrata	Crocuta_crocuta	144217259	XP_077602942
Vertebrata	Dasypus_novemcinctus	101445760	XP_023439479
Vertebrata	Delphinapterus_leucas	111185975	XP_022451845
Vertebrata	Delphinus_delphis	132414259	XP_059852629
Vertebrata	Desmodus_rotundus	112308861	XP_024420917
Vertebrata	Dipodomys_merriami	138813171	XP_069857486
Vertebrata	Dipodomys_merriami	138813172	XP_069857487
Vertebrata	Dipodomys_merriami	138813280	XP_069857718
Vertebrata	Dipodomys_ordii	105983203	XP_012868494
Vertebrata	Dipodomys_ordii	105983296	XP_012868587
Vertebrata	Dipodomys_ordii	105983343	XP_012868635
Vertebrata	Dipodomys_spectabilis	122100398	XP_042526719
Vertebrata	Dipodomys_spectabilis	122100448	XP_042526809
Vertebrata	Dipodomys_spectabilis	122108619	XP_042536539
Vertebrata	Echinops_telfairi	101649462	XP_045149256
Vertebrata	Echinops_telfairi	101654335	XP_045149254
Vertebrata	Enhydra_lutris_kenyoni	111161195	XP_022380480
Vertebrata	Eptesicus_fuscus	103299846	XP_008154919
Vertebrata	Eptesicus_fuscus	129147367	XP_054565264
Vertebrata	Equus_asinus	106844159	XP_044601665
Vertebrata	Equus_caballus	100072900	XP_023509153
Vertebrata	Eulemur_rufifrons	138392544	XP_069339490
Vertebrata	Eumetopias_jubatus	114225435	XP_027980935
Vertebrata	Galeopterus_variegatus	103588408	XP_008568293
Vertebrata	Globicephala_melas	115856204	XP_060146759
Vertebrata	Gorilla_gorilla_gorilla	101130490	XP_055223201
Vertebrata	Gracilinanus_agilis	123247523	XP_044532368
Vertebrata	Hipposideros_armiger	109394595	XP_019520342
Vertebrata	Homo_sapiens	246	NP_001131
Vertebrata	Hyaena_hyaena	120227740	XP_039081713
Vertebrata	Hylobates_moloch	116459226	XP_031995421
Vertebrata	Ictidomys_tridecemlineatus	101973674	XP_005337439
Vertebrata	Lagenorhynchus_albirostris	132511482	XP_059990643
Vertebrata	Lemur_catta	123621261	XP_045383113
Vertebrata	Leopardus_geoffroyi	123604211	XP_045345978
Vertebrata	Leptonychotes_weddellii	102732006	XP_030894845
Vertebrata	Leptonychotes_weddellii	102750374	XP_030894829
Vertebrata	Lipotes_vexillifer	103073785	XP_007457788
Vertebrata	Loxodonta_africana	100660599	XP_023411917
Vertebrata	Loxodonta_africana	104845446	XP_010594968
Vertebrata	Lutra_lutra	125087857	XP_047564539
Vertebrata	Macaca_fascicularis	102124513	XP_015292963
Vertebrata	Macaca_mulatta	100425071	XP_028692771
Vertebrata	Macaca_mulatta	709212	XP_001094627
Vertebrata	Macaca_nemestrina	105472240	XP_011723602
