Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103802552	XP_009073284
Vertebrata	Acanthisitta_chloris	103811677	XP_009082913
Vertebrata	Acanthopagrus_latus	119009448	XP_036936622
Vertebrata	Acanthopagrus_latus	119017614	XP_036950274
Vertebrata	Acinonyx_jubatus	106977882	XP_053059047
Vertebrata	Acinonyx_jubatus	106982601	XP_026898056
Vertebrata	Acipenser_ruthenus	117418121	XP_033886625
Vertebrata	Acipenser_ruthenus	117431015	XP_033907477
Vertebrata	Acipenser_ruthenus	117434906	XP_033913512
Vertebrata	Agelaius_tricolor	139590512	XP_071284292
Vertebrata	Agelaius_tricolor	139598104	XP_071300165
Vertebrata	Ahaetulla_prasina	131184328	XP_058011462
Vertebrata	Ahaetulla_prasina	131184995	XP_058012976
Vertebrata	Ailuropoda_melanoleuca	100465395	XP_011219640
Vertebrata	Ailuropoda_melanoleuca	100472698	XP_034501166
Vertebrata	Alexandromys_fortis	126489834	XP_049980364
Vertebrata	Alexandromys_fortis	126498453	XP_049993090
Vertebrata	Alligator_mississippiensis	102559166	XP_006265343
Vertebrata	Alligator_mississippiensis	102565457	XP_006270615
Vertebrata	Alligator_sinensis	102384949	XP_025062765
Vertebrata	Alligator_sinensis	102388608	XP_025062730
Vertebrata	Alosa_sapidissima	121681654	XP_041917442
Vertebrata	Alosa_sapidissima	121699739	XP_041938039
Vertebrata	Amphiprion_ocellaris	111574610	XP_023135056
Vertebrata	Amphiprion_ocellaris	111579272	XP_023142262
Vertebrata	Anarhichas_minor	142951525	XP_075949241
Vertebrata	Anarhichas_minor	142969859	XP_075966043
Vertebrata	Anas_acuta	137858061	XP_068541570
Vertebrata	Anas_acuta	137864692	XP_068555198
Vertebrata	Anas_platyrhynchos	101801520	XP_027325103
Vertebrata	Anas_platyrhynchos	101805484	XP_005029013
Vertebrata	Anguilla_anguilla	118214684	XP_035250706
Vertebrata	Anguilla_anguilla	118221606	XP_035262717
Vertebrata	Anguilla_anguilla	118227725	XP_035274433
Vertebrata	Anguilla_rostrata	135241784	XP_064168529
Vertebrata	Anguilla_rostrata	135248394	XP_064179052
Vertebrata	Anguilla_rostrata	135255117	XP_064191945
Vertebrata	Anolis_carolinensis	100551979	XP_008123941
Vertebrata	Anolis_carolinensis	103279659	XP_003224182
Vertebrata	Anolis_carolinensis	103280799	XP_016852993
Vertebrata	Anolis_sagrei_ordinatus	132772040	XP_060626721
Vertebrata	Anolis_sagrei_ordinatus	132782022	XP_060642644
Vertebrata	Anomalospiza_imberbis	137476269	XP_068050535
Vertebrata	Anomalospiza_imberbis	137483672	XP_068063071
Vertebrata	Anoplopoma_fimbria	129091249	XP_054454772
Vertebrata	Anoplopoma_fimbria	129102795	XP_054469043
Vertebrata	Anser_cygnoides	106033505	XP_047920633
Vertebrata	Anser_cygnoides	106048298	XP_047909031
Vertebrata	Antechinus_flavipes	127541859	XP_051823115
Vertebrata	Antechinus_flavipes	127564453	XP_051856943
Vertebrata	Antennarius_striatus	137588890	XP_068162312
Vertebrata	Antennarius_striatus	137609066	XP_068191941
Vertebrata	Antrostomus_carolinensis	104520541	XP_010160557
Vertebrata	Antrostomus_carolinensis	104523860	XP_010164867
Vertebrata	Aotus_nancymaae	105718621	XP_012309812
Vertebrata	Aotus_nancymaae	105719420	XP_012310900
Vertebrata	Apaloderma_vittatum	104271725	XP_009864786
Vertebrata	Apaloderma_vittatum	104278780	XP_009874166
Vertebrata	Aphelocoma_coerulescens	138111072	XP_068872367
Vertebrata	Aphelocoma_coerulescens	138118685	XP_068885939
Vertebrata	Apodemus_sylvaticus	127673106	XP_052024652
Vertebrata	Apodemus_sylvaticus	127690617	XP_052046125
Vertebrata	Aptenodytes_forsteri	103900883	XP_009279943
Vertebrata	Aptenodytes_forsteri	103907369	XP_009287800
Vertebrata	Apteryx_mantelli_mantelli	106485820	XP_013799731
Vertebrata	Apteryx_mantelli_mantelli	106491344	XP_013806372
Vertebrata	Apteryx_rowi	112974254	XP_025938790
