Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthopagrus_latus	119006334	XP_036930857
Vertebrata	Acinonyx_jubatus	106983970	XP_014937648
Vertebrata	Acipenser_ruthenus	117433549	XP_033911757
Vertebrata	Acipenser_ruthenus	117971184	XP_034775107
Vertebrata	Agelaius_tricolor	139586850	XP_071276616
Vertebrata	Ahaetulla_prasina	131190806	XP_058024206
Vertebrata	Ailuropoda_melanoleuca	100469135	XP_002930068
Vertebrata	Alexandromys_fortis	126494903	XP_049988360
Vertebrata	Alligator_mississippiensis	102573452	XP_006276591
Vertebrata	Alligator_sinensis	102374375	XP_006037708
Vertebrata	Alosa_sapidissima	121721263	XP_041963971
Vertebrata	Amphiprion_ocellaris	111569461	XP_023127361
Vertebrata	Anarhichas_minor	142969629	XP_075965738
Vertebrata	Anguilla_anguilla	118227717	XP_035274419
Vertebrata	Anguilla_rostrata	135240392	XP_064165877
Vertebrata	Anolis_carolinensis	100554840	XP_003228205
Vertebrata	Anolis_sagrei_ordinatus	132765196	XP_060615400
Vertebrata	Anoplopoma_fimbria	129109529	XP_054477590
Vertebrata	Anser_cygnoides	136788342	XP_066842731
Vertebrata	Antechinus_flavipes	127561067	XP_051852177
Vertebrata	Antennarius_striatus	137601638	XP_068180031
Vertebrata	Aotus_nancymaae	105706348	XP_012292099
Vertebrata	Aphelocoma_coerulescens	138100743	XP_068854712
Vertebrata	Apodemus_sylvaticus	127669394	XP_052019187
Vertebrata	Aquarana_catesbeiana	141107908	XP_073455069
Vertebrata	Artibeus_jamaicensis	119053747	XP_037007344
Vertebrata	Arvicanthis_niloticus	117724352	XP_034379982
Vertebrata	Arvicola_amphibius	119822477	XP_038197769
Vertebrata	Astyanax_mexicanus	103023921	XP_022530045
Vertebrata	Austrofundulus_limnaeus	106521037	XP_013868870
Vertebrata	Balaenoptera_acutorostrata_scammoni	102999240	XP_007194012
Vertebrata	Balaenoptera_musculus	118904354	XP_036726242
Vertebrata	Betta_splendens	114842925	XP_028984837
Vertebrata	Bison_bison_bison	104983784	XP_010831619
Vertebrata	Boleophthalmus_pectinirostris	110162457	XP_020783015
Vertebrata	Bos_indicus	109577262	XP_019841707
Vertebrata	Bos_javanicus	133236878	XP_061255112
Vertebrata	Bos_mutus	102282110	XP_005904257
Vertebrata	Bos_taurus	513252	NP_001069073
Vertebrata	Brachyistius_frenatus	138619294	XP_069551726
Vertebrata	Bubalus_bubalis	102388911	XP_006041981
Vertebrata	Bubalus_kerabau	129645729	XP_055427056
Vertebrata	Budorcas_taxicolor	128055435	XP_052503960
Vertebrata	Bufo_bufo	120977217	XP_040260980
Vertebrata	Bufo_gargarizans	122946585	XP_044162243
Vertebrata	Buteo_buteo	142026223	XP_074875226
Vertebrata	Callithrix_jacchus	100402450	XP_035151136
Vertebrata	Camelus_bactrianus	105074064	XP_010959808
Vertebrata	Camelus_dromedarius	105087517	XP_031290911
Vertebrata	Camelus_ferus	102514199	XP_006178831
Vertebrata	Canis_lupus_dingo	112641308	XP_025273993
Vertebrata	Canis_lupus_familiaris	474845	XP_013973796
Vertebrata	Capra_hircus	102181346	XP_005696638
Vertebrata	Capricornis_sumatraensis	138098023	XP_068850335
