Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103804601	XP_009075462
Vertebrata	Acanthopagrus_latus	119032146	XP_036976882
Vertebrata	Acinonyx_jubatus	106972731	XP_014925227
Vertebrata	Acipenser_ruthenus	117415050	XP_033880870
Vertebrata	Acipenser_ruthenus	117419443	XP_033888077
Vertebrata	Agelaius_tricolor	139588507	XP_071280070
Vertebrata	Ahaetulla_prasina	131202051	XP_058046554
Vertebrata	Ailuropoda_melanoleuca	100480963	XP_011234832
Vertebrata	Alexandromys_fortis	126500150	XP_049995783
Vertebrata	Alligator_mississippiensis	102564505	XP_006266644
Vertebrata	Alligator_sinensis	102388069	XP_006038461
Vertebrata	Amphiprion_ocellaris	111571463	XP_023130398
Vertebrata	Anas_acuta	137849828	XP_068525957
Vertebrata	Anas_platyrhynchos	101804191	XP_027315308
Vertebrata	Anguilla_anguilla	118231513	XP_035281258
Vertebrata	Anguilla_rostrata	135259269	XP_064199523
Vertebrata	Anolis_carolinensis	100559466	XP_003221577
Vertebrata	Anolis_sagrei_ordinatus	132776549	XP_060634309
Vertebrata	Anomalospiza_imberbis	137473721	XP_068045731
Vertebrata	Anoplopoma_fimbria	129112425	XP_054480494
Vertebrata	Anser_cygnoides	106035555	XP_013035906
Vertebrata	Antechinus_flavipes	127539471	XP_051819664
Vertebrata	Antennarius_striatus	137589053	XP_068162575
Vertebrata	Antrostomus_carolinensis	104529560	XP_010172200
Vertebrata	Aotus_nancymaae	105720180	XP_012311925
Vertebrata	Apaloderma_vittatum	104268839	XP_009867480
Vertebrata	Aphelocoma_coerulescens	138121998	XP_068892152
Vertebrata	Apodemus_sylvaticus	127678267	XP_052029046
Vertebrata	Aptenodytes_forsteri	103906983	XP_009287338
Vertebrata	Apteryx_mantelli_mantelli	106485772	XP_013799685
Vertebrata	Apteryx_rowi	112967029	XP_025923508
Vertebrata	Aquarana_catesbeiana	141131852	XP_073475705
Vertebrata	Aquila_chrysaetos_chrysaetos	115341143	XP_029869431
Vertebrata	Artibeus_jamaicensis	119065612	XP_037023597
Vertebrata	Arvicanthis_niloticus	117706956	XP_034356067
Vertebrata	Arvicola_amphibius	119803801	XP_038171149
Vertebrata	Astur_gentilis	126044452	XP_049670106
Vertebrata	Astyanax_mexicanus	103040918	XP_049330940
Vertebrata	Athene_cunicularia	113475913	XP_026696857
Vertebrata	Athene_noctua	141959393	XP_074759481
Vertebrata	Austrofundulus_limnaeus	106521795	XP_013869980
Vertebrata	Aythya_fuligula	116486589	XP_032038842
Vertebrata	Balaenoptera_acutorostrata_scammoni	103008372	XP_007187224
Vertebrata	Balaenoptera_musculus	118900837	XP_036719527
Vertebrata	Balearica_regulorum_gibbericeps	104632239	XP_010296344
Vertebrata	Betta_splendens	114862112	XP_029017907
Vertebrata	Bison_bison_bison	104994488	XP_010846381
Vertebrata	Boleophthalmus_pectinirostris	110156007	XP_020775848
Vertebrata	Bos_indicus	109557357	XP_019814188
Vertebrata	Bos_javanicus	133246011	XP_061269859
Vertebrata	Bos_mutus	102267222	XP_005895314
Vertebrata	Bos_taurus	541291	NP_001015680
Vertebrata	Brachyistius_frenatus	138621749	XP_069556111
Vertebrata	Bubalus_bubalis	102393342	XP_025146849
Vertebrata	Bubalus_kerabau	129659085	XP_055446136
Vertebrata	Buceros_rhinoceros_silvestris	104495302	XP_010136556
Vertebrata	Budorcas_taxicolor	128046538	XP_052494620
Vertebrata	Bufo_bufo	120982385	XP_040268427
Vertebrata	Bufo_gargarizans	122927865	XP_044136094
Vertebrata	Buteo_buteo	142029775	XP_074880881
Vertebrata	Callithrix_jacchus	100398969	XP_009000840
Vertebrata	Callorhinchus_milii	103176983	XP_007889081
Vertebrata	Caloenas_nicobarica	135987388	XP_065488335
Vertebrata	Calonectris_borealis	142079967	XP_075000765
Vertebrata	Camelus_bactrianus	105062398	XP_010944958
Vertebrata	Camelus_dromedarius	105093013	XP_010983103
Vertebrata	Camelus_ferus	102512680	XP_006181066
Vertebrata	Canis_lupus_dingo	112661469	XP_025305332
Vertebrata	Canis_lupus_familiaris	100685330	XP_038310105
Vertebrata	Capra_hircus	102189544	XP_005679160
Vertebrata	Capricornis_sumatraensis	138079896	XP_068828760
Vertebrata	Carassius_auratus	113062379	XP_026087983
Vertebrata	Carassius_gibelio	127956191	XP_052409930
Vertebrata	Caretta_caretta	125630456	XP_048692375
Vertebrata	Carettochelys_insculpta	142024772	XP_074873083
Vertebrata	Cariama_cristata	104157563	XP_009693251
Vertebrata	Carlito_syrichta	103257398	XP_008053316
Vertebrata	Castor_canadensis	109683824	XP_020015451
Vertebrata	Cavia_porcellus	100724473	XP_005003693
Vertebrata	Cebidichthys_violaceus	137888107	XP_068587511
Vertebrata	Cebus_imitator	108300285	XP_017378533
Vertebrata	Cercocebus_atys	105583185	XP_011910066
Vertebrata	Cervus_canadensis	122438280	XP_043318896
Vertebrata	Chaetura_pelagica	104394412	XP_010002303
Vertebrata	Chamaea_fasciata	136289243	XP_066038928
Vertebrata	Chanodichthys_erythropterus	137024511	XP_067248236
Vertebrata	Charadrius_vociferus	104284564	XP_009881212
Vertebrata	Cheilinus_undulatus	121505405	XP_041636637
Vertebrata	Chelonia_mydas	102934785	XP_027682043
Vertebrata	Chelonoidis_abingdonii	116821392	XP_032630421
Vertebrata	Chiloscyllium_plagiosum	122561745	XP_043569773
Vertebrata	Chiloscyllium_punctatum	140466895	XP_072418775
Vertebrata	Chionomys_nivalis	130867090	XP_057614814
Vertebrata	Chlamydotis_macqueenii	104486579	XP_010127605
Vertebrata	Chlorocebus_sabaeus	103226680	XP_007980648
Vertebrata	Chroicocephalus_ridibundus	134510328	XP_063179568
Vertebrata	Chrysemys_picta	101938499	XP_065413323
Vertebrata	Ciconia_boyciana	140650515	XP_072715005
Vertebrata	Cinclus_cinclus	134042897	XP_062346803
Vertebrata	Clinocottus_analis	137791711	XP_068442944
Vertebrata	Clupea_harengus	105910481	XP_012694659
Vertebrata	Colius_striatus	104555553	XP_010197331
Vertebrata	Colobus_angolensis_palliatus	105501702	XP_011783130
Vertebrata	Cololabis_saira	133424129	XP_061570551
Vertebrata	Colossoma_macropomum	118812652	XP_036433656
Vertebrata	Columba_livia	102087617	XP_005498137
Vertebrata	Conger_conger	133134918	XP_061107508
Vertebrata	Coregonus_clupeaformis	121553622	XP_041722815
Vertebrata	Corvus_brachyrhynchos	103623415	XP_008640732
Vertebrata	Corvus_cornix	104686879	XP_010393956
Vertebrata	Cottoperca_gobio	115028124	XP_029317414
Vertebrata	Coturnix_japonica	107323995	XP_015739158
Vertebrata	Cricetulus_griseus	100759349	XP_027249231
Vertebrata	Crocodylus_porosus	109315744	XP_019399139
