Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103804860	XP_009075742
Vertebrata	Acanthopagrus_latus	119025764	XP_036965581
Vertebrata	Acinonyx_jubatus	106981012	XP_053082753
Vertebrata	Acipenser_ruthenus	117433087	XP_034766569
Vertebrata	Acipenser_ruthenus	117965683	XP_034766567
Vertebrata	Agelaius_tricolor	139588016	XP_071278950
Vertebrata	Ailuropoda_melanoleuca	100472577	XP_019650016
Vertebrata	Alexandromys_fortis	126515802	XP_050021683
Vertebrata	Alosa_sapidissima	121718714	XP_041959743
Vertebrata	Amphiprion_ocellaris	111588208	XP_054866245
Vertebrata	Anarhichas_minor	142943675	XP_075941441
Vertebrata	Anas_acuta	137847698	XP_068522135
Vertebrata	Anas_platyrhynchos	101797588	XP_038024887
Vertebrata	Anguilla_anguilla	118220923	XP_035261279
Vertebrata	Anguilla_rostrata	135248818	XP_064179840
Vertebrata	Anoplopoma_fimbria	129095507	XP_054459946
Vertebrata	Anoplopoma_fimbria	129116800	XP_054483481
Vertebrata	Anser_cygnoides	106035895	XP_047904208
Vertebrata	Antechinus_flavipes	127538259	XP_051817891
Vertebrata	Antennarius_striatus	137600700	XP_068178555
Vertebrata	Antrostomus_carolinensis	104524957	XP_010166289
Vertebrata	Aotus_nancymaae	105721747	XP_021524405
Vertebrata	Apaloderma_vittatum	104277103	XP_009871950
Vertebrata	Aphelocoma_coerulescens	138104058	XP_068858911
Vertebrata	Apodemus_sylvaticus	127667644	XP_052016759
Vertebrata	Aptenodytes_forsteri	103907745	XP_009288248
Vertebrata	Apteryx_mantelli_mantelli	106488934	XP_013803500
Vertebrata	Apteryx_rowi	112969341	XP_025928328
Vertebrata	Aquarana_catesbeiana	141103230	XP_073448699
Vertebrata	Aquila_chrysaetos_chrysaetos	115352605	XP_029896900
Vertebrata	Artibeus_jamaicensis	119060262	XP_037016171
Vertebrata	Arvicanthis_niloticus	117718827	XP_034372649
Vertebrata	Arvicola_amphibius	119823469	XP_038199421
Vertebrata	Astur_gentilis	126047740	XP_049677753
