Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthopagrus_latus	119005970	XP_036930086
Vertebrata	Acanthopagrus_latus	119013253	XP_036943477
Vertebrata	Acanthopagrus_latus	119026682	XP_036967048
Vertebrata	Acinonyx_jubatus	106987762	XP_026908092
Vertebrata	Acinonyx_jubatus	106988651	XP_026893774
Vertebrata	Acipenser_ruthenus	117409982	XP_034769349
Vertebrata	Acipenser_ruthenus	117424343	XP_033896475
Vertebrata	Agelaius_tricolor	139602646	XP_071308753
Vertebrata	Ahaetulla_prasina	131191118	XP_058024911
Vertebrata	Ahaetulla_prasina	131197078	XP_058036690
Vertebrata	Ailuropoda_melanoleuca	100473787	XP_034497518
Vertebrata	Ailuropoda_melanoleuca	100479407	XP_011221557
Vertebrata	Alexandromys_fortis	126488049	XP_049977175
Vertebrata	Alexandromys_fortis	126500479	XP_049996371
Vertebrata	Alligator_mississippiensis	102558563	XP_006269287
Vertebrata	Alligator_mississippiensis	102566845	XP_006266577
Vertebrata	Alligator_sinensis	102374989	XP_025063571
Vertebrata	Alligator_sinensis	102385258	XP_006018367
Vertebrata	Alosa_sapidissima	121705784	XP_041942942
Vertebrata	Alosa_sapidissima	121719287	XP_041960697
Vertebrata	Alosa_sapidissima	121721195	XP_041963857
Vertebrata	Amphiprion_ocellaris	111564245	XP_023119485
Vertebrata	Amphiprion_ocellaris	111565381	XP_023121200
Vertebrata	Amphiprion_ocellaris	111574733	XP_023135248
Vertebrata	Anarhichas_minor	142945313	XP_075942844
Vertebrata	Anas_acuta	137841939	XP_068511541
Vertebrata	Anas_platyrhynchos	101798369	XP_027327498
Vertebrata	Anguilla_anguilla	118208340	XP_035238816
Vertebrata	Anguilla_anguilla	118219610	XP_035258818
Vertebrata	Anguilla_rostrata	135233735	XP_064153615
Vertebrata	Anguilla_rostrata	135249053	XP_064180368
Vertebrata	Anolis_carolinensis	100553167	XP_008102579
Vertebrata	Anolis_carolinensis	100553460	XP_008115402
Vertebrata	Anolis_sagrei_ordinatus	132768583	XP_060620595
Vertebrata	Anolis_sagrei_ordinatus	132777851	XP_060636341
Vertebrata	Anomalospiza_imberbis	137485121	XP_068065510
Vertebrata	Anoplopoma_fimbria	129096202	XP_054460883
Vertebrata	Anoplopoma_fimbria	129098263	XP_054463222
Vertebrata	Anoplopoma_fimbria	129110024	XP_054478160
Vertebrata	Anser_cygnoides	106034629	XP_066836473
Vertebrata	Antechinus_flavipes	127556534	XP_051845702
Vertebrata	Antechinus_flavipes	127560425	XP_051850951
Vertebrata	Antennarius_striatus	137600226	XP_068177835
Vertebrata	Antennarius_striatus	137602144	XP_068180864
Vertebrata	Antennarius_striatus	137609727	XP_068193063
Vertebrata	Aotus_nancymaae	105718098	XP_012309083
Vertebrata	Aotus_nancymaae	105722532	XP_012315502
Vertebrata	Aphelocoma_coerulescens	138120202	XP_068888779
Vertebrata	Apodemus_sylvaticus	127668961	XP_052018817
Vertebrata	Apodemus_sylvaticus	127695118	XP_052052987
Vertebrata	Aptenodytes_forsteri	103899022	XP_009277702
Vertebrata	Apteryx_rowi	112977766	XP_025946308
Vertebrata	Aquarana_catesbeiana	141110911	XP_073458799
Vertebrata	Aquarana_catesbeiana	141113218	XP_073462296
Vertebrata	Aquila_chrysaetos_chrysaetos	115341172	XP_029869504
Vertebrata	Artibeus_jamaicensis	119044423	XP_036994695
Vertebrata	Artibeus_jamaicensis	119058541	XP_037013708
Vertebrata	Arvicanthis_niloticus	117707319	XP_034356669
Vertebrata	Arvicanthis_niloticus	117711591	XP_034363245
Vertebrata	Arvicola_amphibius	119802538	XP_038169414
Vertebrata	Arvicola_amphibius	119812963	XP_038183933
Vertebrata	Astur_gentilis	126035035	XP_049649083
Vertebrata	Astur_gentilis	126044038	XP_049669141
Vertebrata	Astyanax_mexicanus	103023393	XP_007252205
Vertebrata	Astyanax_mexicanus	103040500	XP_049332091
Vertebrata	Astyanax_mexicanus	103043132	XP_007254565
Vertebrata	Athene_cunicularia	113486681	XP_026716610
Vertebrata	Athene_noctua	141967767	XP_074777995
Vertebrata	Austrofundulus_limnaeus	106518760	XP_013865612
Vertebrata	Austrofundulus_limnaeus	106534563	XP_013886703
Vertebrata	Austrofundulus_limnaeus	106536159	XP_013888811
Vertebrata	Austrofundulus_limnaeus	106537015	XP_013889832
Vertebrata	Aythya_fuligula	116496676	XP_032055808
Vertebrata	Balaenoptera_acutorostrata_scammoni	103003972	XP_007185809
Vertebrata	Balaenoptera_acutorostrata_scammoni	103010420	XP_007168287
Vertebrata	Balaenoptera_musculus	118884818	XP_036688716
