Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103812207	XP_009083465
Vertebrata	Acanthopagrus_latus	119016780	XP_036948915
Vertebrata	Acinonyx_jubatus	106977616	XP_014930624
Vertebrata	Acipenser_ruthenus	117413815	XP_033879045
Vertebrata	Agelaius_tricolor	139603066	XP_071309600
Vertebrata	Ahaetulla_prasina	131204193	XP_058051124
Vertebrata	Ailuropoda_melanoleuca	100475691	XP_034502975
Vertebrata	Alexandromys_fortis	126509422	XP_050011296
Vertebrata	Alligator_mississippiensis	102576653	XP_006276845
Vertebrata	Alligator_sinensis	102376098	XP_006019319
Vertebrata	Alosa_sapidissima	121695529	XP_041932390
Vertebrata	Amphiprion_ocellaris	111573413	XP_023133320
Vertebrata	Anarhichas_minor	142971926	XP_075968782
Vertebrata	Anas_acuta	137843193	XP_068514247
Vertebrata	Anas_platyrhynchos	119713597	XP_038023149
Vertebrata	Anguilla_anguilla	118214544	XP_035250526
Vertebrata	Anguilla_anguilla	118233100	XP_035284346
Vertebrata	Anguilla_rostrata	135259586	XP_064200231
Vertebrata	Anguilla_rostrata	135262017	XP_064204846
Vertebrata	Anolis_carolinensis	100551629	XP_003227413
Vertebrata	Anolis_sagrei_ordinatus	132780723	XP_060640446
Vertebrata	Anomalospiza_imberbis	137462431	XP_068028868
Vertebrata	Anoplopoma_fimbria	129097046	XP_054461718
Vertebrata	Antechinus_flavipes	127555659	XP_051844120
Vertebrata	Antennarius_striatus	137607302	XP_068189065
Vertebrata	Antrostomus_carolinensis	104518594	XP_010164774
Vertebrata	Aotus_nancymaae	105708616	XP_012295636
Vertebrata	Apaloderma_vittatum	104267299	XP_009865201
Vertebrata	Aphelocoma_coerulescens	138121838	XP_068891812
Vertebrata	Apodemus_sylvaticus	127681437	XP_052033642
Vertebrata	Aptenodytes_forsteri	103896366	XP_009274489
Vertebrata	Apteryx_mantelli_mantelli	106483388	XP_013796740
Vertebrata	Aquarana_catesbeiana	141128696	XP_073472232
Vertebrata	Aquila_chrysaetos_chrysaetos	115351687	XP_029894589
Vertebrata	Artibeus_jamaicensis	119042166	XP_036991669
Vertebrata	Arvicanthis_niloticus	117709448	XP_034359727
Vertebrata	Arvicola_amphibius	119816826	XP_038189733
Vertebrata	Astur_gentilis	126046821	XP_049675622
Vertebrata	Astyanax_mexicanus	103022415	XP_007238738
Vertebrata	Athene_cunicularia	113488269	XP_026719148
Vertebrata	Athene_noctua	141969805	XP_074782015
Vertebrata	Austrofundulus_limnaeus	106532651	XP_013884226
Vertebrata	Aythya_fuligula	116498148	XP_032058293
Vertebrata	Balaenoptera_acutorostrata_scammoni	103003299	XP_007178734
Vertebrata	Balaenoptera_musculus	118906507	XP_036729992
Vertebrata	Balearica_regulorum_gibbericeps	104643001	XP_010310478
Vertebrata	Betta_splendens	114865664	XP_029022806
Vertebrata	Bison_bison_bison	104981142	XP_010828394
Vertebrata	Boleophthalmus_pectinirostris	110153763	XP_020773344
Vertebrata	Bos_indicus	109573551	XP_019836360
Vertebrata	Bos_mutus	102268541	XP_005895933
Vertebrata	Bos_taurus	510253	NP_001193302
Vertebrata	Brachyistius_frenatus	138628461	XP_069567623
Vertebrata	Bubalus_bubalis	102416654	XP_006055494
Vertebrata	Bubalus_kerabau	129647013	XP_055430038
Vertebrata	Buceros_rhinoceros_silvestris	104497605	XP_010139176
Vertebrata	Budorcas_taxicolor	128043160	XP_052491394
Vertebrata	Bufo_bufo	120995195	XP_040280167
Vertebrata	Bufo_gargarizans	122931245	XP_044141228
Vertebrata	Bufo_gargarizans	122932195	XP_044142408
Vertebrata	Buteo_buteo	142040147	XP_074903608
Vertebrata	Callithrix_jacchus	100403437	XP_002750505
Vertebrata	Callorhinchus_milii	103179561	XP_007893109
Vertebrata	Caloenas_nicobarica	135997704	XP_065506593
Vertebrata	Camelus_bactrianus	105063474	XP_010946331
Vertebrata	Camelus_dromedarius	105100677	XP_031320280
Vertebrata	Camelus_ferus	102520778	XP_032351448
Vertebrata	Canis_lupus_dingo	112659914	XP_025302924
Vertebrata	Canis_lupus_familiaris	100684736	XP_003433907
Vertebrata	Capra_hircus	102171936	XP_017911764
Vertebrata	Capricornis_sumatraensis	138076740	XP_068825150
Vertebrata	Caprimulgus_europaeus	306728465	XP_079063386
Vertebrata	Carassius_auratus	113119080	XP_026144054
Vertebrata	Carassius_gibelio	127979294	XP_052440612
Vertebrata	Caretta_caretta	125624771	XP_048681944
Vertebrata	Carettochelys_insculpta	142001223	XP_074832355
Vertebrata	Cariama_cristata	104156149	XP_009707279
Vertebrata	Carlito_syrichta	103275655	XP_008071248
Vertebrata	Castor_canadensis	109683057	XP_020014286
Vertebrata	Cavia_porcellus	100731472	XP_003471358
Vertebrata	Cebidichthys_violaceus	137868081	XP_068560706
Vertebrata	Cebus_imitator	108308712	XP_017390129
Vertebrata	Cercocebus_atys	105594944	XP_011935449
Vertebrata	Cervus_canadensis	122426587	XP_043301559
Vertebrata	Chaetura_pelagica	104394117	XP_010001970
Vertebrata	Chamaea_fasciata	136301372	XP_066060446
Vertebrata	Chanodichthys_erythropterus	137002091	XP_067217700
Vertebrata	Charadrius_vociferus	104283936	XP_009880495
Vertebrata	Cheilinus_undulatus	121523356	XP_041664142
Vertebrata	Chelonia_mydas	102940539	XP_027683015
Vertebrata	Chelonoidis_abingdonii	116837969	XP_032658803
Vertebrata	Chiloscyllium_plagiosum	122563610	XP_043573496
Vertebrata	Chiloscyllium_punctatum	140453520	XP_072404365
Vertebrata	Chionomys_nivalis	130884304	XP_057641400
Vertebrata	Chlamydotis_macqueenii	104473916	XP_010125388
Vertebrata	Chlorocebus_sabaeus	103225321	XP_007978088
Vertebrata	Chroicocephalus_ridibundus	134525133	XP_063211751
Vertebrata	Chrysemys_picta	101952602	XP_008169208
Vertebrata	Cinclus_cinclus	134053690	XP_062364810
Vertebrata	Clarias_gariepinus	128515828	XP_053346013
Vertebrata	Clinocottus_analis	137784791	XP_068431819
Vertebrata	Clupea_harengus	105903662	XP_012686893
Vertebrata	Colius_striatus	104557249	XP_010199705
Vertebrata	Colobus_angolensis_palliatus	105521394	XP_011810996
Vertebrata	Cololabis_saira	133461260	XP_061598090
Vertebrata	Colossoma_macropomum	118802120	XP_036418490
Vertebrata	Columba_livia	102083720	XP_021140819
Vertebrata	Conger_conger	133107300	XP_061072279
Vertebrata	Conger_conger	133137011	XP_061110957
