Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103799871	XP_009070471
Vertebrata	Acanthisitta_chloris	103802950	XP_009073733
Vertebrata	Acanthopagrus_latus	119007987	XP_036933893
Vertebrata	Acinonyx_jubatus	106970167	XP_026932740
Vertebrata	Acipenser_ruthenus	117413502	XP_034764299
Vertebrata	Acipenser_ruthenus	117431402	XP_034782413
Vertebrata	Agelaius_tricolor	139597711	XP_071299426
Vertebrata	Agelaius_tricolor	139597716	XP_071299435
Vertebrata	Ahaetulla_prasina	131193548	XP_058029812
Vertebrata	Ailuropoda_melanoleuca	105238479	XP_034511726
Vertebrata	Alexandromys_fortis	126511469	XP_050014580
Vertebrata	Alligator_mississippiensis	102568686	XP_006263585
Vertebrata	Alligator_mississippiensis	102571710	XP_014452990
Vertebrata	Alligator_sinensis	102373647	XP_006026889
Vertebrata	Alligator_sinensis	102374413	XP_006026891
Vertebrata	Alosa_sapidissima	121694985	XP_041931382
Vertebrata	Amphiprion_ocellaris	111581646	XP_023145674
Vertebrata	Anas_acuta	137864339	XP_068554500
Vertebrata	Anas_acuta	137864360	XP_068554541
Vertebrata	Anas_platyrhynchos	101803851	XP_012959435
Vertebrata	Anas_platyrhynchos	101804397	XP_005024344
Vertebrata	Anguilla_anguilla	118223010	XP_035264944
Vertebrata	Anguilla_rostrata	135250043	XP_064181936
Vertebrata	Anolis_carolinensis	103277893	XP_008103054
Vertebrata	Anolis_sagrei_ordinatus	132768937	XP_060621389
Vertebrata	Anomalospiza_imberbis	137483070	XP_068061987
Vertebrata	Anomalospiza_imberbis	137483074	XP_068061996
Vertebrata	Anoplopoma_fimbria	129090438	XP_054454065
Vertebrata	Anser_cygnoides	106032815	XP_013031408
Vertebrata	Anser_cygnoides	106032894	XP_013031563
Vertebrata	Antechinus_flavipes	127550317	XP_051835079
Vertebrata	Antrostomus_carolinensis	104518195	XP_010169344
Vertebrata	Antrostomus_carolinensis	104525810	XP_010167369
Vertebrata	Aotus_nancymaae	105716770	XP_012306990
Vertebrata	Apaloderma_vittatum	104274425	XP_009868351
Vertebrata	Apaloderma_vittatum	104274752	XP_009868777
Vertebrata	Aphelocoma_coerulescens	138117934	XP_068884706
Vertebrata	Aphelocoma_coerulescens	138118026	XP_068884876
Vertebrata	Apodemus_sylvaticus	127695052	XP_052052884
Vertebrata	Aptenodytes_forsteri	103904395	XP_009284135
Vertebrata	Aptenodytes_forsteri	103904398	XP_009284138
Vertebrata	Apteryx_mantelli_mantelli	106493451	XP_013808954
Vertebrata	Apteryx_mantelli_mantelli	106493455	XP_013808958
Vertebrata	Apteryx_rowi	112964865	XP_025919250
Vertebrata	Apteryx_rowi	112964888	XP_025919281
Vertebrata	Aquarana_catesbeiana	141132513	XP_073477149
Vertebrata	Aquarana_catesbeiana	141132516	XP_073477156
Vertebrata	Aquila_chrysaetos_chrysaetos	115334117	XP_029853793
Vertebrata	Aquila_chrysaetos_chrysaetos	115334443	XP_029854433
Vertebrata	Artibeus_jamaicensis	119042626	XP_036992292
Vertebrata	Arvicanthis_niloticus	117711490	XP_034363079
Vertebrata	Arvicola_amphibius	119812452	XP_038183066
Vertebrata	Astur_gentilis	126050921	XP_049685426
Vertebrata	Astur_gentilis	126050997	XP_049685563
Vertebrata	Astyanax_mexicanus	103033591	XP_022539334
Vertebrata	Athene_cunicularia	113485203	XP_026714014
Vertebrata	Athene_cunicularia	113485336	XP_026714254
Vertebrata	Athene_noctua	141964995	XP_074772103
Vertebrata	Athene_noctua	141965052	XP_074772240
Vertebrata	Austrofundulus_limnaeus	106530294	XP_013881340
Vertebrata	Aythya_fuligula	116494761	XP_032052715
Vertebrata	Aythya_fuligula	116494904	XP_032052932
Vertebrata	Balaenoptera_acutorostrata_scammoni	103011981	XP_007169922
Vertebrata	Balaenoptera_musculus	118892932	XP_036703893
Vertebrata	Balearica_regulorum_gibbericeps	104637945	XP_010303904
Vertebrata	Balearica_regulorum_gibbericeps	104638529	XP_010304641
Vertebrata	Betta_splendens	114864444	XP_029021135
Vertebrata	Bison_bison_bison	104981752	XP_010829310
Vertebrata	Boleophthalmus_pectinirostris	110165507	XP_020786366
Vertebrata	Bos_mutus	102278603	XP_005893496
Vertebrata	Bos_taurus	511749	NP_001039563
Vertebrata	Brachyistius_frenatus	138635495	XP_069579094
Vertebrata	Bubalus_bubalis	102414907	XP_044804442
Vertebrata	Bubalus_kerabau	129641895	XP_055422442
Vertebrata	Buceros_rhinoceros_silvestris	104497725	XP_010139310
Vertebrata	Buceros_rhinoceros_silvestris	104499775	XP_010141631
