Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Ailuropoda_melanoleuca	100476924	XP_002928267
Vertebrata	Alexandromys_fortis	126498309	XP_049992778
Vertebrata	Alexandromys_fortis	126498312	XP_049992793
Vertebrata	Alexandromys_fortis	126498313	XP_049992794
Vertebrata	Alexandromys_fortis	126498314	XP_049992795
Vertebrata	Alexandromys_fortis	126498315	XP_049992802
Vertebrata	Antechinus_flavipes	127540488	XP_051821165
Vertebrata	Aotus_nancymaae	105730324	XP_012326862
Vertebrata	Apodemus_sylvaticus	127667303	XP_052016600
Vertebrata	Apodemus_sylvaticus	127689537	XP_052045195
Vertebrata	Aquarana_catesbeiana	141106332	XP_073453115
Vertebrata	Arvicanthis_niloticus	117721946	XP_034376726
Vertebrata	Arvicanthis_niloticus	117723317	XP_034378757
Vertebrata	Arvicola_amphibius	119811672	XP_038181520
Vertebrata	Arvicola_amphibius	119812880	XP_038183821
Vertebrata	Arvicola_amphibius	119812899	XP_038183848
Vertebrata	Arvicola_amphibius	119812916	XP_038183867
Vertebrata	Balaenoptera_acutorostrata_scammoni	103012684	XP_007196545
Vertebrata	Balaenoptera_acutorostrata_scammoni	103013536	XP_007196549
Vertebrata	Balaenoptera_musculus	118898704	XP_036715030
Vertebrata	Balaenoptera_musculus	118900085	XP_036718181
Vertebrata	Bison_bison_bison	104983647	XP_010831479
Vertebrata	Bison_bison_bison	104987662	XP_010836998
Vertebrata	Bison_bison_bison	105001532	XP_010856160
Vertebrata	Bos_indicus	109569864	XP_019831181
Vertebrata	Bos_indicus	109569929	XP_019831283
Vertebrata	Bos_indicus	109569937	XP_019831299
Vertebrata	Bos_javanicus	133227133	XP_061237573
Vertebrata	Bos_javanicus	133227134	XP_061237578
Vertebrata	Bos_javanicus	133227136	XP_061237581
Vertebrata	Bos_mutus	102270060	XP_070239233
Vertebrata	Bos_mutus	102270337	XP_005907436
Vertebrata	Bos_taurus	104974345	XP_024831702
Vertebrata	Bos_taurus	281787	NP_803479
Vertebrata	Bos_taurus	518623	NP_001095518
Vertebrata	Bubalus_bubalis	102402141	XP_025121787
Vertebrata	Bubalus_bubalis	102407775	XP_044785011
Vertebrata	Bubalus_kerabau	129628602	XP_055404027
Vertebrata	Bubalus_kerabau	129628605	XP_055404028
Vertebrata	Budorcas_taxicolor	128060630	XP_052508974
Vertebrata	Budorcas_taxicolor	128060651	XP_052508990
Vertebrata	Bufo_bufo	121003478	XP_040291292
Vertebrata	Bufo_gargarizans	122940898	XP_044153730
Vertebrata	Bufo_gargarizans	122942117	XP_044155548
Vertebrata	Callithrix_jacchus	100395000	XP_002755355
Vertebrata	Camelus_bactrianus	105070055	XP_010954625
Vertebrata	Camelus_bactrianus	105070057	XP_010954627
Vertebrata	Camelus_dromedarius	105094920	XP_010985331
Vertebrata	Camelus_dromedarius	105094922	XP_010985335
Vertebrata	Camelus_ferus	102512308	XP_014418910
Vertebrata	Camelus_ferus	102523093	XP_006173036
Vertebrata	Canis_lupus_dingo	112663397	XP_025308084
Vertebrata	Canis_lupus_familiaris	483463	XP_005631237
Vertebrata	Capra_hircus	102175500	XP_005690351
Vertebrata	Capra_hircus	102176061	XP_005690353
Vertebrata	Capricornis_sumatraensis	138092427	XP_068844405
Vertebrata	Capricornis_sumatraensis	138092525	XP_068844620
Vertebrata	Carlito_syrichta	103269914	XP_008065658
Vertebrata	Carlito_syrichta	103269915	XP_008065659
Vertebrata	Castor_canadensis	109678086	XP_020009372
Vertebrata	Cavia_porcellus	100730253	XP_003464227
Vertebrata	Cavia_porcellus	100733575	XP_003464239
Vertebrata	Cebus_imitator	108282879	XP_017354400
Vertebrata	Cercocebus_atys	105600759	XP_011947652
Vertebrata	Cervus_canadensis	122449920	XP_043337959
Vertebrata	Cervus_canadensis	122449923	XP_043337971
Vertebrata	Chionomys_nivalis	130880277	XP_057635216
Vertebrata	Chionomys_nivalis	130880593	XP_057635686
Vertebrata	Chionomys_nivalis	130880603	XP_057635702
Vertebrata	Chlorocebus_sabaeus	103235080	XP_007995846
Vertebrata	Colobus_angolensis_palliatus	105527196	XP_011818872
Vertebrata	Cricetulus_griseus	100774147	XP_035297362
Vertebrata	Cricetulus_griseus	100774433	XP_035297304
Vertebrata	Cricetulus_griseus	100774725	XP_035298995
Vertebrata	Crocuta_crocuta	144218865	XP_077604966
Vertebrata	Dasypus_novemcinctus	101423027	XP_004479306
Vertebrata	Delphinapterus_leucas	111183924	XP_022447614
Vertebrata	Delphinapterus_leucas	111183925	XP_022447618
Vertebrata	Delphinus_delphis	132429948	XP_059874939
Vertebrata	Delphinus_delphis	132429949	XP_059874942
Vertebrata	Dendrobates_tinctorius	141100079	XP_073444380
Vertebrata	Dendrobates_tinctorius	141100084	XP_073444391
Vertebrata	Desmodus_rotundus	112303558	XP_024414891
Vertebrata	Dipodomys_merriami	138833869	XP_069888365
Vertebrata	Dipodomys_ordii	105995257	XP_012884418
Vertebrata	Dipodomys_ordii	105995531	XP_012884730
Vertebrata	Dipodomys_spectabilis	122104903	XP_042531834
Vertebrata	Dipodomys_spectabilis	122104904	XP_042531839
Vertebrata	Echinops_telfairi	101657783	XP_045152988
Vertebrata	Echinops_telfairi	101658105	XP_004715052
Vertebrata	Enhydra_lutris_kenyoni	111150163	XP_022363266
Vertebrata	Eptesicus_fuscus	103292664	XP_008147124
Vertebrata	Eptesicus_fuscus	103292666	XP_054580841
Vertebrata	Eptesicus_fuscus	103292667	XP_008147126
Vertebrata	Eptesicus_fuscus	103292757	XP_054581330
Vertebrata	Equus_asinus	106825141	XP_014687255
Vertebrata	Equus_asinus	106825142	XP_014687256
Vertebrata	Equus_caballus	100066603	XP_001504745
Vertebrata	Equus_caballus	100068374	XP_001498276
Vertebrata	Equus_przewalskii	103556884	XP_008527407
Vertebrata	Equus_przewalskii	103556886	XP_008527408
Vertebrata	Eulemur_rufifrons	138385292	XP_069327539
Vertebrata	Eulemur_rufifrons	138385293	XP_069327543
Vertebrata	Eumetopias_jubatus	114215371	XP_027967142
Vertebrata	Felis_catus	101097840	XP_011285214
Vertebrata	Galeopterus_variegatus	103597524	XP_008579602
Vertebrata	Galeopterus_variegatus	103608043	XP_008590712
Vertebrata	Geotrypetes_seraphini	117348575	XP_033776741
Vertebrata	Globicephala_melas	115848535	XP_030705176
Vertebrata	Globicephala_melas	115848541	XP_030705187
Vertebrata	Gorilla_gorilla_gorilla	101124654	XP_004051276
Vertebrata	Gracilinanus_agilis	123256209	XP_044540817
Vertebrata	Herpailurus_yagouaroundi	121043386	XP_040350997
Vertebrata	Heterocephalus_glaber	101711412	XP_004869790
Vertebrata	Heterocephalus_glaber	101712854	XP_004869794
Vertebrata	Heterocephalus_glaber	101713466	XP_012922966
Vertebrata	Hipposideros_armiger	109389993	XP_019511512
Vertebrata	Homo_sapiens	10249	NP_964011
Vertebrata	Hyaena_hyaena	120240385	XP_039101040
Vertebrata	Hylobates_moloch	116468815	XP_032008844
Vertebrata	Ictidomys_tridecemlineatus	101960208	XP_021586296
Vertebrata	Ictidomys_tridecemlineatus	101961074	XP_005331618
Vertebrata	Lagenorhynchus_albirostris	132525152	XP_060013660
Vertebrata	Lagenorhynchus_albirostris	132525775	XP_060015070
Vertebrata	Lemur_catta	123642731	XP_045414083
Vertebrata	Leopardus_geoffroyi	123601725	XP_045341282
Vertebrata	Leptonychotes_weddellii	102749519	XP_006728603
Vertebrata	Lipotes_vexillifer	103084960	XP_007455745
Vertebrata	Lipotes_vexillifer	103085242	XP_007455746
Vertebrata	Loxodonta_africana	100662425	XP_003421399
Vertebrata	Loxodonta_africana	100663214	XP_010600949
Vertebrata	Loxodonta_africana	100668301	XP_010599209
Vertebrata	Loxodonta_africana	100668589	XP_023396328
Vertebrata	Loxodonta_africana	104847055	XP_023396329
Vertebrata	Lutra_lutra	125078915	XP_047548133
Vertebrata	Lynx_rufus	124506454	XP_046928477
Vertebrata	Macaca_fascicularis	102146442	XP_005577841
Vertebrata	Macaca_mulatta	114672254	XP_028689238
Vertebrata	Macaca_mulatta	701659	NP_001244199
Vertebrata	Macaca_nemestrina	105496094	XP_011764468
Vertebrata	Macaca_thibetana_thibetana	126936171	XP_050614594
Vertebrata	Mandrillus_leucophaeus	105530757	XP_011823820
Vertebrata	Marmota_marmota_marmota	107135854	XP_015333469
Vertebrata	Marmota_marmota_marmota	107135857	XP_015333475
Vertebrata	Mastomys_coucha	116101066	XP_031240620
Vertebrata	Mastomys_coucha	116101070	XP_031240623
Vertebrata	Meriones_unguiculatus	110565447	XP_021518803
Vertebrata	Meriones_unguiculatus	110565760	XP_021519195
Vertebrata	Mesocricetus_auratus	101831003	XP_005063858
Vertebrata	Mesocricetus_auratus	101841125	XP_012971132
Vertebrata	Microcaecilia_unicolor	115482199	XP_030077675
Vertebrata	Microcebus_murinus	105863143	XP_012605384
Vertebrata	Microtus_oregoni	121454269	XP_041517460
Vertebrata	Microtus_oregoni	121454334	XP_041517558
Vertebrata	Microtus_oregoni	121454336	XP_041517560
Vertebrata	Microtus_oregoni	121454473	XP_041517774
Vertebrata	Microtus_oregoni	121454631	XP_041517981
Vertebrata	Miniopterus_natalensis	107527658	XP_016055924
Vertebrata	Mirounga_angustirostris	123857966	XP_045751206
Vertebrata	Mirounga_leonina	118015877	XP_034868807
Vertebrata	Molossus_molossus	118628366	XP_036115165
Vertebrata	Molossus_molossus	118628713	XP_036115538
Vertebrata	Moschus_berezovskii	129537452	XP_055252831
Vertebrata	Moschus_berezovskii	129537453	XP_055252832
Vertebrata	Moschus_berezovskii	129554872	XP_055280152
Vertebrata	Muntiacus_reevesi	136174193	XP_065800242
Vertebrata	Muntiacus_reevesi	136174414	XP_065800657
Vertebrata	Muntiacus_reevesi	136174416	XP_065800662
Vertebrata	Mus_caroli	110285861	XP_021007981
Vertebrata	Mus_caroli	110285927	XP_021008064
Vertebrata	Mus_musculus	107146	NP_666047
Vertebrata	Mus_musculus	64697	NP_083826
Vertebrata	Mus_pahari	110333589	XP_021070854
Vertebrata	Mus_pahari	110334444	XP_021071816
Vertebrata	Mustela_lutreola	131812987	XP_058999060
Vertebrata	Mustela_nigripes	132020826	XP_059260941
Vertebrata	Mustela_putorius_furo	101672896	XP_004777682
Vertebrata	Myotis_brandtii	102246796	XP_005878672
Vertebrata	Myotis_brandtii	102250190	XP_014391816
Vertebrata	Myotis_daubentonii	132241127	XP_059565245
Vertebrata	Myotis_daubentonii	132241129	XP_059565249
Vertebrata	Myotis_daubentonii	132241131	XP_059565253
Vertebrata	Myotis_daubentonii	132241132	XP_059565254
Vertebrata	Myotis_davidii	102767900	XP_006772156
Vertebrata	Myotis_davidii	102768179	XP_006772157
Vertebrata	Myotis_davidii	102769546	XP_006772163
Vertebrata	Myotis_lucifugus	102441742	XP_006091903
Vertebrata	Myotis_lucifugus	102442368	XP_006091904
Vertebrata	Myotis_lucifugus	102442997	XP_023612325
Vertebrata	Myotis_lucifugus	111822960	XP_023612290
Vertebrata	Myotis_myotis	118663701	XP_036179467
Vertebrata	Myotis_myotis	118664990	XP_036181667
Vertebrata	Myotis_myotis	118664992	XP_036181673
Vertebrata	Myotis_yumanensis	139017965	XP_070282687
Vertebrata	Myotis_yumanensis	139017966	XP_070282690
Vertebrata	Myotis_yumanensis	139017969	XP_070282691
Vertebrata	Myotis_yumanensis	139017971	XP_070282693
Vertebrata	Nannospalax_galili	103733343	XP_008830387
Vertebrata	Nannospalax_galili	103733398	XP_008830429
Vertebrata	Nanorana_parkeri	108798821	XP_018426121
Vertebrata	Neogale_vison	122912951	XP_044115307
Vertebrata	Neomonachus_schauinslandi	110575841	XP_021540543
