Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103809507	XP_009080590
Vertebrata	Acanthopagrus_latus	119008668	XP_036935119
Vertebrata	Acinonyx_jubatus	106989498	XP_026906740
Vertebrata	Acipenser_ruthenus	117433562	XP_033911792
Vertebrata	Acipenser_ruthenus	117433918	XP_034773307
Vertebrata	Acipenser_ruthenus	117964789	XP_034765385
Vertebrata	Agelaius_tricolor	139603172	XP_071309773
Vertebrata	Ahaetulla_prasina	131186041	XP_058015227
Vertebrata	Ahaetulla_prasina	131186188	XP_058015516
Vertebrata	Ailuropoda_melanoleuca	100474593	XP_002929941
Vertebrata	Alexandromys_fortis	126509396	XP_050011242
Vertebrata	Alligator_mississippiensis	102562368	XP_014458135
Vertebrata	Alligator_mississippiensis	102565053	XP_006267624
Vertebrata	Alligator_sinensis	102385594	XP_006022759
Vertebrata	Alligator_sinensis	102386173	XP_006022760
Vertebrata	Alosa_sapidissima	121688653	XP_041924315
Vertebrata	Alosa_sapidissima	121708710	XP_041947474
Vertebrata	Amphiprion_ocellaris	111569761	XP_023127859
Vertebrata	Amphiprion_ocellaris	111573811	XP_023133908
Vertebrata	Amphiprion_ocellaris	111586188	XP_023151648
Vertebrata	Anas_acuta	137842800	XP_068513426
Vertebrata	Anas_platyrhynchos	101800035	XP_038020971
Vertebrata	Anguilla_anguilla	118234847	XP_035287543
Vertebrata	Anguilla_rostrata	135263106	XP_064206807
Vertebrata	Anolis_carolinensis	100559774	XP_008102568
Vertebrata	Anolis_sagrei_ordinatus	132766347	XP_060616741
Vertebrata	Anolis_sagrei_ordinatus	132768572	XP_060620575
Vertebrata	Anoplopoma_fimbria	129110769	XP_054478949
Vertebrata	Anoplopoma_fimbria	129113311	XP_054481506
Vertebrata	Anser_cygnoides	106037158	XP_047909712
Vertebrata	Antechinus_flavipes	127549118	XP_051832892
Vertebrata	Antennarius_striatus	137587583	XP_068160194
Vertebrata	Antennarius_striatus	137605858	XP_068186813
Vertebrata	Aotus_nancymaae	105712244	XP_012300646
Vertebrata	Aphelocoma_coerulescens	138119767	XP_068888020
Vertebrata	Apodemus_sylvaticus	127684084	XP_052037008
Vertebrata	Aptenodytes_forsteri	103908312	XP_019330503
Vertebrata	Apteryx_mantelli_mantelli	106494242	XP_013809923
Vertebrata	Apteryx_rowi	112969756	XP_025929158
Vertebrata	Aquarana_catesbeiana	141108393	XP_073456072
Vertebrata	Aquila_chrysaetos_chrysaetos	115335376	XP_029856775
Vertebrata	Artibeus_jamaicensis	119036146	XP_036983714
Vertebrata	Arvicanthis_niloticus	117711955	XP_034363801
Vertebrata	Arvicola_amphibius	119820027	XP_038194199
Vertebrata	Astur_gentilis	126052057	XP_049688100
Vertebrata	Astyanax_mexicanus	103023737	XP_007254837
Vertebrata	Astyanax_mexicanus	103024938	XP_022519426
Vertebrata	Astyanax_mexicanus	103033485	XP_022536655
Vertebrata	Astyanax_mexicanus	103034887	XP_049341421
Vertebrata	Astyanax_mexicanus	125805764	XP_049341425
Vertebrata	Athene_cunicularia	113486363	XP_026715966
Vertebrata	Athene_noctua	141968641	XP_074779661
Vertebrata	Austrofundulus_limnaeus	106514563	XP_013859335
Vertebrata	Austrofundulus_limnaeus	106517545	XP_013863899
Vertebrata	Austrofundulus_limnaeus	106526130	XP_013876073
Vertebrata	Aythya_fuligula	116497015	XP_032056400
Vertebrata	Balaenoptera_acutorostrata_scammoni	103013138	XP_007194433
Vertebrata	Balearica_regulorum_gibbericeps	104641893	XP_010308978
Vertebrata	Betta_splendens	114853691	XP_029003192
Vertebrata	Betta_splendens	114853692	XP_029003193
Vertebrata	Bison_bison_bison	104983136	XP_010830912
Vertebrata	Boleophthalmus_pectinirostris	110158582	XP_020778748
Vertebrata	Boleophthalmus_pectinirostris	110158583	XP_020778749
Vertebrata	Boleophthalmus_pectinirostris	110160949	XP_020781291
Vertebrata	Boleophthalmus_pectinirostris	110174145	XP_020795860
Vertebrata	Bos_indicus	109566622	XP_019826716
Vertebrata	Bos_mutus	102274981	XP_005887114
Vertebrata	Bos_taurus	286858	NP_777216
Vertebrata	Brachyistius_frenatus	138624972	XP_069561680
Vertebrata	Brachyistius_frenatus	138629529	XP_069569385
Vertebrata	Bubalus_bubalis	102399256	XP_006062595
