Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103807814	XP_009078812
Vertebrata	Acanthopagrus_latus	119028658	XP_036970782
Vertebrata	Acinonyx_jubatus	106967086	XP_014918759
Vertebrata	Acipenser_ruthenus	117413155	XP_033877831
Vertebrata	Acipenser_ruthenus	117416604	XP_033883745
Vertebrata	Agelaius_tricolor	139594186	XP_071292041
Vertebrata	Ahaetulla_prasina	131194108	XP_058030716
Vertebrata	Ailuropoda_melanoleuca	100481615	XP_002924890
Vertebrata	Alexandromys_fortis	126514187	XP_050018874
Vertebrata	Alligator_mississippiensis	106736995	XP_006267636
Vertebrata	Alligator_sinensis	102369126	XP_006023935
Vertebrata	Alosa_sapidissima	121678051	XP_041913163
Vertebrata	Amphiprion_ocellaris	111585762	XP_023151127
Vertebrata	Anarhichas_minor	142946783	XP_075944422
Vertebrata	Anas_acuta	137860427	XP_068546768
Vertebrata	Anas_platyrhynchos	101790135	XP_038039024
Vertebrata	Anguilla_anguilla	118224852	XP_035268543
Vertebrata	Anguilla_anguilla	118230093	XP_035278732
Vertebrata	Anguilla_rostrata	135253171	XP_064188200
Vertebrata	Anguilla_rostrata	135256628	XP_064194650
Vertebrata	Anolis_carolinensis	100560130	XP_003223472
Vertebrata	Anolis_sagrei_ordinatus	132774418	XP_060630500
Vertebrata	Anomalospiza_imberbis	137479175	XP_068055579
Vertebrata	Anoplopoma_fimbria	129094098	XP_054458101
Vertebrata	Anser_cygnoides	106034056	XP_047914917
Vertebrata	Antechinus_flavipes	127562792	XP_051854725
Vertebrata	Antennarius_striatus	137598524	XP_068174860
Vertebrata	Antrostomus_carolinensis	104520827	XP_010160930
Vertebrata	Aotus_nancymaae	105711770	XP_021523707
Vertebrata	Apaloderma_vittatum	104277910	XP_009873011
Vertebrata	Aphelocoma_coerulescens	138113881	XP_068878840
Vertebrata	Apodemus_sylvaticus	127697694	XP_052056956
Vertebrata	Aptenodytes_forsteri	103895492	XP_009273362
Vertebrata	Apteryx_mantelli_mantelli	106486027	XP_013799999
Vertebrata	Apteryx_rowi	112964578	XP_025918640
Vertebrata	Aquarana_catesbeiana	141103360	XP_073448971
Vertebrata	Aquila_chrysaetos_chrysaetos	115348714	XP_029887663
Vertebrata	Artibeus_jamaicensis	119059729	XP_037015428
Vertebrata	Arvicanthis_niloticus	117716475	XP_076797427
Vertebrata	Arvicola_amphibius	119827843	XP_038205687
Vertebrata	Astur_gentilis	126042066	XP_049664619
Vertebrata	Astyanax_mexicanus	103032345	XP_007245123
Vertebrata	Astyanax_mexicanus	103034574	XP_007245479
Vertebrata	Athene_cunicularia	113483094	XP_026710147
Vertebrata	Athene_noctua	141960872	XP_074763181
Vertebrata	Austrofundulus_limnaeus	106516825	XP_013862829
Vertebrata	Aythya_fuligula	116491944	XP_032048204
Vertebrata	Balaenoptera_acutorostrata_scammoni	102999195	XP_007167039
Vertebrata	Balaenoptera_musculus	118884708	XP_036688405
Vertebrata	Balearica_regulorum_gibbericeps	104632878	XP_010297199
Vertebrata	Betta_splendens	114853827	XP_029003470
Vertebrata	Bison_bison_bison	104998056	XP_010851368
Vertebrata	Boleophthalmus_pectinirostris	110167945	XP_020789010
Vertebrata	Bos_indicus	109570734	XP_019832459
Vertebrata	Bos_javanicus	133228103	XP_061239480
Vertebrata	Bos_mutus	102271174	XP_005901335
Vertebrata	Bos_taurus	282023	NP_776870
Vertebrata	Brachyistius_frenatus	138632501	XP_069574207
Vertebrata	Bubalus_bubalis	102416528	XP_025141253
Vertebrata	Bubalus_kerabau	129653372	XP_055438943
Vertebrata	Buceros_rhinoceros_silvestris	104490436	XP_010131023
Vertebrata	Budorcas_taxicolor	128061601	XP_052509939
Vertebrata	Bufo_bufo	120979010	XP_040263438
Vertebrata	Bufo_gargarizans	122943666	XP_044157514
Vertebrata	Buteo_buteo	142035953	XP_074894810
Vertebrata	Callithrix_jacchus	100407639	XP_002760344
Vertebrata	Callorhinchus_milii	103179983	XP_007893749
Vertebrata	Caloenas_nicobarica	135996786	XP_065505095
Vertebrata	Calonectris_borealis	142085298	XP_075013185
Vertebrata	Camelus_bactrianus	105083396	XP_010971524
Vertebrata	Camelus_dromedarius	105099289	XP_010990402
Vertebrata	Camelus_ferus	102509586	XP_006185596
Vertebrata	Canis_lupus_dingo	112648518	XP_025285907
Vertebrata	Canis_lupus_familiaris	442942	NP_001003354
Vertebrata	Capra_hircus	100860905	XP_017916220
Vertebrata	Capricornis_sumatraensis	138090402	XP_068842063
Vertebrata	Carassius_auratus	113045805	XP_026062256
Vertebrata	Carassius_auratus	113062963	XP_026088857
Vertebrata	Carassius_auratus	113072624	XP_026101395
Vertebrata	Carassius_auratus	113115972	XP_026139533
Vertebrata	Carassius_auratus	113120750	XP_026146555
Vertebrata	Carassius_gibelio	127939042	XP_052391992
Vertebrata	Carassius_gibelio	127950607	XP_052403720
Vertebrata	Carassius_gibelio	127983392	XP_052441528
Vertebrata	Carassius_gibelio	128027375	XP_052470905
Vertebrata	Caretta_caretta	125641698	XP_048717974
Vertebrata	Carettochelys_insculpta	142017726	XP_074858997
Vertebrata	Cariama_cristata	104155104	XP_009701059
Vertebrata	Carlito_syrichta	103275362	XP_008070969
Vertebrata	Castor_canadensis	109685138	XP_020017438
Vertebrata	Cavia_porcellus	100135607	NP_001166478
Vertebrata	Cebidichthys_violaceus	137870385	XP_068563697
Vertebrata	Cebus_imitator	108301379	XP_017380028
Vertebrata	Cercocebus_atys	105579902	XP_011902584
Vertebrata	Cervus_canadensis	122452326	XP_043341776
Vertebrata	Chaetura_pelagica	104388922	XP_009996154
Vertebrata	Chamaea_fasciata	136294460	XP_066048288
Vertebrata	Chanodichthys_erythropterus	137002323	XP_067217973
Vertebrata	Chanodichthys_erythropterus	137018454	XP_067239197
Vertebrata	Charadrius_vociferus	104285913	XP_009882733
Vertebrata	Cheilinus_undulatus	121511973	XP_041646809
Vertebrata	Chelonia_mydas	102934690	XP_037763338
Vertebrata	Chelonoidis_abingdonii	116826611	XP_032639325
Vertebrata	Chiloscyllium_plagiosum	122554451	XP_043555446
Vertebrata	Chiloscyllium_punctatum	140479791	XP_072430058
Vertebrata	Chionomys_nivalis	130875034	XP_057626639
Vertebrata	Chlamydotis_macqueenii	104473824	XP_010113514
Vertebrata	Chlorocebus_sabaeus	103230420	XP_007987337
Vertebrata	Chroicocephalus_ridibundus	134519910	XP_063200756
Vertebrata	Chrysemys_picta	101941281	XP_005313923
Vertebrata	Ciconia_boyciana	140654658	XP_072724286
Vertebrata	Cinclus_cinclus	134046768	XP_062353494
Vertebrata	Clarias_gariepinus	128511246	XP_053339995
Vertebrata	Clarias_gariepinus	128532930	XP_053363050
Vertebrata	Clinocottus_analis	137793473	XP_068445749
Vertebrata	Clupea_harengus	105910734	XP_031431204
Vertebrata	Colius_striatus	104560519	XP_010204197
Vertebrata	Colobus_angolensis_palliatus	105506149	XP_011789581
Vertebrata	Cololabis_saira	133458633	XP_061594746
Vertebrata	Colossoma_macropomum	118804707	XP_036421206
Vertebrata	Colossoma_macropomum	118815279	XP_036437177
Vertebrata	Columba_livia	102088650	XP_005511974
Vertebrata	Conger_conger	133126202	XP_061094136
Vertebrata	Conger_conger	133128293	XP_061097665
Vertebrata	Coregonus_clupeaformis	121534073	XP_041696456
Vertebrata	Coregonus_clupeaformis	121535088	XP_041697732
Vertebrata	Coregonus_clupeaformis	121539927	XP_041704508
Vertebrata	Coregonus_clupeaformis	121580802	XP_041751780
Vertebrata	Corvus_brachyrhynchos	103617153	XP_017591979
Vertebrata	Corvus_cornix	104693603	XP_039412377
Vertebrata	Cottoperca_gobio	115006753	XP_029285061
Vertebrata	Coturnix_japonica	107317330	XP_015725377
Vertebrata	Cricetulus_griseus	100751220	XP_027273214
Vertebrata	Crocodylus_porosus	109307218	XP_019386536
Vertebrata	Crocuta_crocuta	144230908	XP_077619411
Vertebrata	Crotalus_tigris	120308734	XP_039201128
Vertebrata	Ctenopharyngodon_idella	127494950	XP_051717162
Vertebrata	Ctenopharyngodon_idella	127502124	XP_051730659
Vertebrata	Ctenopharyngodon_idella	127522420	XP_051768345
Vertebrata	Cuculus_canorus	104063275	XP_009563731
Vertebrata	Cyanistes_caeruleus	111932522	XP_023787358
Vertebrata	Cyclopterus_lumpus	117729217	XP_034385972
Vertebrata	Cygnus_atratus	118243264	XP_035393039
Vertebrata	Cynoglossus_semilaevis	103395284	XP_008331166
Vertebrata	Cyprinodon_tularosa	119787704	XP_038147654
Vertebrata	Cyprinodon_variegatus	107085952	XP_015232133
Vertebrata	Cyprinus_carpio	109071632	XP_018943611
Vertebrata	Cyprinus_carpio	109081129	XP_042602593
Vertebrata	Cyprinus_carpio	109082275	XP_042574020
Vertebrata	Cyprinus_carpio	122148994	XP_042633871
Vertebrata	Danio_aesculapii	130242475	XP_056330562
Vertebrata	Danio_aesculapii	130248170	XP_056337702
Vertebrata	Danio_rerio	246227	NP_705943
Vertebrata	Danio_rerio	559020	NP_001020675
Vertebrata	Dasypus_novemcinctus	101438934	XP_004468506
Vertebrata	Delphinapterus_leucas	111184673	XP_022449092
Vertebrata	Delphinus_delphis	132424082	XP_059865880
Vertebrata	Dendrobates_tinctorius	141096133	XP_073438637
Vertebrata	Dermochelys_coriacea	119860729	XP_038270727
Vertebrata	Desmodus_rotundus	112296707	XP_024407255
Vertebrata	Dipodomys_merriami	138835734	XP_069890347
Vertebrata	Dipodomys_ordii	105989626	XP_012877212
Vertebrata	Dipodomys_spectabilis	122103768	XP_042530344
Vertebrata	Dromaius_novaehollandiae	112983769	XP_025956896
Vertebrata	Dryobates_pubescens	104309402	XP_009909024
Vertebrata	Echinops_telfairi	101653785	XP_045153926
Vertebrata	Egretta_garzetta	104124553	XP_035748357
Vertebrata	Electrophorus_electricus	113585124	XP_026878239
Vertebrata	Electrophorus_electricus	113588667	XP_026883754
Vertebrata	Eleginops_maclovinus	134869349	XP_063746966
Vertebrata	Embiotoca_jacksoni	138200485	XP_069009308
Vertebrata	Empidonax_traillii	114066906	XP_027757770
Vertebrata	Emydura_macquarii_macquarii	137144677	XP_067391232
Vertebrata	Emys_orbicularis	135882629	XP_065265672
Vertebrata	Enhydra_lutris_kenyoni	111150791	XP_022364100
Vertebrata	Enoplosus_armatus	139287342	XP_070764423
Vertebrata	Epinephelus_fuscoguttatus	125895446	XP_049443222
Vertebrata	Epinephelus_lanceolatus	117254034	XP_033477897
Vertebrata	Eptesicus_fuscus	103290037	XP_008144187
Vertebrata	Equus_asinus	106846783	XP_014721276
Vertebrata	Equus_caballus	791253	NP_001075244
Vertebrata	Equus_przewalskii	103547078	XP_008512298
Vertebrata	Esox_lucius	105028801	XP_010900111
Vertebrata	Esox_lucius	105029082	XP_010900535
Vertebrata	Etheostoma_cragini	117949850	XP_034736265
Vertebrata	Etheostoma_spectabile	116694962	XP_032380829
Vertebrata	Eublepharis_macularius	129331394	XP_054837904
Vertebrata	Eucyclogobius_newberryi	140353575	XP_072294287
Vertebrata	Eulemur_rufifrons	138375667	XP_069315547
Vertebrata	Eumetopias_jubatus	114222880	XP_027977355
Vertebrata	Eurypyga_helias	104508273	XP_010148141
Vertebrata	Falco_cherrug	102050356	XP_005443369
Vertebrata	Falco_peregrinus	101918755	XP_005242087
