Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103805524	XP_009076422
Vertebrata	Acanthopagrus_latus	119009219	XP_036936095
Vertebrata	Acanthopagrus_latus	119019387	XP_036953806
Vertebrata	Acanthopagrus_latus	119024609	XP_036963444
Vertebrata	Acanthopagrus_latus	119025006	XP_036964166
Vertebrata	Acanthopagrus_latus	119030042	XP_036973256
Vertebrata	Acanthopagrus_latus	119033453	XP_036979458
Vertebrata	Acinonyx_jubatus	113596491	XP_026905672
Vertebrata	Acipenser_ruthenus	117397904	XP_033852747
Vertebrata	Acipenser_ruthenus	117403758	XP_033862039
Vertebrata	Acipenser_ruthenus	117403820	XP_033862150
Vertebrata	Acipenser_ruthenus	117403828	XP_033862160
Vertebrata	Acipenser_ruthenus	117416266	XP_033883271
Vertebrata	Acipenser_ruthenus	117418550	XP_033887611
Vertebrata	Acipenser_ruthenus	117966132	XP_034767475
Vertebrata	Acipenser_ruthenus	117973423	XP_034781595
Vertebrata	Agelaius_tricolor	139595606	XP_071295188
Vertebrata	Ahaetulla_prasina	131200394	XP_058043057
Vertebrata	Ailuropoda_melanoleuca	100470751	XP_002914436
Vertebrata	Alexandromys_fortis	126511247	XP_050014229
Vertebrata	Alligator_mississippiensis	102561874	XP_006272308
Vertebrata	Alligator_sinensis	102371917	XP_006029051
Vertebrata	Alosa_sapidissima	121679645	XP_041914488
Vertebrata	Alosa_sapidissima	121699954	XP_041938462
Vertebrata	Alosa_sapidissima	121714735	XP_041955688
Vertebrata	Alosa_sapidissima	121724101	XP_041966390
Vertebrata	Alosa_sapidissima	121724708	XP_041967400
Vertebrata	Amphiprion_ocellaris	111568530	XP_023125984
Vertebrata	Amphiprion_ocellaris	111572649	XP_023132171
Vertebrata	Amphiprion_ocellaris	111580157	XP_023143540
Vertebrata	Amphiprion_ocellaris	111580177	XP_035811957
Vertebrata	Amphiprion_ocellaris	111588232	XP_023154243
Vertebrata	Amphiprion_ocellaris	111588578	XP_023154791
Vertebrata	Anarhichas_minor	142948180	XP_075946152
Vertebrata	Anas_acuta	137859250	XP_068544227
Vertebrata	Anas_platyrhynchos	101794901	XP_005029482
Vertebrata	Anguilla_anguilla	118213427	XP_035248289
Vertebrata	Anguilla_anguilla	118215571	XP_035252351
Vertebrata	Anguilla_anguilla	118221090	XP_035261671
Vertebrata	Anguilla_anguilla	118222843	XP_035264625
Vertebrata	Anguilla_anguilla	118237105	XP_035291437
Vertebrata	Anguilla_rostrata	135239311	XP_064163954
Vertebrata	Anguilla_rostrata	135242634	XP_064169858
Vertebrata	Anguilla_rostrata	135246273	XP_064175834
Vertebrata	Anguilla_rostrata	135250188	XP_064182308
Vertebrata	Anguilla_rostrata	135264857	XP_064209855
Vertebrata	Anolis_carolinensis	100554078	XP_003229745
Vertebrata	Anolis_carolinensis	100568259	XP_003224412
Vertebrata	Anolis_sagrei_ordinatus	132769909	XP_060622817
Vertebrata	Anomalospiza_imberbis	137478073	XP_068053708
Vertebrata	Anoplopoma_fimbria	129091559	XP_054455204
Vertebrata	Anoplopoma_fimbria	129092638	XP_054456624
Vertebrata	Anoplopoma_fimbria	129100965	XP_054466507
Vertebrata	Anoplopoma_fimbria	129102753	XP_054468998
Vertebrata	Anoplopoma_fimbria	129108283	XP_054475994
Vertebrata	Anser_cygnoides	106044273	XP_066856481
Vertebrata	Antechinus_flavipes	127552172	XP_051838625
Vertebrata	Antennarius_striatus	137588286	XP_068161363
Vertebrata	Antennarius_striatus	137592845	XP_068167398
Vertebrata	Antennarius_striatus	137593417	XP_068168200
Vertebrata	Antennarius_striatus	137608938	XP_068191679
Vertebrata	Antrostomus_carolinensis	104520308	XP_010174797
