Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103803264	XP_009074057
Vertebrata	Acanthisitta_chloris	103803266	XP_009074058
Vertebrata	Acanthisitta_chloris	103803267	XP_009074059
Vertebrata	Acanthopagrus_latus	119029084	XP_036971559
Vertebrata	Acinonyx_jubatus	106973395	XP_014925936
Vertebrata	Acinonyx_jubatus	106974116	XP_053069600
Vertebrata	Acipenser_ruthenus	117416883	XP_033884231
Vertebrata	Agelaius_tricolor	139594036	XP_071291726
Vertebrata	Agelaius_tricolor	139594479	XP_071292758
Vertebrata	Agelaius_tricolor	139594480	XP_071292759
Vertebrata	Ahaetulla_prasina	131195221	XP_058032959
Vertebrata	Ahaetulla_prasina	131195222	XP_058032960
Vertebrata	Ahaetulla_prasina	131195687	XP_058033774
Vertebrata	Ahaetulla_prasina	131196004	XP_058034351
Vertebrata	Ailuropoda_melanoleuca	100472602	XP_034507764
Vertebrata	Ailuropoda_melanoleuca	105237751	XP_034510961
Vertebrata	Alexandromys_fortis	126515808	XP_050021696
Vertebrata	Alligator_mississippiensis	102568858	XP_006267412
Vertebrata	Alligator_mississippiensis	102569094	XP_006267413
Vertebrata	Alligator_mississippiensis	102569324	XP_019345591
Vertebrata	Alligator_sinensis	102371093	XP_006015881
Vertebrata	Alligator_sinensis	102371354	XP_006015882
Vertebrata	Alligator_sinensis	102371616	XP_006015883
Vertebrata	Alligator_sinensis	102371868	XP_025062300
Vertebrata	Alosa_sapidissima	121677587	XP_041912323
Vertebrata	Amphiprion_ocellaris	111585834	XP_054872903
Vertebrata	Amphiprion_ocellaris	111585835	XP_023151217
Vertebrata	Amphiprion_ocellaris	129350428	XP_054872897
Vertebrata	Anas_acuta	137860139	XP_068546117
Vertebrata	Anas_acuta	137860363	XP_068546638
Vertebrata	Anas_acuta	137860433	XP_068546776
Vertebrata	Anas_platyrhynchos	101793730	XP_005027422
Vertebrata	Anas_platyrhynchos	101794092	XP_005027424
Vertebrata	Anas_platyrhynchos	101797859	XP_012962217
Vertebrata	Anguilla_anguilla	118225632	XP_035270254
Vertebrata	Anguilla_rostrata	135252507	XP_064186720
Vertebrata	Anolis_carolinensis	100555796	XP_008107758
Vertebrata	Anolis_carolinensis	100555992	XP_003220325
Vertebrata	Anolis_carolinensis	100556190	XP_008107759
Vertebrata	Anolis_carolinensis	100560843	XP_003220268
Vertebrata	Anolis_sagrei_ordinatus	132772689	XP_060627539
Vertebrata	Anolis_sagrei_ordinatus	132773878	XP_060629422
Vertebrata	Anolis_sagrei_ordinatus	132773879	XP_060629423
Vertebrata	Anolis_sagrei_ordinatus	132773880	XP_060629424
Vertebrata	Anomalospiza_imberbis	137478673	XP_068054752
Vertebrata	Anomalospiza_imberbis	137478675	XP_068054754
Vertebrata	Anomalospiza_imberbis	137479007	XP_068055274
Vertebrata	Anoplopoma_fimbria	129094186	XP_054458233
Vertebrata	Anser_cygnoides	106032948	XP_047915068
Vertebrata	Anser_cygnoides	106032966	XP_013031639
Vertebrata	Anser_cygnoides	106033086	XP_047915067
Vertebrata	Antechinus_flavipes	127563390	XP_051855776
Vertebrata	Antechinus_flavipes	127563391	XP_051855778
Vertebrata	Antennarius_striatus	137598878	XP_068175509
Vertebrata	Antrostomus_carolinensis	104532378	XP_028943199
Vertebrata	Antrostomus_carolinensis	104532379	XP_010175874
Vertebrata	Antrostomus_carolinensis	104532380	XP_010175875
Vertebrata	Aotus_nancymaae	105705033	XP_021528988
Vertebrata	Apaloderma_vittatum	104278523	XP_009873829
Vertebrata	Apaloderma_vittatum	104278524	XP_009873831
Vertebrata	Apaloderma_vittatum	104278525	XP_009873832
Vertebrata	Aphelocoma_coerulescens	138114166	XP_068879428
Vertebrata	Aphelocoma_coerulescens	138114168	XP_068879429
Vertebrata	Aphelocoma_coerulescens	138114169	XP_068879432
Vertebrata	Apodemus_sylvaticus	127681105	XP_052033008
Vertebrata	Aptenodytes_forsteri	103905598	XP_009285595
Vertebrata	Aptenodytes_forsteri	103905599	XP_009285596
Vertebrata	Aptenodytes_forsteri	103905600	XP_019329681
Vertebrata	Apteryx_mantelli_mantelli	106485218	XP_013798985
Vertebrata	Apteryx_mantelli_mantelli	106485224	XP_013798991
Vertebrata	Apteryx_mantelli_mantelli	106485225	XP_013798992
Vertebrata	Apteryx_mantelli_mantelli	106485226	XP_013798998
Vertebrata	Apteryx_rowi	112975957	XP_025942453
Vertebrata	Apteryx_rowi	112975958	XP_025942454
Vertebrata	Apteryx_rowi	112976033	XP_025942644
Vertebrata	Apteryx_rowi	112976036	XP_025942648
Vertebrata	Aquarana_catesbeiana	141103884	XP_073450045
Vertebrata	Aquarana_catesbeiana	141103886	XP_073450047
Vertebrata	Aquarana_catesbeiana	141103887	XP_073450048
Vertebrata	Aquarana_catesbeiana	141103888	XP_073450049
Vertebrata	Aquarana_catesbeiana	141122741	XP_073468101
Vertebrata	Aquila_chrysaetos_chrysaetos	115348969	XP_029888418
Vertebrata	Aquila_chrysaetos_chrysaetos	115348970	XP_029888420
Vertebrata	Artibeus_jamaicensis	119052312	XP_037005369
Vertebrata	Arvicanthis_niloticus	117709318	XP_034359507
Vertebrata	Arvicola_amphibius	119817523	XP_038190758
Vertebrata	Astur_gentilis	126041965	XP_049664367
Vertebrata	Astur_gentilis	126041966	XP_049664368
Vertebrata	Astur_gentilis	126042153	XP_049664817
Vertebrata	Astyanax_mexicanus	103026083	XP_022531115
Vertebrata	Athene_cunicularia	113482586	XP_026709137
Vertebrata	Athene_cunicularia	113482731	XP_026709518
Vertebrata	Athene_cunicularia	113482732	XP_026709519
Vertebrata	Athene_noctua	141960584	XP_074762374
Vertebrata	Athene_noctua	141961301	XP_074764221
Vertebrata	Athene_noctua	141961302	XP_074764222
Vertebrata	Austrofundulus_limnaeus	106513893	XP_013858394
Vertebrata	Aythya_fuligula	116491877	XP_032048129
Vertebrata	Aythya_fuligula	116492067	XP_032048395
Vertebrata	Aythya_fuligula	116492186	XP_032048630
Vertebrata	Balaenoptera_acutorostrata_scammoni	103004815	XP_007164579
Vertebrata	Balaenoptera_musculus	118893028	XP_036704051
Vertebrata	Balearica_regulorum_gibbericeps	104642287	XP_010309517
Vertebrata	Balearica_regulorum_gibbericeps	104642288	XP_010309518
Vertebrata	Balearica_regulorum_gibbericeps	104642290	XP_010309519
Vertebrata	Betta_splendens	114853568	XP_029002925
Vertebrata	Betta_splendens	114853569	XP_029002926
Vertebrata	Betta_splendens	114853570	XP_029002928
Vertebrata	Bison_bison_bison	104994366	XP_010846200
Vertebrata	Bison_bison_bison	104994367	XP_010846201
Vertebrata	Boleophthalmus_pectinirostris	110167803	XP_020788846
Vertebrata	Bos_indicus	109556335	XP_019813099
Vertebrata	Bos_indicus	109556884	XP_019813818
Vertebrata	Bos_javanicus	133244653	XP_061268088
Vertebrata	Bos_javanicus	133244657	XP_061268099
Vertebrata	Bos_mutus	102283473	XP_070224222
Vertebrata	Bos_mutus	102288085	XP_014333220
Vertebrata	Bos_taurus	513210	XP_002686553
Vertebrata	Bos_taurus	540007	NP_001092572
Vertebrata	Brachyistius_frenatus	138618942	XP_069551158
Vertebrata	Bubalus_bubalis	102391514	XP_006052587
Vertebrata	Bubalus_bubalis	102415329	XP_044800990
Vertebrata	Bubalus_kerabau	129655503	XP_055441963
Vertebrata	Bubalus_kerabau	129656494	XP_055443099
Vertebrata	Buceros_rhinoceros_silvestris	104492907	XP_010133813
Vertebrata	Buceros_rhinoceros_silvestris	104492909	XP_010133815
Vertebrata	Buceros_rhinoceros_silvestris	104492910	XP_010133816
Vertebrata	Budorcas_taxicolor	128045162	XP_052493594
Vertebrata	Bufo_bufo	120979630	XP_040264432
Vertebrata	Bufo_bufo	120979633	XP_040264436
Vertebrata	Bufo_bufo	120985006	XP_040269384
Vertebrata	Bufo_gargarizans	122922815	XP_044129496
Vertebrata	Buteo_buteo	142035182	XP_074893132
Vertebrata	Buteo_buteo	142035183	XP_074893133
Vertebrata	Buteo_buteo	142035535	XP_074893747
Vertebrata	Callithrix_jacchus	100410110	XP_002750826
Vertebrata	Callithrix_jacchus	118142926	XP_035107237
Vertebrata	Callorhinchus_milii	103182725	XP_007898012
Vertebrata	Caloenas_nicobarica	136001767	XP_065512473
Vertebrata	Caloenas_nicobarica	136001768	XP_065512475
Vertebrata	Calonectris_borealis	142084818	XP_075011944
Vertebrata	Calonectris_borealis	142084819	XP_075011945
Vertebrata	Camelus_bactrianus	105065741	XP_010949215
Vertebrata	Camelus_bactrianus	105065993	XP_010949513
Vertebrata	Camelus_dromedarius	105092923	XP_010982997
Vertebrata	Camelus_dromedarius	105092977	XP_031321429
Vertebrata	Camelus_ferus	102503723	XP_032350708
Vertebrata	Camelus_ferus	102503970	XP_032350069
Vertebrata	Canis_lupus_dingo	112642548	XP_025276001
Vertebrata	Canis_lupus_dingo	112642549	XP_025276005
Vertebrata	Canis_lupus_familiaris	475367	XP_013975160
Vertebrata	Canis_lupus_familiaris	482510	XP_539627
Vertebrata	Capra_hircus	102174994	XP_005678561
Vertebrata	Capra_hircus	102175263	XP_005678562
Vertebrata	Capricornis_sumatraensis	138070422	XP_068817757
Vertebrata	Capricornis_sumatraensis	138072854	XP_068820201
Vertebrata	Caprimulgus_europaeus	306723542	XP_079055557
Vertebrata	Caprimulgus_europaeus	306723543	XP_079055558
Vertebrata	Caprimulgus_europaeus	306723669	XP_079055746
Vertebrata	Carassius_auratus	113050976	XP_026070276
Vertebrata	Carassius_auratus	113091030	XP_026112274
Vertebrata	Carassius_gibelio	127959780	XP_052415118
Vertebrata	Carassius_gibelio	128015246	XP_052454883
Vertebrata	Caretta_caretta	125641867	XP_048718338
Vertebrata	Caretta_caretta	125641956	XP_048718591
Vertebrata	Caretta_caretta	125641957	XP_048718593
Vertebrata	Carettochelys_insculpta	142017593	XP_074858724
Vertebrata	Carettochelys_insculpta	142017901	XP_074859344
Vertebrata	Cariama_cristata	104157523	XP_009693185
Vertebrata	Cariama_cristata	104165389	XP_009703303
Vertebrata	Cariama_cristata	104165392	XP_009703305
Vertebrata	Carlito_syrichta	103264079	XP_008059918
Vertebrata	Castor_canadensis	109695802	XP_020034138
Vertebrata	Cavia_porcellus	100732162	XP_003462532
Vertebrata	Cebidichthys_violaceus	137884257	XP_068582089
Vertebrata	Cebus_imitator	108312784	XP_017396385
