Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103811801	XP_009083047
Vertebrata	Acanthopagrus_latus	119024998	XP_036964159
Vertebrata	Acanthopagrus_latus	119027573	XP_036968810
Vertebrata	Acanthopagrus_latus	119033577	XP_036979773
Vertebrata	Acinonyx_jubatus	106980950	XP_026905727
Vertebrata	Acinonyx_jubatus	106988439	XP_026917806
Vertebrata	Acipenser_ruthenus	117409125	XP_033870655
Vertebrata	Acipenser_ruthenus	117415669	XP_033882176
Vertebrata	Acipenser_ruthenus	117418036	XP_033886447
Vertebrata	Acipenser_ruthenus	117421451	XP_033891802
Vertebrata	Agelaius_tricolor	139592228	XP_071287888
Vertebrata	Agelaius_tricolor	139595438	XP_071294663
Vertebrata	Ahaetulla_prasina	131200843	XP_058044118
Vertebrata	Ahaetulla_prasina	131203574	XP_058049940
Vertebrata	Ailuropoda_melanoleuca	100466473	XP_011220246
Vertebrata	Ailuropoda_melanoleuca	100468555	XP_002914428
Vertebrata	Alexandromys_fortis	126504269	XP_050002505
Vertebrata	Alexandromys_fortis	126510848	XP_050013522
Vertebrata	Alligator_mississippiensis	102560347	XP_006275971
Vertebrata	Alligator_mississippiensis	102561422	XP_014451373
Vertebrata	Alligator_sinensis	102384963	XP_006031197
Vertebrata	Alligator_sinensis	102386662	XP_006023002
Vertebrata	Alosa_sapidissima	121685187	XP_041921496
Vertebrata	Alosa_sapidissima	121699796	XP_041938161
Vertebrata	Alosa_sapidissima	121705595	XP_041942600
Vertebrata	Amphiprion_ocellaris	111562752	XP_023117233
Vertebrata	Amphiprion_ocellaris	111570987	XP_035805761
Vertebrata	Amphiprion_ocellaris	111588577	XP_023154789
Vertebrata	Anarhichas_minor	142931704	XP_075931878
Vertebrata	Anarhichas_minor	142950096	XP_075948111
Vertebrata	Anas_acuta	137856488	XP_068538020
Vertebrata	Anas_acuta	137859929	XP_068545597
Vertebrata	Anas_platyrhynchos	101791169	XP_005019881
Vertebrata	Anas_platyrhynchos	101798673	XP_005017369
Vertebrata	Anguilla_anguilla	118217997	XP_035256175
