Phylum	Species	KEGG_GeneID	NCBI_ProteinID
Vertebrata	Acanthisitta_chloris	103808177	XP_009079193
Vertebrata	Acanthopagrus_latus	119009623	XP_036936954
Vertebrata	Acinonyx_jubatus	106986313	XP_026908414
Vertebrata	Acipenser_ruthenus	117423032	XP_033894269
Vertebrata	Acipenser_ruthenus	117424309	XP_033896426
Vertebrata	Agelaius_tricolor	139602025	XP_071307593
Vertebrata	Ahaetulla_prasina	131191312	XP_058025321
Vertebrata	Ailuropoda_melanoleuca	100468470	XP_034497444
Vertebrata	Alexandromys_fortis	126500521	XP_049996446
Vertebrata	Alligator_mississippiensis	102571811	XP_014453837
Vertebrata	Alligator_sinensis	102384493	XP_006038234
Vertebrata	Alosa_sapidissima	121700085	XP_041938706
Vertebrata	Amphiprion_ocellaris	111564925	XP_023120573
Vertebrata	Anarhichas_minor	142951461	XP_075949118
Vertebrata	Anas_acuta	137841558	XP_068510656
Vertebrata	Anas_platyrhynchos	101796973	NP_001297727
Vertebrata	Anguilla_anguilla	118221028	XP_035261490
Vertebrata	Anguilla_rostrata	135248447	XP_064179176
Vertebrata	Anolis_carolinensis	100563002	XP_003217337
Vertebrata	Anolis_sagrei_ordinatus	132768687	XP_060620817
Vertebrata	Anomalospiza_imberbis	137485340	XP_068065901
Vertebrata	Anoplopoma_fimbria	129093745	XP_054457835
Vertebrata	Anser_cygnoides	106046771	XP_047906262
Vertebrata	Antechinus_flavipes	127560599	XP_051851273
Vertebrata	Antennarius_striatus	137614073	XP_068199679
Vertebrata	Antrostomus_carolinensis	104517986	XP_010165049
Vertebrata	Aotus_nancymaae	105717458	XP_021522040
Vertebrata	Apaloderma_vittatum	104276273	XP_009870829
Vertebrata	Aphelocoma_coerulescens	138119925	XP_068888330
Vertebrata	Apodemus_sylvaticus	127693494	XP_052050354
Vertebrata	Aptenodytes_forsteri	103899003	XP_009277674
Vertebrata	Apteryx_mantelli_mantelli	106487141	XP_013801291
Vertebrata	Apteryx_rowi	112968647	XP_025926900
Vertebrata	Aquarana_catesbeiana	141113531	XP_073462807
Vertebrata	Aquila_chrysaetos_chrysaetos	115341214	XP_029869631
Vertebrata	Artibeus_jamaicensis	119058629	XP_037013862
Vertebrata	Arvicanthis_niloticus	117710072	XP_034360506
Vertebrata	Arvicola_amphibius	119811347	XP_038181178
Vertebrata	Astur_gentilis	126043468	XP_049667880
Vertebrata	Astyanax_mexicanus	103030617	XP_049320872
Vertebrata	Athene_cunicularia	113486868	XP_026716983
Vertebrata	Athene_noctua	141968099	XP_074778558
Vertebrata	Austrofundulus_limnaeus	106530206	XP_013881248
Vertebrata	Aythya_fuligula	116496544	XP_032055613
Vertebrata	Balaenoptera_acutorostrata_scammoni	103017465	XP_007185966
Vertebrata	Balaenoptera_musculus	118886381	XP_036691904
Vertebrata	Balearica_regulorum_gibbericeps	104632065	XP_010296122
Vertebrata	Betta_splendens	114845882	XP_028990269
Vertebrata	Bison_bison_bison	105000597	XP_010854845
Vertebrata	Boleophthalmus_pectinirostris	110154166	XP_020773777
Vertebrata	Bos_indicus	109573330	XP_019836048
Vertebrata	Bos_javanicus	133232721	XP_061248489
Vertebrata	Bos_mutus	102278267	XP_070246245
Vertebrata	Bos_taurus	281152	NP_001012687
Vertebrata	Brachyistius_frenatus	138614442	XP_069544015
Vertebrata	Bubalus_bubalis	102409414	XP_006061855
Vertebrata	Bubalus_kerabau	129648782	XP_055431406
Vertebrata	Buceros_rhinoceros_silvestris	104490778	XP_010131413
Vertebrata	Budorcas_taxicolor	128064502	XP_052513198
Vertebrata	Bufo_bufo	121003318	XP_040290988
Vertebrata	Bufo_gargarizans	122940673	XP_044153298
Vertebrata	Buteo_buteo	142038574	XP_074900131
Vertebrata	Callithrix_jacchus	100402953	XP_035158095
Vertebrata	Callorhinchus_milii	103175468	XP_007886730
Vertebrata	Caloenas_nicobarica	135996026	XP_065503773
Vertebrata	Calonectris_borealis	142090822	XP_075025285
Vertebrata	Camelus_bactrianus	105065535	XP_010948933
Vertebrata	Camelus_dromedarius	105102220	XP_031325265
Vertebrata	Camelus_ferus	102509439	XP_032355012
Vertebrata	Canis_lupus_dingo	112672967	XP_025324165
Vertebrata	Canis_lupus_familiaris	483378	XP_038478874
Vertebrata	Capra_hircus	100861286	NP_001272558
Vertebrata	Capricornis_sumatraensis	138082989	XP_068832620
Vertebrata	Carassius_auratus	113055967	XP_026078157
Vertebrata	Carassius_auratus	113064170	XP_026090570
Vertebrata	Carassius_auratus	113111640	XP_026132380
Vertebrata	Carassius_gibelio	127968867	XP_052426202
Vertebrata	Carassius_gibelio	128025400	XP_052467694
Vertebrata	Caretta_caretta	125621192	XP_048673739
Vertebrata	Carettochelys_insculpta	142023389	XP_074870326
Vertebrata	Cariama_cristata	104159587	XP_009695832
Vertebrata	Carlito_syrichta	103251321	XP_008048096
Vertebrata	Castor_canadensis	109702407	XP_020043349
Vertebrata	Cavia_porcellus	100714828	XP_003464876
Vertebrata	Cebus_imitator	108301630	XP_017380248
Vertebrata	Cercocebus_atys	105588564	XP_011921413
Vertebrata	Cervus_canadensis	122438739	XP_043319852
Vertebrata	Chaetura_pelagica	104398526	XP_010006951
Vertebrata	Chamaea_fasciata	136299347	XP_066056968
Vertebrata	Chanodichthys_erythropterus	137008348	XP_067226426
